basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,15,2020090512, 03,EE15,  0,36.3,-57.4, 33,1013,XX
AL,15,2020090512, 03,EE37,  0,36.6,-57.4, 30,1014,XX
AL,15,2020090512, 03,EE00,  0,36.7,-57.6, 28,1014,XX
AL,15,2020090512, 03,EE38,  6,37.0,-57.4, 29,1014,XX
AL,15,2020090512, 03,EE15,  6,37.1,-57.1, 32,1013,XX
AL,15,2020090512, 03,EE37,  6,37.3,-56.6, 38,1014,XX
AL,15,2020090512, 03,EE00,  6,37.6,-57.3, 28,1015,XX
AL,15,2020090512, 03,EE22,  6,37.7,-56.3, 34,1014,XX
AL,15,2020090512, 03,EE38, 12,38.1,-57.0, 28,1016,XX
AL,15,2020090512, 03,EE15, 12,38.4,-56.6, 30,1015,XX
AL,15,2020090512, 03,EE00, 12,38.7,-56.7, 26,1016,XX
AL,15,2020090512, 03,EE37, 12,39.0,-56.2, 30,1015,XX
AL,15,2020090512, 03,EE22, 12,39.1,-55.9, 27,1016,XX
AL,15,2020090512, 03,EE15, 18,39.8,-56.2, 28,1014,XX
AL,15,2020090512, 03,EE00, 18,40.2,-55.9, 26,1016,XX
AL,15,2020090512, 03,EE37, 18,40.4,-55.0, 30,1014,XX
AL,15,2020090512, 03,EE41, 18,40.6,-55.0, 29,1015,XX
AL,15,2020090512, 03,EE38, 24,39.8,-54.8, 35,1016,XX
AL,15,2020090512, 03,EE22, 24,41.8,-53.2, 30,1016,XX
AL,15,2020090512, 03,EE37, 24,42.1,-53.3, 31,1016,XX
AL,15,2020090512, 03,EE15, 24,42.5,-54.2, 30,1015,XX
AL,15,2020090512, 03,EE00, 24,43.5,-52.9, 27,1016,XX
AL,15,2020090512, 03,EE41, 24,44.2,-52.4, 29,1015,XX
AL,15,2020090512, 03,EE15, 30,43.5,-52.2, 31,1015,XX
AL,15,2020090512, 03,EE41, 30,46.0,-49.7, 31,1015,XX
AL,15,2020090512, 03,EE15, 36,45.1,-48.4, 26,1018,XX
AL,15,2020090512, 03,EE22, 36,45.3,-47.0, 28,1017,XX
AL,15,2020090512, 03,EE37, 36,45.4,-47.2, 25,1018,XX
AL,15,2020090512, 03,EE00, 36,48.2,-45.5, 24,1017,XX
AL,15,2020090512, 03,EE15, 42,47.3,-44.5, 24,1017,XX
AL,15,2020090512, 03,EE22, 42,49.1,-41.8, 28,1014,XX
