basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,17,2020091000, 03,EE25,  0,20.5,-47.6, 57, 994,XX
AL,17,2020091000, 03,EE37,  0,20.5,-47.4, 63, 996,XX
AL,17,2020091000, 03,EE13,  0,20.5,-47.6, 46, 997,XX
AL,17,2020091000, 03,EE02,  0,20.5,-47.6, 40, 998,XX
AL,17,2020091000, 03,EE26,  0,20.6,-47.3, 47,1000,XX
AL,17,2020091000, 03,EE21,  0,20.6,-47.4, 49, 998,XX
AL,17,2020091000, 03,EE27,  0,20.6,-47.3, 44, 999,XX
AL,17,2020091000, 03,EE47,  0,20.7,-47.4, 37,1003,XX
AL,17,2020091000, 03,EE22,  0,20.7,-47.4, 55, 995,XX
AL,17,2020091000, 03,EE20,  0,20.7,-47.4, 49, 996,XX
AL,17,2020091000, 03,EE05,  0,20.7,-47.4, 49, 997,XX
AL,17,2020091000, 03,EE29,  0,20.7,-47.4, 43, 998,XX
AL,17,2020091000, 03,EE31,  0,20.8,-47.4, 62, 992,XX
AL,17,2020091000, 03,EE01,  0,20.8,-47.6, 63, 993,XX
AL,17,2020091000, 03,EE12,  0,20.8,-47.4, 50, 994,XX
AL,17,2020091000, 03,EE15,  0,20.8,-47.9, 53, 995,XX
AL,17,2020091000, 03,EE03,  0,20.8,-47.4, 56, 996,XX
AL,17,2020091000, 03,ECMF,  0,20.8,-47.4, 49, 997,XX
AL,17,2020091000, 03,EE04,  0,20.8,-47.4, 46, 998,XX
AL,17,2020091000, 03,EE00,132,31.8,-68.5, 33, 998,XX
AL,17,2020091000, 03,EE02,108,29.4,-65.9, 34, 995,XX
AL,17,2020091000, 03,EE00,120,30.8,-68.7, 35, 999,XX
AL,17,2020091000, 03,EE00,144,32.1,-67.1, 36, 996,XX
AL,17,2020091000, 03,EE04,108,32.1,-62.2, 37, 995,XX
AL,17,2020091000, 03,EE00,138,31.9,-67.8, 38, 996,XX
AL,17,2020091000, 03,EE13,102,29.8,-65.9, 39, 997,XX
AL,17,2020091000, 03,EE01,102,30.2,-64.0, 40, 995,XX
AL,17,2020091000, 03,EE01,108,31.1,-64.9, 41, 994,XX
