basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,18,2020091012, 03,EE01,  0,18.3,-35.6, 30,1006,XX
AL,18,2020091012, 03,ECMF,  0,18.4,-35.6, 31,1004,XX
AL,18,2020091012, 03,EE47,  0,18.6,-35.8, 45,1000,XX
AL,18,2020091012, 03,EE26,138,25.9,-45.6, 40, 999,XX
AL,18,2020091012, 03,EE42,120,29.3,-35.3, 44, 999,XX
AL,18,2020091012, 03,EE05,138,24.2,-39.8, 50, 995,XX
AL,18,2020091012, 03,EE05,132,22.8,-38.6, 52, 994,XX
AL,18,2020091012, 03,EE05,144,25.7,-41.0, 58, 990,XX
AL,18,2020091012, 03,EE10,  6,18.3,-36.5, 36,1002,XX
AL,18,2020091012, 03,EE06,  6,18.6,-36.2, 27,1003,XX
AL,18,2020091012, 03,EE13,  6,18.7,-36.3, 24,1006,XX
AL,18,2020091012, 03,EE01,  6,18.9,-35.8, 26,1005,XX
AL,18,2020091012, 03,EE04,  6,19.0,-36.5, 31,1002,XX
AL,18,2020091012, 03,EE47,  6,19.0,-36.6, 32, 999,XX
AL,18,2020091012, 03,ECMF,  6,19.1,-36.0, 29,1003,XX
AL,18,2020091012, 03,EE18,  6,19.3,-36.3, 32,1003,XX
AL,18,2020091012, 03,EE16,  6,19.4,-35.8, 25,1006,XX
AL,18,2020091012, 03,EE31, 12,18.4,-36.9, 25,1007,XX
AL,18,2020091012, 03,EE10, 12,18.6,-37.5, 30,1004,XX
AL,18,2020091012, 03,EE13, 12,18.7,-37.3, 27,1008,XX
AL,18,2020091012, 03,EE03, 12,18.9,-37.0, 28,1006,XX
AL,18,2020091012, 03,EE06, 12,19.0,-37.0, 30,1006,XX
AL,18,2020091012, 03,ECMF, 12,19.1,-37.3, 27,1006,XX
AL,18,2020091012, 03,EE01, 12,19.3,-36.9, 29,1007,XX
AL,18,2020091012, 03,EE16, 12,19.4,-37.3, 27,1008,XX
AL,18,2020091012, 03,EE21, 12,19.6,-36.3, 23,1010,XX
AL,18,2020091012, 03,EE23, 12,19.7,-36.9, 26,1008,XX
AL,18,2020091012, 03,EE10, 18,18.6,-38.0, 31,1002,XX
AL,18,2020091012, 03,EE48, 18,18.7,-38.2, 28,1004,XX
AL,18,2020091012, 03,EE03, 18,18.9,-38.0, 28,1005,XX
AL,18,2020091012, 03,EE06, 18,19.0,-37.9, 28,1003,XX
AL,18,2020091012, 03,EE02, 18,19.1,-37.7, 25,1003,XX
AL,18,2020091012, 03,ECMF, 18,19.2,-38.1, 25,1004,XX
AL,18,2020091012, 03,EE00, 18,19.3,-38.2, 26,1004,XX
AL,18,2020091012, 03,EE01, 18,19.4,-38.3, 25,1005,XX
AL,18,2020091012, 03,EE12, 18,19.6,-38.2, 26,1004,XX
AL,18,2020091012, 03,EE26, 18,19.7,-38.2, 30,1002,XX
AL,18,2020091012, 03,EE16, 18,19.8,-38.6, 26,1006,XX
AL,18,2020091012, 03,EE19, 18,20.0,-37.7, 30,1005,XX
AL,18,2020091012, 03,EE35, 24,18.7,-39.4, 31,1004,XX
AL,18,2020091012, 03,EE04, 24,19.0,-39.1, 26,1006,XX
AL,18,2020091012, 03,EE03, 24,19.1,-39.0, 25,1007,XX
AL,18,2020091012, 03,EE11, 24,19.3,-39.1, 32,1003,XX
AL,18,2020091012, 03,EE01, 24,19.4,-39.3, 21,1008,XX
AL,18,2020091012, 03,ECMF, 24,19.5,-39.0, 25,1006,XX
AL,18,2020091012, 03,EE00, 24,19.6,-39.3, 23,1007,XX
AL,18,2020091012, 03,EE07, 24,19.7,-39.0, 30,1004,XX
AL,18,2020091012, 03,EE33, 24,19.8,-38.9, 27,1006,XX
AL,18,2020091012, 03,EE12, 24,20.0,-39.1, 24,1007,XX
AL,18,2020091012, 03,EE41, 24,20.1,-39.1, 23,1007,XX
AL,18,2020091012, 03,EE16, 24,20.3,-39.7, 27,1008,XX
AL,18,2020091012, 03,EE19, 24,20.5,-38.6, 24,1007,XX
AL,18,2020091012, 03,EE21, 24,20.7,-39.0, 18,1011,XX
AL,18,2020091012, 03,EE35, 30,18.9,-40.3, 30,1002,XX
AL,18,2020091012, 03,EE34, 30,19.1,-40.3, 26,1005,XX
AL,18,2020091012, 03,EE04, 30,19.3,-40.0, 23,1004,XX
AL,18,2020091012, 03,EE37, 30,19.4,-40.0, 24,1005,XX
AL,18,2020091012, 03,EE03, 30,19.6,-40.1, 26,1006,XX
AL,18,2020091012, 03,EE13, 30,19.7,-40.5, 22,1007,XX
AL,18,2020091012, 03,EE01, 30,19.8,-40.1, 23,1006,XX
AL,18,2020091012, 03,EE02, 30,20.0,-40.1, 25,1005,XX
AL,18,2020091012, 03,EE00, 30,20.1,-40.1, 24,1006,XX
AL,18,2020091012, 03,ECMF, 30,20.2,-40.1, 24,1005,XX
AL,18,2020091012, 03,EE09, 30,20.3,-40.5, 30,1003,XX
AL,18,2020091012, 03,EE18, 30,20.4,-40.4, 27,1003,XX
AL,18,2020091012, 03,EE36, 30,20.5,-40.1, 27,1003,XX
AL,18,2020091012, 03,EE12, 30,20.7,-40.0, 24,1005,XX
AL,18,2020091012, 03,EE45, 30,20.8,-40.3, 27,1005,XX
AL,18,2020091012, 03,EE16, 30,21.1,-40.3, 23,1007,XX
AL,18,2020091012, 03,EE21, 30,21.2,-39.7, 21,1009,XX
AL,18,2020091012, 03,EE19, 30,21.5,-39.3, 27,1006,XX
AL,18,2020091012, 03,EE35, 36,19.0,-41.3, 34,1002,XX
AL,18,2020091012, 03,EE34, 36,19.3,-41.3, 26,1007,XX
AL,18,2020091012, 03,EE10, 36,19.6,-41.0, 33,1004,XX
AL,18,2020091012, 03,EE04, 36,19.7,-41.1, 29,1005,XX
AL,18,2020091012, 03,EE03, 36,19.8,-41.1, 26,1008,XX
AL,18,2020091012, 03,EE08, 36,20.0,-41.1, 23,1008,XX
AL,18,2020091012, 03,EE01, 36,20.1,-41.0, 22,1009,XX
AL,18,2020091012, 03,EE11, 36,20.3,-40.7, 30,1004,XX
AL,18,2020091012, 03,ECMF, 36,20.4,-41.0, 26,1007,XX
AL,18,2020091012, 03,EE00, 36,20.5,-41.1, 27,1008,XX
AL,18,2020091012, 03,EE05, 36,20.6,-41.7, 25,1009,XX
AL,18,2020091012, 03,EE06, 36,20.7,-40.8, 30,1004,XX
AL,18,2020091012, 03,EE17, 36,20.8,-41.8, 26,1009,XX
AL,18,2020091012, 03,EE09, 36,21.0,-41.7, 32,1005,XX
AL,18,2020091012, 03,EE18, 36,21.1,-41.1, 27,1006,XX
AL,18,2020091012, 03,EE12, 36,21.4,-40.8, 27,1008,XX
AL,18,2020091012, 03,EE16, 36,21.8,-41.3, 26,1009,XX
AL,18,2020091012, 03,EE42, 36,22.1,-41.8, 28,1008,XX
AL,18,2020091012, 03,EE19, 36,22.2,-40.8, 28,1008,XX
AL,18,2020091012, 03,EE35, 42,19.1,-42.4, 35, 998,XX
AL,18,2020091012, 03,EE34, 42,19.7,-42.4, 25,1007,XX
AL,18,2020091012, 03,EE10, 42,20.0,-42.1, 32,1002,XX
AL,18,2020091012, 03,EE04, 42,20.1,-42.1, 31,1004,XX
AL,18,2020091012, 03,EE03, 42,20.4,-42.2, 24,1006,XX
AL,18,2020091012, 03,EE01, 42,20.5,-42.1, 21,1008,XX
AL,18,2020091012, 03,EE11, 42,20.7,-41.8, 31,1003,XX
AL,18,2020091012, 03,EE27, 42,20.8,-42.0, 25,1005,XX
AL,18,2020091012, 03,EE15, 42,21.0,-42.4, 25,1007,XX
AL,18,2020091012, 03,EE00, 42,21.1,-42.2, 24,1007,XX
AL,18,2020091012, 03,EE05, 42,21.2,-42.7, 24,1007,XX
AL,18,2020091012, 03,ECMF, 42,21.3,-42.2, 26,1006,XX
AL,18,2020091012, 03,EE06, 42,21.4,-41.7, 29,1004,XX
AL,18,2020091012, 03,EE36, 42,21.5,-42.1, 26,1005,XX
AL,18,2020091012, 03,EE09, 42,21.7,-42.7, 30,1004,XX
AL,18,2020091012, 03,EE18, 42,21.8,-42.1, 29,1003,XX
AL,18,2020091012, 03,EE41, 42,21.9,-42.0, 24,1007,XX
AL,18,2020091012, 03,EE12, 42,22.1,-42.1, 24,1007,XX
AL,18,2020091012, 03,EE23, 42,22.2,-41.7, 23,1008,XX
AL,18,2020091012, 03,EE42, 42,22.8,-43.1, 26,1006,XX
AL,18,2020091012, 03,EE16, 42,22.9,-42.4, 22,1008,XX
AL,18,2020091012, 03,EE19, 42,23.1,-41.1, 29,1006,XX
AL,18,2020091012, 03,EE35, 48,19.4,-43.5, 38, 999,XX
AL,18,2020091012, 03,EE34, 48,20.3,-43.8, 26,1009,XX
AL,18,2020091012, 03,EE10, 48,20.5,-43.1, 31,1005,XX
AL,18,2020091012, 03,EE03, 48,20.7,-42.9, 23,1009,XX
AL,18,2020091012, 03,EE04, 48,20.8,-43.5, 27,1007,XX
AL,18,2020091012, 03,EE28, 48,21.0,-42.9, 23,1009,XX
AL,18,2020091012, 03,EE01, 48,21.1,-43.2, 22,1010,XX
AL,18,2020091012, 03,EE11, 48,21.4,-42.9, 31,1005,XX
AL,18,2020091012, 03,EE15, 48,21.7,-43.6, 26,1010,XX
AL,18,2020091012, 03,EE07, 48,21.8,-43.5, 30,1005,XX
AL,18,2020091012, 03,EE00, 48,21.9,-43.4, 23,1009,XX
AL,18,2020091012, 03,ECMF, 48,22.1,-43.3, 26,1008,XX
AL,18,2020091012, 03,EE05, 48,22.2,-43.8, 25,1009,XX
AL,18,2020091012, 03,EE33, 48,22.4,-43.5, 27,1008,XX
AL,18,2020091012, 03,EE09, 48,22.5,-43.8, 31,1007,XX
AL,18,2020091012, 03,EE41, 48,22.7,-43.1, 22,1010,XX
AL,18,2020091012, 03,EE18, 48,22.8,-43.2, 28,1006,XX
AL,18,2020091012, 03,EE45, 48,22.9,-43.5, 25,1009,XX
AL,18,2020091012, 03,EE21, 48,23.5,-42.7, 18,1014,XX
AL,18,2020091012, 03,EE42, 48,23.9,-44.2, 24,1009,XX
AL,18,2020091012, 03,EE16, 48,24.2,-43.4, 23,1011,XX
AL,18,2020091012, 03,EE19, 48,24.6,-42.1, 32,1008,XX
AL,18,2020091012, 03,EE35, 54,19.8,-44.6, 36,1000,XX
AL,18,2020091012, 03,EE34, 54,21.1,-44.9, 22,1009,XX
