basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,19,2020091700, 03,EE07,  0,30.9,-86.7, 32, 997,XX
AL,19,2020091700, 03,EE48,  0,31.1,-86.8, 31, 995,XX
AL,19,2020091700, 03,EE05,  0,31.1,-86.5, 31, 998,XX
AL,19,2020091700, 03,EE14,  0,31.1,-87.1, 29, 999,XX
AL,19,2020091700, 03,EE25,  0,31.2,-86.5, 28,1000,XX
AL,19,2020091700, 03,EE33,  0,31.2,-86.5, 33, 994,XX
AL,19,2020091700, 03,EE04,  0,31.2,-86.7, 31, 995,XX
AL,19,2020091700, 03,EE06,  0,31.2,-86.4, 31, 996,XX
AL,19,2020091700, 03,ECMF,  0,31.2,-86.6, 31, 997,XX
AL,19,2020091700, 03,EE02,  0,31.2,-86.4, 30, 998,XX
AL,19,2020091700, 03,EE21,  0,31.2,-86.7, 30, 999,XX
AL,19,2020091700, 03,EE12,  0,31.4,-86.8, 32, 992,XX
AL,19,2020091700, 03,EE18,  0,31.4,-87.1, 34, 995,XX
AL,19,2020091700, 03,EE35,  0,31.4,-86.7, 32, 996,XX
AL,19,2020091700, 03,EE08,  0,31.4,-86.7, 31, 997,XX
AL,19,2020091700, 03,EE34,  0,31.4,-86.8, 30, 998,XX
AL,19,2020091700, 03,EE01,  0,31.4,-86.7, 28, 999,XX
AL,19,2020091700, 03,EE27,  0,31.6,-86.8, 28, 997,XX
AL,19,2020091700, 03,EE24,  6,31.1,-86.9, 29,1001,XX
AL,19,2020091700, 03,EE20,  6,31.1,-86.5, 32, 999,XX
AL,19,2020091700, 03,EE17,  6,31.2,-86.5, 31,1001,XX
AL,19,2020091700, 03,EE05,  6,31.4,-86.1, 28,1001,XX
AL,19,2020091700, 03,ECMF,  6,31.5,-86.3, 29,1002,XX
AL,19,2020091700, 03,EE02,  6,31.6,-86.4, 28,1002,XX
AL,19,2020091700, 03,EE43,  6,31.6,-86.4, 27, 999,XX
AL,19,2020091700, 03,EE32,  6,31.7,-86.4, 32, 998,XX
AL,19,2020091700, 03,EE33,  6,31.8,-85.7, 27,1000,XX
AL,19,2020091700, 03,EE12,  6,31.9,-86.1, 27, 998,XX
AL,19,2020091700, 03,EE06, 12,31.8,-85.7, 26,1003,XX
AL,19,2020091700, 03,EE41, 12,31.9,-85.5, 25,1003,XX
AL,19,2020091700, 03,EE03, 12,32.1,-85.7, 28,1003,XX
AL,19,2020091700, 03,ECMF, 12,32.2,-85.3, 25,1004,XX
AL,19,2020091700, 03,EE01, 12,32.4,-86.1, 23,1004,XX
AL,19,2020091700, 03,EE00, 12,32.5,-85.4, 23,1003,XX
AL,19,2020091700, 03,EE21, 12,32.6,-85.7, 23,1003,XX
AL,19,2020091700, 03,EE08, 12,32.9,-85.3, 23,1003,XX
AL,19,2020091700, 03,EE31, 12,33.0,-83.5, 26,1003,XX
AL,19,2020091700, 03,EE33, 12,33.1,-85.0, 24,1001,XX
AL,19,2020091700, 03,EE06, 18,32.4,-85.0, 25,1004,XX
AL,19,2020091700, 03,EE28, 18,32.5,-84.8, 25,1004,XX
AL,19,2020091700, 03,EE30, 18,32.9,-83.4, 24,1004,XX
AL,19,2020091700, 03,EE44, 18,33.1,-84.3, 26,1003,XX
AL,19,2020091700, 03,EE03, 18,33.2,-85.0, 25,1004,XX
AL,19,2020091700, 03,EE22, 18,33.3,-84.7, 25,1003,XX
