basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,20,2020091800, 03,EE15,  0,20.4,-54.3,105, 936,XX
AL,20,2020091800, 03,EE47,  0,20.4,-54.3, 98, 937,XX
AL,20,2020091800, 03,EE16,  0,20.4,-54.5, 95, 939,XX
AL,20,2020091800, 03,EE23,  0,20.4,-54.3, 96, 940,XX
AL,20,2020091800, 03,EE20,  0,20.4,-54.3, 95, 942,XX
AL,20,2020091800, 03,EE10,  0,20.4,-54.3, 94, 943,XX
AL,20,2020091800, 03,EE04,  0,20.4,-54.5, 96, 944,XX
AL,20,2020091800, 03,EE48,  0,20.4,-54.3, 93, 945,XX
AL,20,2020091800, 03,ECMF,  0,20.4,-54.3, 96, 946,XX
AL,20,2020091800, 03,EE00,  0,20.4,-54.3, 85, 947,XX
AL,20,2020091800, 03,EE01,  0,20.4,-54.3, 83, 948,XX
AL,20,2020091800, 03,EE02,  0,20.4,-54.3, 94, 949,XX
AL,20,2020091800, 03,EE11,  0,20.4,-54.3, 95, 950,XX
AL,20,2020091800, 03,EE05,  0,20.4,-54.3, 90, 951,XX
AL,20,2020091800, 03,EE22,  0,20.4,-54.3, 84, 952,XX
AL,20,2020091800, 03,EE45,  0,20.4,-54.3, 86, 953,XX
AL,20,2020091800, 03,EE44,  0,20.4,-54.3, 87, 954,XX
AL,20,2020091800, 03,EE09,  0,20.4,-54.3, 75, 956,XX
AL,20,2020091800, 03,EE36,144,46.8,-65.6, 25, 992,XX
AL,20,2020091800, 03,EE32,132,48.9,-68.1, 26, 993,XX
AL,20,2020091800, 03,EE01,132,45.8,-67.4, 28, 996,XX
AL,20,2020091800, 03,EE14,132,47.1,-67.8, 29, 994,XX
AL,20,2020091800, 03,EE13,126,44.4,-66.4, 30, 993,XX
AL,20,2020091800, 03,EE08,126,49.4,-64.6, 31, 988,XX
AL,20,2020091800, 03,EE11,144,47.0,-60.0, 32, 985,XX
AL,20,2020091800, 03,EE13,120,45.0,-67.0, 33, 990,XX
AL,20,2020091800, 03,EE00,126,47.7,-64.7, 34, 984,XX
AL,20,2020091800, 03,ECMF,126,47.0,-65.2, 35, 985,XX
AL,20,2020091800, 03,EE00,132,48.0,-63.6, 36, 988,XX
AL,20,2020091800, 03,EE03,126,46.8,-64.6, 37, 987,XX
AL,20,2020091800, 03,EE03,120,46.3,-65.4, 38, 978,XX
AL,20,2020091800, 03,EE01,120,43.9,-69.1, 39, 984,XX
AL,20,2020091800, 03,ECMF,120,46.5,-65.0, 40, 983,XX
AL,20,2020091800, 03,EE11,138,46.3,-61.2, 41, 982,XX
AL,20,2020091800, 03,EE06,108,45.6,-65.6, 42, 990,XX
AL,20,2020091800, 03,EE05,114,45.1,-64.2, 43, 975,XX
AL,20,2020091800, 03,EE00,114,45.8,-63.5, 44, 978,XX
AL,20,2020091800, 03,ECMF,114,45.1,-64.3, 45, 970,XX
AL,20,2020091800, 03,EE03,114,45.6,-64.2, 46, 973,XX
AL,20,2020091800, 03,EE08,114,47.3,-63.8, 47, 976,XX
AL,20,2020091800, 03,EE01,114,43.9,-68.4, 48, 971,XX
AL,20,2020091800, 03,EE09,114,46.4,-63.9, 49, 973,XX
AL,20,2020091800, 03,EE04,108,44.7,-63.3, 50, 968,XX
AL,20,2020091800, 03,EE24,114,47.1,-62.6, 51, 965,XX
AL,20,2020091800, 03,EE02,132,45.6,-60.5, 52, 965,XX
