basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,30,2020111200, 03,EE15,  0,30.7,-32.1, 50, 988,XX
AL,30,2020111200, 03,EE23,  0,30.7,-32.1, 50, 989,XX
AL,30,2020111200, 03,EE29,  0,30.7,-32.0, 48, 991,XX
AL,30,2020111200, 03,EE32,  0,30.8,-32.0, 55, 988,XX
AL,30,2020111200, 03,EE08,  0,30.8,-32.0, 54, 989,XX
AL,30,2020111200, 03,EE11,  0,30.8,-32.0, 43, 992,XX
AL,30,2020111200, 03,EE13,  0,30.8,-32.0, 45, 993,XX
AL,30,2020111200, 03,EE34,  0,30.8,-32.1, 47, 994,XX
AL,30,2020111200, 03,EE04,  0,30.9,-31.8, 47, 987,XX
AL,30,2020111200, 03,EE02,  0,30.9,-32.1, 59, 989,XX
AL,30,2020111200, 03,EE18,  0,30.9,-32.0, 52, 990,XX
AL,30,2020111200, 03,EE36,  0,30.9,-32.1, 43, 991,XX
AL,30,2020111200, 03,EE00,  0,30.9,-32.0, 44, 992,XX
AL,30,2020111200, 03,EE06,  0,30.9,-32.1, 48, 993,XX
AL,30,2020111200, 03,EE20,  0,30.9,-32.0, 41, 994,XX
AL,30,2020111200, 03,EE28,  0,30.9,-31.8, 45, 995,XX
AL,30,2020111200, 03,EE40,  0,30.9,-32.1, 40, 996,XX
AL,30,2020111200, 03,ECMF,  0,31.0,-32.0, 45, 992,XX
AL,30,2020111200, 03,EE17,  0,31.1,-32.1, 55, 989,XX
AL,30,2020111200, 03,EE05,  0,31.1,-32.0, 55, 991,XX
AL,30,2020111200, 03,EE03,  0,31.1,-32.0, 44, 992,XX
AL,30,2020111200, 03,EE39,  0,31.1,-32.0, 45, 993,XX
AL,30,2020111200, 03,EE14,  0,31.1,-32.0, 49, 994,XX
AL,30,2020111200, 03,EE50,  0,31.1,-32.0, 45, 995,XX
AL,30,2020111200, 03,EE31,  0,31.2,-32.0, 48, 994,XX
AL,30,2020111200, 03,EE04,144,47.3,-12.8, 46, 996,XX
AL,30,2020111200, 03,EE02,  6,31.2,-31.0, 44, 986,XX
AL,30,2020111200, 03,EE36,  6,31.2,-31.4, 43, 989,XX
AL,30,2020111200, 03,EE13,  6,31.2,-31.0, 42, 990,XX
AL,30,2020111200, 03,EE10,  6,31.2,-30.6, 43, 991,XX
AL,30,2020111200, 03,ECMF,  6,31.3,-31.0, 44, 989,XX
AL,30,2020111200, 03,EE15,  6,31.4,-30.8, 41, 985,XX
AL,30,2020111200, 03,EE17,  6,31.4,-31.1, 45, 987,XX
AL,30,2020111200, 03,EE03,  6,31.4,-30.8, 43, 988,XX
AL,30,2020111200, 03,EE25,  6,31.4,-31.1, 46, 989,XX
AL,30,2020111200, 03,EE00,  6,31.4,-31.0, 42, 990,XX
AL,30,2020111200, 03,EE14,  6,31.4,-31.0, 43, 991,XX
AL,30,2020111200, 03,EE50,  6,31.4,-30.8, 48, 992,XX
AL,30,2020111200, 03,EE04,  6,31.5,-31.0, 43, 984,XX
AL,30,2020111200, 03,EE23,  6,31.5,-31.0, 44, 985,XX
AL,30,2020111200, 03,EE08,  6,31.5,-30.8, 42, 986,XX
AL,30,2020111200, 03,EE26,  6,31.5,-31.1, 45, 987,XX
AL,30,2020111200, 03,EE43,  6,31.5,-31.1, 44, 988,XX
AL,30,2020111200, 03,EE22,  6,31.5,-31.0, 42, 989,XX
AL,30,2020111200, 03,EE06,  6,31.5,-31.3, 43, 990,XX
AL,30,2020111200, 03,EE47,  6,31.5,-31.1, 41, 991,XX
AL,30,2020111200, 03,EE31,  6,31.5,-31.1, 43, 992,XX
AL,30,2020111200, 03,EE18,  6,31.6,-30.7, 44, 987,XX
AL,30,2020111200, 03,EE19,  6,31.6,-31.0, 43, 988,XX
AL,30,2020111200, 03,EE12,  6,31.6,-31.1, 44, 989,XX
AL,30,2020111200, 03,EE40,  6,31.6,-30.8, 42, 991,XX
AL,30,2020111200, 03,EE28,  6,31.6,-30.8, 42, 992,XX
AL,30,2020111200, 03,EE48,  6,31.8,-30.8, 42, 986,XX
AL,30,2020111200, 03,EE35,  6,31.8,-30.8, 42, 988,XX
AL,30,2020111200, 03,EE36, 12,30.9,-30.0, 43, 992,XX
AL,30,2020111200, 03,EE02, 12,31.2,-29.7, 42, 989,XX
AL,30,2020111200, 03,EE35, 12,31.2,-29.9, 44, 990,XX
AL,30,2020111200, 03,EE11, 12,31.2,-29.6, 41, 991,XX
AL,30,2020111200, 03,EE17, 12,31.2,-29.7, 41, 992,XX
AL,30,2020111200, 03,EE16, 12,31.2,-29.4, 42, 993,XX
AL,30,2020111200, 03,EE15, 12,31.4,-29.9, 42, 986,XX
AL,30,2020111200, 03,EE08, 12,31.4,-29.9, 45, 987,XX
AL,30,2020111200, 03,EE48, 12,31.4,-30.0, 45, 988,XX
AL,30,2020111200, 03,EE23, 12,31.4,-29.7, 41, 989,XX
AL,30,2020111200, 03,EE03, 12,31.4,-29.6, 42, 990,XX
AL,30,2020111200, 03,EE12, 12,31.4,-29.9, 43, 991,XX
AL,30,2020111200, 03,EE40, 12,31.4,-29.7, 40, 992,XX
AL,30,2020111200, 03,EE20, 12,31.4,-29.7, 39, 993,XX
AL,30,2020111200, 03,EE13, 12,31.4,-29.4, 41, 994,XX
AL,30,2020111200, 03,EE04, 12,31.5,-29.9, 40, 988,XX
AL,30,2020111200, 03,EE26, 12,31.5,-29.9, 42, 990,XX
AL,30,2020111200, 03,ECMF, 12,31.5,-29.7, 41, 991,XX
AL,30,2020111200, 03,EE00, 12,31.5,-29.6, 40, 992,XX
AL,30,2020111200, 03,EE06, 12,31.5,-30.0, 40, 993,XX
AL,30,2020111200, 03,EE30, 12,31.6,-29.7, 44, 989,XX
AL,30,2020111200, 03,EE19, 12,31.6,-29.6, 38, 991,XX
AL,30,2020111200, 03,EE22, 12,31.6,-29.7, 42, 992,XX
AL,30,2020111200, 03,EE10, 12,31.6,-29.0, 40, 994,XX
AL,30,2020111200, 03,EE18, 12,31.8,-29.6, 41, 990,XX
AL,30,2020111200, 03,EE38, 12,31.8,-29.6, 41, 992,XX
AL,30,2020111200, 03,EE36, 18,31.1,-28.5, 40, 991,XX
AL,30,2020111200, 03,EE37, 18,31.1,-28.3, 40, 992,XX
AL,30,2020111200, 03,EE08, 18,31.2,-28.0, 44, 987,XX
AL,30,2020111200, 03,EE17, 18,31.2,-28.2, 43, 991,XX
AL,30,2020111200, 03,EE06, 18,31.2,-29.2, 39, 993,XX
AL,30,2020111200, 03,EE32, 18,31.4,-28.0, 41, 987,XX
AL,30,2020111200, 03,EE02, 18,31.4,-28.0, 41, 989,XX
AL,30,2020111200, 03,ECMF, 18,31.4,-28.2, 39, 991,XX
AL,30,2020111200, 03,EE20, 18,31.4,-28.3, 42, 992,XX
AL,30,2020111200, 03,EE14, 18,31.4,-28.5, 41, 993,XX
AL,30,2020111200, 03,EE15, 18,31.5,-28.7, 46, 985,XX
AL,30,2020111200, 03,EE26, 18,31.5,-28.5, 40, 989,XX
AL,30,2020111200, 03,EE03, 18,31.5,-28.2, 42, 990,XX
AL,30,2020111200, 03,EE22, 18,31.5,-28.3, 39, 991,XX
AL,30,2020111200, 03,EE34, 18,31.5,-28.2, 36, 992,XX
AL,30,2020111200, 03,EE16, 18,31.5,-27.6, 40, 993,XX
AL,30,2020111200, 03,EE50, 18,31.5,-28.3, 39, 994,XX
AL,30,2020111200, 03,EE04, 18,31.6,-28.2, 40, 987,XX
AL,30,2020111200, 03,EE19, 18,31.6,-28.2, 41, 989,XX
AL,30,2020111200, 03,EE29, 18,31.6,-28.2, 39, 990,XX
AL,30,2020111200, 03,EE12, 18,31.6,-28.2, 38, 991,XX
AL,30,2020111200, 03,EE10, 18,31.6,-28.2, 38, 993,XX
AL,30,2020111200, 03,EE18, 18,31.8,-28.5, 39, 989,XX
AL,30,2020111200, 03,EE05, 18,31.8,-28.3, 43, 992,XX
AL,30,2020111200, 03,EE13, 18,31.8,-28.2, 39, 993,XX
AL,30,2020111200, 03,EE30, 18,31.9,-28.5, 41, 988,XX
AL,30,2020111200, 03,EE17, 24,31.2,-26.9, 38, 993,XX
AL,30,2020111200, 03,EE44, 24,31.4,-26.5, 40, 990,XX
AL,30,2020111200, 03,EE39, 24,31.4,-27.3, 37, 992,XX
AL,30,2020111200, 03,EE33, 24,31.4,-27.5, 38, 995,XX
AL,30,2020111200, 03,EE15, 24,31.5,-27.5, 44, 988,XX
AL,30,2020111200, 03,EE02, 24,31.5,-26.6, 39, 990,XX
AL,30,2020111200, 03,EE11, 24,31.5,-26.6, 39, 993,XX
AL,30,2020111200, 03,EE36, 24,31.5,-27.3, 40, 994,XX
AL,30,2020111200, 03,EE06, 24,31.5,-27.9, 37, 995,XX
AL,30,2020111200, 03,EE32, 24,31.6,-26.8, 38, 989,XX
AL,30,2020111200, 03,EE08, 24,31.6,-26.8, 38, 990,XX
AL,30,2020111200, 03,EE29, 24,31.6,-26.9, 38, 991,XX
AL,30,2020111200, 03,EE00, 24,31.6,-26.9, 37, 993,XX
AL,30,2020111200, 03,EE25, 24,31.6,-26.6, 38, 995,XX
AL,30,2020111200, 03,ECMF, 24,31.7,-27.0, 37, 994,XX
AL,30,2020111200, 03,EE26, 24,31.8,-27.2, 43, 988,XX
AL,30,2020111200, 03,EE23, 24,31.8,-27.0, 38, 991,XX
AL,30,2020111200, 03,EE03, 24,31.8,-27.2, 39, 992,XX
AL,30,2020111200, 03,EE04, 24,31.9,-27.0, 40, 988,XX
AL,30,2020111200, 03,EE30, 24,31.9,-27.5, 43, 990,XX
AL,30,2020111200, 03,EE19, 24,31.9,-27.0, 40, 991,XX
AL,30,2020111200, 03,EE05, 24,31.9,-26.9, 41, 994,XX
AL,30,2020111200, 03,EE38, 24,31.9,-27.0, 37, 995,XX
AL,30,2020111200, 03,EE31, 24,32.1,-27.3, 42, 993,XX
AL,30,2020111200, 03,EE13, 24,32.1,-26.9, 38, 995,XX
AL,30,2020111200, 03,EE10, 30,31.4,-25.9, 37, 994,XX
AL,30,2020111200, 03,EE17, 30,31.5,-25.4, 38, 992,XX
AL,30,2020111200, 03,EE37, 30,31.5,-25.8, 38, 993,XX
AL,30,2020111200, 03,EE06, 30,31.5,-26.9, 36, 995,XX
AL,30,2020111200, 03,EE32, 30,31.6,-25.5, 41, 988,XX
AL,30,2020111200, 03,EE44, 30,31.6,-24.9, 40, 989,XX
