basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,21,2020091412, 03,EE43,  0,15.5,-31.4, 42,1007,XX
AL,21,2020091412, 03,EE50,  0,17.0,-28.5, 38,1007,XX
AL,21,2020091412, 03,EE24,  0,17.3,-28.9, 32,1009,XX
AL,21,2020091412, 03,EE07,  0,17.5,-28.9, 32,1009,XX
AL,21,2020091412, 03,EE02,  0,17.9,-28.6, 35,1007,XX
AL,21,2020091412, 03,EE09,  0,18.0,-28.6, 38,1007,XX
AL,21,2020091412, 03,EE10,  0,18.2,-28.3, 36,1006,XX
AL,21,2020091412, 03,ECMF,  0,18.3,-28.4, 34,1007,XX
AL,21,2020091412, 03,EE03,  0,18.4,-28.3, 37,1007,XX
AL,21,2020091412, 03,EE04,  0,18.6,-28.9, 37,1005,XX
AL,21,2020091412, 03,EE18,  0,18.7,-28.7, 38,1005,XX
AL,21,2020091412, 03,EE34,  0,19.0,-28.2, 35,1006,XX
AL,21,2020091412, 03,EE11,  0,19.1,-28.3, 34,1009,XX
AL,21,2020091412, 03,EE43,  6,15.5,-30.6, 30,1006,XX
AL,21,2020091412, 03,EE02,  6,18.3,-28.6, 33,1004,XX
AL,21,2020091412, 03,EE09,  6,18.6,-28.9, 34,1004,XX
AL,21,2020091412, 03,EE05,  6,18.7,-29.0, 33,1003,XX
AL,21,2020091412, 03,EE40,  6,18.7,-28.0, 38, 999,XX
AL,21,2020091412, 03,EE07,  6,18.9,-28.9, 35,1006,XX
AL,21,2020091412, 03,EE14,  6,19.0,-28.7, 37,1002,XX
AL,21,2020091412, 03,EE00,  6,19.1,-28.9, 32,1005,XX
AL,21,2020091412, 03,ECMF,  6,19.2,-28.8, 35,1005,XX
AL,21,2020091412, 03,EE03,  6,19.3,-29.2, 36,1004,XX
AL,21,2020091412, 03,EE36,  6,19.6,-29.0, 34,1003,XX
AL,21,2020091412, 03,EE06,  6,19.7,-28.7, 32,1005,XX
AL,21,2020091412, 03,EE27,  6,19.8,-28.3, 31,1006,XX
AL,21,2020091412, 03,EE11,  6,20.3,-29.6, 36,1004,XX
AL,21,2020091412, 03,EE43, 12,16.0,-29.7, 26,1010,XX
AL,21,2020091412, 03,EE02, 12,19.3,-29.6, 36,1005,XX
AL,21,2020091412, 03,EE10, 12,19.4,-29.6, 33,1006,XX
AL,21,2020091412, 03,EE35, 12,19.5,-29.5, 32,1008,XX
AL,21,2020091412, 03,EE04, 12,19.6,-30.1, 34,1005,XX
AL,21,2020091412, 03,EE05, 12,19.7,-29.2, 40,1005,XX
AL,21,2020091412, 03,EE03, 12,19.8,-29.9, 34,1006,XX
AL,21,2020091412, 03,EE23, 12,20.0,-29.2, 41,1003,XX
AL,21,2020091412, 03,EE00, 12,20.1,-29.6, 31,1008,XX
AL,21,2020091412, 03,EE11, 12,20.4,-29.4, 37,1004,XX
AL,21,2020091412, 03,ECMF, 12,20.5,-29.7, 38,1006,XX
AL,21,2020091412, 03,EE12, 12,20.7,-30.1, 42,1006,XX
AL,21,2020091412, 03,EE02, 18,19.8,-30.1, 36,1004,XX
AL,21,2020091412, 03,EE19, 18,20.0,-30.1, 31,1006,XX
AL,21,2020091412, 03,EE34, 18,20.1,-29.7, 40,1000,XX
AL,21,2020091412, 03,EE40, 18,20.1,-29.2, 43, 998,XX
AL,21,2020091412, 03,EE00, 18,20.4,-30.4, 37,1007,XX
AL,21,2020091412, 03,EE03, 18,20.5,-30.5, 37,1005,XX
AL,21,2020091412, 03,EE32, 18,20.5,-30.1, 45, 999,XX
AL,21,2020091412, 03,EE04, 18,20.6,-30.4, 42,1001,XX
AL,21,2020091412, 03,ECMF, 18,20.7,-30.0, 36,1003,XX
AL,21,2020091412, 03,EE05, 18,20.8,-30.0, 52, 992,XX
AL,21,2020091412, 03,EE11, 18,21.0,-29.9, 37,1001,XX
AL,21,2020091412, 03,EE42, 18,21.1,-29.3, 41,1005,XX
AL,21,2020091412, 03,EE23, 18,21.1,-29.9, 45, 998,XX
AL,21,2020091412, 03,EE38, 18,21.2,-30.1, 39,1005,XX
AL,21,2020091412, 03,EE06, 18,21.4,-30.4, 41,1003,XX
AL,21,2020091412, 03,EE27, 18,21.5,-29.6, 41,1006,XX
AL,21,2020091412, 03,EE46, 24,20.3,-30.8, 38,1006,XX
AL,21,2020091412, 03,EE09, 24,20.4,-31.3, 49, 997,XX
AL,21,2020091412, 03,EE47, 24,20.5,-30.8, 36,1006,XX
AL,21,2020091412, 03,EE02, 24,20.5,-30.8, 49, 999,XX
AL,21,2020091412, 03,EE35, 24,20.6,-30.9, 33,1009,XX
AL,21,2020091412, 03,EE32, 24,20.7,-31.0, 38,1004,XX
AL,21,2020091412, 03,EE34, 24,20.8,-30.7, 42,1004,XX
AL,21,2020091412, 03,EE03, 24,21.0,-31.4, 42,1006,XX
AL,21,2020091412, 03,ECMF, 24,21.1,-31.1, 37,1006,XX
AL,21,2020091412, 03,EE05, 24,21.2,-30.7, 37,1004,XX
AL,21,2020091412, 03,EE04, 24,21.2,-31.4, 47, 998,XX
AL,21,2020091412, 03,EE27, 24,21.4,-30.7, 38,1007,XX
AL,21,2020091412, 03,EE06, 24,21.5,-31.1, 50,1002,XX
AL,21,2020091412, 03,EE25, 24,21.5,-30.3, 49, 998,XX
AL,21,2020091412, 03,EE00, 24,21.7,-30.4, 42,1008,XX
AL,21,2020091412, 03,EE31, 24,21.7,-30.0, 50, 997,XX
AL,21,2020091412, 03,EE11, 24,21.8,-30.4, 38,1004,XX
AL,21,2020091412, 03,EE23, 24,21.8,-30.7, 53, 995,XX
AL,21,2020091412, 03,EE20, 30,19.0,-31.0, 42,1010,XX
AL,21,2020091412, 03,EE02, 30,20.4,-31.4, 37,1002,XX
AL,21,2020091412, 03,EE50, 30,21.0,-31.4, 37,1001,XX
AL,21,2020091412, 03,EE13, 30,21.2,-32.1, 39,1002,XX
AL,21,2020091412, 03,EE00, 30,21.4,-31.7, 40,1006,XX
AL,21,2020091412, 03,EE30, 30,21.6,-31.6, 42,1004,XX
AL,21,2020091412, 03,ECMF, 30,21.7,-32.0, 39,1005,XX
AL,21,2020091412, 03,EE06, 30,21.8,-32.5, 42,1001,XX
AL,21,2020091412, 03,EE38, 30,21.8,-31.7, 44, 998,XX
AL,21,2020091412, 03,EE12, 30,21.9,-31.7, 40,1001,XX
AL,21,2020091412, 03,EE31, 30,22.1,-30.8, 40,1000,XX
AL,21,2020091412, 03,EE05, 30,22.2,-31.8, 35,1005,XX
AL,21,2020091412, 03,EE36, 30,22.4,-31.7, 39,1005,XX
AL,21,2020091412, 03,EE23, 30,22.4,-31.7, 47, 997,XX
AL,21,2020091412, 03,EE14, 30,22.5,-32.3, 45,1000,XX
AL,21,2020091412, 03,EE18, 30,22.5,-32.4, 46, 999,XX
AL,21,2020091412, 03,EE43, 36,18.4,-31.5, 22,1013,XX
AL,21,2020091412, 03,EE02, 36,20.4,-32.5, 31,1006,XX
AL,21,2020091412, 03,EE09, 36,20.8,-33.7, 36,1007,XX
AL,21,2020091412, 03,EE40, 36,21.0,-31.7, 38,1004,XX
AL,21,2020091412, 03,EE46, 36,21.2,-32.7, 34,1006,XX
AL,21,2020091412, 03,EE42, 36,21.4,-32.1, 36,1005,XX
AL,21,2020091412, 03,EE04, 36,21.5,-32.8, 39,1006,XX
AL,21,2020091412, 03,ECMF, 36,22.0,-33.0, 36,1007,XX
AL,21,2020091412, 03,EE28, 36,22.4,-32.8, 47,1009,XX
AL,21,2020091412, 03,EE14, 36,22.7,-32.8, 41,1005,XX
AL,21,2020091412, 03,EE31, 36,22.8,-31.7, 38,1005,XX
AL,21,2020091412, 03,EE11, 36,23.8,-32.4, 46,1002,XX
AL,21,2020091412, 03,EE20, 42,17.2,-31.3, 20,1011,XX
AL,21,2020091412, 03,EE02, 42,20.4,-33.7, 30,1007,XX
AL,21,2020091412, 03,EE04, 42,21.8,-33.2, 38,1004,XX
AL,21,2020091412, 03,EE46, 42,21.9,-33.5, 33,1006,XX
AL,21,2020091412, 03,EE19, 42,22.1,-34.1, 33,1004,XX
AL,21,2020091412, 03,EE12, 42,22.7,-33.7, 35,1004,XX
AL,21,2020091412, 03,EE18, 42,23.2,-34.8, 40,1002,XX
AL,21,2020091412, 03,EE31, 42,23.4,-32.3, 42,1003,XX
AL,21,2020091412, 03,EE50, 48,21.7,-33.7, 36,1007,XX
AL,21,2020091412, 03,EE00, 48,22.2,-35.1, 34,1008,XX
AL,21,2020091412, 03,EE50, 54,22.4,-34.4, 37,1003,XX
AL,21,2020091412, 03,EE23, 54,23.1,-36.6, 42,1003,XX
AL,21,2020091412, 03,EE18, 54,24.8,-37.2, 43,1001,XX
AL,21,2020091412, 03,EE50, 60,22.5,-35.1, 34,1007,XX
AL,21,2020091412, 03,EE18, 60,24.8,-38.6, 38,1002,XX
AL,21,2020091412, 03,EE18, 66,24.9,-39.6, 35,1003,XX
