basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,23,2020091912, 03,EE46,  0,13.7,-37.9, 30,1011,XX
AL,23,2020091912, 03,EE11,  0,13.9,-37.7, 23,1012,XX
AL,23,2020091912, 03,EE46,132,35.7,-52.4, 42, 997,XX
AL,23,2020091912, 03,EE46,138,37.7,-52.2, 46, 993,XX
AL,23,2020091912, 03,EE46,144,40.4,-51.5, 52, 990,XX
AL,23,2020091912, 03,EE11,  6,13.7,-38.2, 26,1008,XX
AL,23,2020091912, 03,EE21,  6,14.2,-39.3, 26,1009,XX
AL,23,2020091912, 03,EE46, 12,14.2,-39.7, 25,1011,XX
AL,23,2020091912, 03,EE11, 12,14.5,-39.1, 36,1007,XX
AL,23,2020091912, 03,EE21, 12,14.9,-40.7, 30,1010,XX
AL,23,2020091912, 03,EE46, 18,15.1,-41.5, 26,1008,XX
AL,23,2020091912, 03,EE11, 18,15.2,-40.5, 34,1005,XX
AL,23,2020091912, 03,EE21, 18,15.9,-42.4, 32,1008,XX
AL,23,2020091912, 03,EE11, 24,15.6,-41.8, 32,1007,XX
AL,23,2020091912, 03,EE21, 24,16.5,-43.9, 30,1010,XX
AL,23,2020091912, 03,EE11, 30,15.9,-42.9, 30,1005,XX
AL,23,2020091912, 03,EE11, 36,16.0,-43.8, 27,1008,XX
AL,23,2020091912, 03,EE46, 36,16.3,-45.8, 27,1010,XX
AL,23,2020091912, 03,EE21, 36,17.6,-45.3, 33,1008,XX
AL,23,2020091912, 03,EE21, 42,17.0,-46.3, 31,1005,XX
AL,23,2020091912, 03,EE11, 54,16.2,-45.2, 27,1006,XX
AL,23,2020091912, 03,EE11, 60,16.7,-45.5, 24,1008,XX
AL,23,2020091912, 03,EE46, 60,19.0,-46.5, 34,1006,XX
AL,23,2020091912, 03,EE46, 84,24.2,-48.1, 36,1005,XX
AL,23,2020091912, 03,EE46, 96,25.9,-50.3, 36,1005,XX
AL,23,2020091912, 03,EE46,114,30.1,-51.9, 34,1002,XX
AL,23,2020091912, 03,EE46,120,31.5,-52.2, 34,1003,XX
AL,23,2020091912, 03,EE46,102,27.4,-50.8, 35,1004,XX
AL,23,2020091912, 03,EE46,108,28.8,-51.5, 35,1005,XX
AL,23,2020091912, 03,EE46,126,33.3,-52.2, 37,1000,XX
