basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,28,2020102600, 03,EE35,  0,17.9,-83.7, 24,1000,XX
AL,28,2020102600, 03,EE43,  0,17.9,-83.6, 40, 997,XX
AL,28,2020102600, 03,EE27,  0,17.9,-83.7, 36, 998,XX
AL,28,2020102600, 03,EE06,  0,17.9,-83.7, 31, 999,XX
AL,28,2020102600, 03,EE01,  0,18.0,-83.7, 28,1000,XX
AL,28,2020102600, 03,EE41,  0,18.0,-83.7, 38, 996,XX
AL,28,2020102600, 03,EE12,  0,18.0,-83.6, 37, 997,XX
AL,28,2020102600, 03,ECMF,  0,18.0,-83.7, 32, 998,XX
AL,28,2020102600, 03,EE03,  0,18.0,-83.7, 27, 999,XX
AL,28,2020102600, 03,EE13,  0,18.2,-83.7, 39, 997,XX
AL,28,2020102600, 03,EE31,  0,18.2,-83.6, 35, 999,XX
AL,28,2020102600, 03,EE09,  0,18.4,-83.4, 42, 996,XX
AL,28,2020102600, 03,EE42,108,33.8,-83.3, 27, 996,XX
AL,28,2020102600, 03,EE02,102,38.5,-78.9, 31, 990,XX
AL,28,2020102600, 03,EE18,102,31.6,-86.1, 33, 996,XX
AL,28,2020102600, 03,EE23,126,29.4,-83.9, 44, 987,XX
AL,28,2020102600, 03,EE50,102,28.3,-88.1, 46, 998,XX
AL,28,2020102600, 03,EE23,120,29.3,-85.0, 48, 983,XX
AL,28,2020102600, 03,EE48,108,39.2,-74.6, 49, 984,XX
AL,28,2020102600, 03,EE23,114,28.8,-86.5, 51, 978,XX
AL,28,2020102600, 03,EE23,108,28.0,-87.9, 54, 976,XX
AL,28,2020102600, 03,EE23,102,27.3,-89.5, 57, 973,XX
AL,28,2020102600, 03,EE50,  6,18.2,-84.3, 44, 992,XX
AL,28,2020102600, 03,EE48,  6,18.2,-83.6, 43, 995,XX
AL,28,2020102600, 03,EE07,  6,18.2,-84.0, 38, 996,XX
AL,28,2020102600, 03,EE18,  6,18.3,-84.0, 42, 995,XX
AL,28,2020102600, 03,EE01,  6,18.3,-83.7, 38, 996,XX
AL,28,2020102600, 03,EE31,  6,18.3,-83.9, 36, 997,XX
AL,28,2020102600, 03,EE28,  6,18.3,-84.1, 36, 998,XX
AL,28,2020102600, 03,EE38,  6,18.3,-84.1, 35, 999,XX
AL,28,2020102600, 03,EE13,  6,18.4,-83.9, 44, 992,XX
AL,28,2020102600, 03,EE27,  6,18.4,-84.0, 41, 993,XX
AL,28,2020102600, 03,EE02,  6,18.4,-84.4, 44, 994,XX
AL,28,2020102600, 03,EE30,  6,18.4,-84.3, 43, 995,XX
AL,28,2020102600, 03,EE25,  6,18.4,-84.1, 44, 996,XX
AL,28,2020102600, 03,EE39,  6,18.4,-84.1, 37, 998,XX
AL,28,2020102600, 03,EE05,  6,18.4,-84.0, 37, 999,XX
AL,28,2020102600, 03,EE23,  6,18.6,-84.0, 41, 994,XX
AL,28,2020102600, 03,EE08,  6,18.6,-84.0, 37, 997,XX
AL,28,2020102600, 03,EE10,  6,18.6,-84.4, 37, 998,XX
AL,28,2020102600, 03,EE26,  6,18.6,-84.3, 38, 999,XX
AL,28,2020102600, 03,EE21,  6,18.7,-84.0, 34,1000,XX
AL,28,2020102600, 03,EE43,  6,18.7,-84.0, 43, 996,XX
AL,28,2020102600, 03,EE19,  6,18.7,-84.0, 42, 997,XX
AL,28,2020102600, 03,EE00,  6,18.7,-84.1, 36, 998,XX
AL,28,2020102600, 03,ECMF,  6,18.8,-84.1, 38, 997,XX
AL,28,2020102600, 03,EE09,  6,18.9,-83.7, 40, 996,XX
AL,28,2020102600, 03,EE44,  6,18.9,-84.3, 40, 997,XX
AL,28,2020102600, 03,EE03,  6,18.9,-83.9, 38, 999,XX
AL,28,2020102600, 03,EE35,  6,19.0,-84.0, 35,1001,XX
AL,28,2020102600, 03,EE14,  6,19.1,-83.9, 43, 996,XX
AL,28,2020102600, 03,EE50, 12,18.4,-85.3, 45, 992,XX
AL,28,2020102600, 03,EE18, 12,18.6,-84.8, 39, 996,XX
AL,28,2020102600, 03,EE30, 12,18.7,-85.3, 38, 994,XX
AL,28,2020102600, 03,EE23, 12,18.9,-84.7, 47, 990,XX
AL,28,2020102600, 03,EE01, 12,18.9,-84.4, 41, 995,XX
AL,28,2020102600, 03,EE07, 12,18.9,-84.8, 38, 996,XX
AL,28,2020102600, 03,EE32, 12,18.9,-85.0, 41, 997,XX
AL,28,2020102600, 03,EE26, 12,19.0,-85.0, 37,1000,XX
AL,28,2020102600, 03,EE47, 12,19.0,-85.3, 42, 995,XX
AL,28,2020102600, 03,EE03, 12,19.0,-84.7, 32, 998,XX
AL,28,2020102600, 03,EE35, 12,19.1,-84.6, 33,1000,XX
AL,28,2020102600, 03,EE13, 12,19.1,-84.6, 47, 992,XX
AL,28,2020102600, 03,EE19, 12,19.1,-84.8, 42, 995,XX
AL,28,2020102600, 03,EE12, 12,19.1,-84.7, 39, 996,XX
