basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,01,2020051800, 03,EE11,  0,31.4,-76.8, 35,1005,XX
AL,01,2020051800, 03,EE03,  0,31.5,-77.0, 35,1005,XX
AL,01,2020051800, 03,EE00,  0,31.6,-76.7, 34,1004,XX
AL,01,2020051800, 03,EE04,  0,31.8,-77.1, 34,1004,XX
AL,01,2020051800, 03,ECMF,  0,31.9,-76.9, 36,1004,XX
AL,01,2020051800, 03,EE01,  0,32.0,-76.8, 37,1004,XX
AL,01,2020051800, 03,EE07,  0,32.1,-76.9, 36,1005,XX
AL,01,2020051800, 03,EE05,  0,32.2,-77.0, 43,1003,XX
AL,01,2020051800, 03,EE26,  0,32.4,-76.5, 44,1003,XX
AL,01,2020051800, 03,EE28,  0,32.5,-77.3, 35,1005,XX
AL,01,2020051800, 03,EE18,  6,32.9,-76.8, 35,1002,XX
AL,01,2020051800, 03,EE02,  6,33.0,-76.6, 34,1003,XX
AL,01,2020051800, 03,EE05,  6,33.1,-76.6, 37,1001,XX
AL,01,2020051800, 03,EE00,  6,33.2,-77.0, 37,1003,XX
AL,01,2020051800, 03,EE14,  6,33.2,-77.0, 42, 999,XX
AL,01,2020051800, 03,ECMF,  6,33.3,-76.9, 37,1002,XX
AL,01,2020051800, 03,EE11,  6,33.5,-76.4, 36,1003,XX
AL,01,2020051800, 03,EE36,  6,33.6,-76.3, 42,1001,XX
AL,01,2020051800, 03,EE07,  6,33.8,-76.7, 48,1001,XX
AL,01,2020051800, 03,EE01, 12,33.9,-76.3, 38,1001,XX
AL,01,2020051800, 03,EE18, 12,34.0,-76.1, 39,1002,XX
AL,01,2020051800, 03,EE04, 12,34.0,-76.5, 44, 999,XX
AL,01,2020051800, 03,ECMF, 12,34.1,-76.2, 43,1000,XX
AL,01,2020051800, 03,EE46, 12,34.1,-76.4, 34, 999,XX
AL,01,2020051800, 03,EE09, 12,34.2,-76.4, 36,1001,XX
AL,01,2020051800, 03,EE47, 12,34.2,-76.1, 37, 997,XX
AL,01,2020051800, 03,EE14, 12,34.2,-76.1, 38, 998,XX
AL,01,2020051800, 03,EE00, 12,34.3,-76.1, 35,1002,XX
AL,01,2020051800, 03,EE27, 12,34.3,-76.0, 46, 995,XX
AL,01,2020051800, 03,EE32, 12,34.3,-76.5, 37, 999,XX
AL,01,2020051800, 03,EE12, 12,34.5,-76.4, 37,1001,XX
AL,01,2020051800, 03,EE07, 12,34.5,-76.1, 45, 997,XX
AL,01,2020051800, 03,EE16, 12,34.5,-76.4, 36, 998,XX
