basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,22,2020092200, 03,EE07,  0,28.0,-96.2, 44,1001,XX
AL,22,2020092200, 03,EE42,  0,28.0,-96.0, 45, 999,XX
AL,22,2020092200, 03,EE00,  0,28.1,-96.1, 30,1001,XX
AL,22,2020092200, 03,EE10,  0,28.1,-96.1, 44, 998,XX
AL,22,2020092200, 03,EE14,  0,28.1,-96.1, 40, 999,XX
AL,22,2020092200, 03,ECMF,  0,28.2,-96.1, 31,1001,XX
AL,22,2020092200, 03,EE01,  0,28.3,-96.0, 34,1001,XX
AL,22,2020092200, 03,EE03,  0,28.4,-95.8, 33,1000,XX
AL,22,2020092200, 03,EE33,  0,28.6,-96.0, 31,1001,XX
AL,22,2020092200, 03,EE07,  6,28.0,-96.8, 29,1004,XX
AL,22,2020092200, 03,EE09,  6,28.1,-96.7, 30,1007,XX
AL,22,2020092200, 03,EE02,  6,28.3,-96.8, 29,1003,XX
AL,22,2020092200, 03,EE00,  6,28.4,-96.5, 25,1004,XX
AL,22,2020092200, 03,EE46,  6,28.4,-96.1, 33, 998,XX
AL,22,2020092200, 03,ECMF,  6,28.5,-96.6, 27,1003,XX
AL,22,2020092200, 03,EE10,  6,28.6,-96.7, 28,1002,XX
AL,22,2020092200, 03,EE20,  6,28.7,-96.8, 26,1002,XX
AL,22,2020092200, 03,EE01,  6,28.8,-96.1, 27,1003,XX
AL,22,2020092200, 03,EE03,  6,29.0,-96.4, 29,1002,XX
AL,22,2020092200, 03,EE37, 12,27.7,-97.2, 23,1007,XX
AL,22,2020092200, 03,EE02, 12,27.9,-96.8, 28,1005,XX
AL,22,2020092200, 03,EE05, 12,28.1,-96.8, 27,1006,XX
AL,22,2020092200, 03,EE08, 12,28.4,-96.7, 28,1006,XX
AL,22,2020092200, 03,ECMF, 12,28.5,-96.7, 27,1005,XX
AL,22,2020092200, 03,EE04, 12,28.6,-96.8, 24,1006,XX
AL,22,2020092200, 03,EE19, 12,28.7,-96.4, 30,1002,XX
AL,22,2020092200, 03,EE06, 12,28.8,-96.5, 25,1005,XX
AL,22,2020092200, 03,EE33, 12,29.0,-96.4, 24,1004,XX
AL,22,2020092200, 03,EE01, 12,29.1,-95.8, 27,1004,XX
AL,22,2020092200, 03,EE03, 12,29.3,-96.2, 25,1004,XX
AL,22,2020092200, 03,EE37, 18,27.2,-96.7, 25,1009,XX
AL,22,2020092200, 03,EE05, 18,27.7,-96.2, 27,1008,XX
AL,22,2020092200, 03,EE02, 18,27.9,-96.2, 24,1007,XX
AL,22,2020092200, 03,EE39, 18,28.0,-96.5, 19,1010,XX
AL,22,2020092200, 03,EE08, 18,28.1,-96.2, 26,1008,XX
AL,22,2020092200, 03,EE09, 18,28.3,-96.0, 21,1009,XX
AL,22,2020092200, 03,EE12, 18,28.4,-96.7, 22,1007,XX
AL,22,2020092200, 03,ECMF, 18,28.6,-96.5, 27,1007,XX
AL,22,2020092200, 03,EE19, 18,28.7,-96.1, 25,1005,XX
AL,22,2020092200, 03,EE10, 18,28.8,-96.1, 26,1005,XX
AL,22,2020092200, 03,EE26, 18,29.0,-96.8, 18,1009,XX
AL,22,2020092200, 03,EE15, 18,29.1,-96.2, 19,1009,XX
AL,22,2020092200, 03,EE03, 18,29.3,-96.0, 22,1007,XX
AL,22,2020092200, 03,EE20, 18,29.5,-96.7, 24,1007,XX
AL,22,2020092200, 03,EE01, 18,29.7,-95.3, 24,1005,XX
AL,22,2020092200, 03,EE37, 24,27.0,-96.0, 25,1006,XX
AL,22,2020092200, 03,EE05, 24,27.4,-95.3, 24,1006,XX
AL,22,2020092200, 03,EE39, 24,27.6,-95.7, 22,1008,XX
AL,22,2020092200, 03,EE23, 24,27.7,-95.4, 23,1006,XX
AL,22,2020092200, 03,EE34, 24,28.0,-96.0, 32,1001,XX
AL,22,2020092200, 03,EE02, 24,28.1,-96.0, 30,1002,XX
AL,22,2020092200, 03,EE07, 24,28.3,-95.0, 20,1005,XX
AL,22,2020092200, 03,EE00, 24,28.4,-96.0, 21,1006,XX
AL,22,2020092200, 03,ECMF, 24,28.5,-95.8, 24,1005,XX
AL,22,2020092200, 03,EE04, 24,28.6,-96.1, 21,1006,XX
AL,22,2020092200, 03,EE19, 24,28.7,-95.8, 27,1003,XX
AL,22,2020092200, 03,EE11, 24,28.8,-95.4, 23,1006,XX
AL,22,2020092200, 03,EE26, 24,29.0,-96.1, 19,1008,XX
AL,22,2020092200, 03,EE10, 24,29.3,-95.8, 25,1002,XX
AL,22,2020092200, 03,EE30, 24,29.4,-95.3, 24,1004,XX
AL,22,2020092200, 03,EE33, 24,29.5,-95.3, 20,1005,XX
AL,22,2020092200, 03,EE03, 24,29.7,-95.3, 21,1005,XX
AL,22,2020092200, 03,EE01, 24,30.0,-94.5, 24,1004,XX
AL,22,2020092200, 03,EE20, 24,30.1,-96.2, 19,1004,XX
AL,22,2020092200, 03,EE37, 30,27.0,-96.0, 23,1007,XX
AL,22,2020092200, 03,EE05, 30,27.3,-94.8, 21,1007,XX
AL,22,2020092200, 03,EE39, 30,27.4,-95.1, 17,1009,XX
AL,22,2020092200, 03,EE38, 30,27.7,-96.5, 22,1007,XX
AL,22,2020092200, 03,EE23, 30,27.9,-95.0, 21,1007,XX
AL,22,2020092200, 03,EE08, 30,28.0,-95.1, 19,1007,XX
AL,22,2020092200, 03,EE02, 30,28.3,-95.7, 25,1004,XX
AL,22,2020092200, 03,EE12, 30,28.4,-96.0, 26,1005,XX
AL,22,2020092200, 03,EE00, 30,28.6,-95.4, 19,1007,XX
AL,22,2020092200, 03,ECMF, 30,28.7,-95.4, 20,1006,XX
AL,22,2020092200, 03,EE25, 30,28.8,-95.4, 21,1007,XX
AL,22,2020092200, 03,EE04, 30,29.0,-95.5, 20,1006,XX
AL,22,2020092200, 03,EE11, 30,29.1,-95.0, 19,1007,XX
AL,22,2020092200, 03,EE46, 30,29.3,-94.4, 25,1005,XX
AL,22,2020092200, 03,EE17, 30,29.4,-94.7, 23,1007,XX
AL,22,2020092200, 03,EE10, 30,29.5,-95.3, 27,1003,XX
AL,22,2020092200, 03,EE03, 30,29.7,-95.0, 19,1007,XX
AL,22,2020092200, 03,EE20, 30,30.1,-96.1, 22,1006,XX
AL,22,2020092200, 03,EE36, 30,30.2,-95.7, 21,1007,XX
AL,22,2020092200, 03,EE01, 30,30.4,-94.0, 32,1006,XX
AL,22,2020092200, 03,EE37, 36,26.9,-96.0, 25,1005,XX
AL,22,2020092200, 03,EE05, 36,27.7,-94.0, 20,1007,XX
AL,22,2020092200, 03,EE38, 36,27.9,-96.0, 22,1006,XX
AL,22,2020092200, 03,EE23, 36,28.0,-94.1, 28,1007,XX
AL,22,2020092200, 03,EE34, 36,28.1,-94.8, 28,1002,XX
AL,22,2020092200, 03,EE42, 36,28.3,-95.1, 24,1005,XX
AL,22,2020092200, 03,EE41, 36,28.4,-95.1, 25,1004,XX
AL,22,2020092200, 03,EE32, 36,28.6,-95.3, 26,1003,XX
AL,22,2020092200, 03,EE02, 36,28.7,-94.8, 25,1002,XX
AL,22,2020092200, 03,EE08, 36,28.8,-94.0, 28,1005,XX
AL,22,2020092200, 03,ECMF, 36,29.1,-94.8, 25,1004,XX
AL,22,2020092200, 03,EE00, 36,29.3,-94.8, 20,1005,XX
AL,22,2020092200, 03,EE13, 36,29.4,-95.1, 21,1006,XX
AL,22,2020092200, 03,EE04, 36,29.5,-95.0, 26,1003,XX
AL,22,2020092200, 03,EE10, 36,29.7,-94.4, 27,1003,XX
AL,22,2020092200, 03,EE03, 36,29.8,-94.1, 22,1007,XX
AL,22,2020092200, 03,EE46, 36,30.0,-93.6, 23,1005,XX
AL,22,2020092200, 03,EE44, 36,30.4,-94.7, 21,1006,XX
AL,22,2020092200, 03,EE20, 36,30.8,-94.7, 19,1007,XX
AL,22,2020092200, 03,EE01, 36,30.9,-93.3, 25,1005,XX
AL,22,2020092200, 03,EE45, 36,31.5,-93.4, 25,1005,XX
AL,22,2020092200, 03,EE36, 36,31.8,-94.7, 21,1001,XX
AL,22,2020092200, 03,EE37, 42,26.7,-95.5, 24,1006,XX
AL,22,2020092200, 03,EE38, 42,27.5,-95.5, 28,1007,XX
AL,22,2020092200, 03,EE32, 42,28.1,-95.0, 27,1004,XX
AL,22,2020092200, 03,EE39, 42,28.3,-93.4, 23,1008,XX
AL,22,2020092200, 03,EE14, 42,28.4,-93.7, 29,1004,XX
AL,22,2020092200, 03,EE34, 42,28.6,-94.1, 26,1003,XX
AL,22,2020092200, 03,EE12, 42,28.7,-95.3, 23,1005,XX
AL,22,2020092200, 03,EE05, 42,28.8,-93.3, 22,1007,XX
AL,22,2020092200, 03,EE02, 42,29.1,-94.1, 28,1003,XX
AL,22,2020092200, 03,ECMF, 42,29.4,-93.9, 23,1005,XX
AL,22,2020092200, 03,EE25, 42,29.5,-94.1, 26,1005,XX
AL,22,2020092200, 03,EE13, 42,29.6,-94.4, 22,1006,XX
AL,22,2020092200, 03,EE43, 42,29.7,-93.3, 27,1003,XX
AL,22,2020092200, 03,EE04, 42,29.8,-93.8, 27,1005,XX
AL,22,2020092200, 03,EE28, 42,30.0,-94.1, 21,1007,XX
AL,22,2020092200, 03,EE11, 42,30.1,-93.1, 26,1007,XX
AL,22,2020092200, 03,EE24, 42,30.2,-94.0, 21,1004,XX
AL,22,2020092200, 03,EE44, 42,30.5,-94.4, 20,1006,XX
AL,22,2020092200, 03,EE21, 42,30.9,-93.7, 20,1006,XX
AL,22,2020092200, 03,EE46, 42,31.1,-92.6, 27,1005,XX
AL,22,2020092200, 03,EE26, 42,31.6,-93.1, 23,1006,XX
AL,22,2020092200, 03,EE20, 42,31.8,-93.7, 19,1007,XX
AL,22,2020092200, 03,EE33, 42,31.9,-92.0, 24,1004,XX
AL,22,2020092200, 03,EE37, 48,26.6,-95.1, 23,1005,XX
AL,22,2020092200, 03,EE38, 48,27.3,-94.8, 23,1006,XX
AL,22,2020092200, 03,EE32, 48,28.1,-94.0, 24,1004,XX
AL,22,2020092200, 03,EE23, 48,28.4,-92.3, 21,1007,XX
AL,22,2020092200, 03,EE39, 48,28.6,-92.7, 18,1007,XX
AL,22,2020092200, 03,EE12, 48,28.7,-95.0, 24,1004,XX
AL,22,2020092200, 03,EE05, 48,28.8,-92.3, 23,1006,XX
AL,22,2020092200, 03,EE34, 48,29.0,-93.3, 24,1002,XX
AL,22,2020092200, 03,EE16, 48,29.1,-92.3, 26,1004,XX
AL,22,2020092200, 03,EE49, 48,29.3,-94.1, 21,1006,XX
AL,22,2020092200, 03,EE02, 48,29.4,-93.1, 27,1002,XX
AL,22,2020092200, 03,EE48, 48,29.5,-92.7, 24,1003,XX
AL,22,2020092200, 03,EE13, 48,29.7,-93.8, 19,1005,XX
AL,22,2020092200, 03,EE10, 48,29.8,-92.6, 25,1004,XX
AL,22,2020092200, 03,ECMF, 48,29.9,-93.1, 23,1003,XX
AL,22,2020092200, 03,EE00, 48,30.0,-92.9, 22,1006,XX
AL,22,2020092200, 03,EE24, 48,30.1,-93.6, 23,1003,XX
AL,22,2020092200, 03,EE43, 48,30.2,-92.4, 24,1004,XX
AL,22,2020092200, 03,EE40, 48,30.4,-92.6, 18,1007,XX
AL,22,2020092200, 03,EE04, 48,30.7,-92.7, 21,1004,XX
AL,22,2020092200, 03,EE44, 48,30.8,-94.0, 23,1005,XX
AL,22,2020092200, 03,EE30, 48,31.4,-92.9, 20,1007,XX
AL,22,2020092200, 03,EE07, 48,31.8,-92.2, 22,1005,XX
AL,22,2020092200, 03,EE03, 48,31.9,-91.9, 20,1006,XX
AL,22,2020092200, 03,EE46, 48,32.1,-91.5, 24,1003,XX
AL,22,2020092200, 03,EE20, 48,32.9,-92.2, 18,1002,XX
AL,22,2020092200, 03,EE45, 48,32.9,-90.8, 26, 999,XX
AL,22,2020092200, 03,EE36, 48,33.3,-92.6, 16,1002,XX
AL,22,2020092200, 03,EE37, 54,26.6,-95.1, 23,1006,XX
AL,22,2020092200, 03,EE38, 54,27.6,-94.4, 24,1007,XX
AL,22,2020092200, 03,EE32, 54,28.3,-93.3, 24,1005,XX
AL,22,2020092200, 03,EE14, 54,28.7,-91.7, 23,1005,XX
AL,22,2020092200, 03,EE41, 54,29.3,-93.0, 21,1006,XX
AL,22,2020092200, 03,EE08, 54,29.4,-90.9, 26,1005,XX
AL,22,2020092200, 03,EE16, 54,29.5,-92.3, 25,1005,XX
AL,22,2020092200, 03,EE27, 54,29.7,-90.9, 24,1004,XX
AL,22,2020092200, 03,EE02, 54,30.0,-92.6, 25,1004,XX
AL,22,2020092200, 03,EE19, 54,30.1,-94.1, 21,1005,XX
AL,22,2020092200, 03,EE48, 54,30.2,-92.3, 24,1004,XX
AL,22,2020092200, 03,ECMF, 54,30.4,-92.4, 22,1005,XX
AL,22,2020092200, 03,EE43, 54,30.7,-91.7, 26,1006,XX
AL,22,2020092200, 03,EE28, 54,30.8,-92.2, 23,1005,XX
AL,22,2020092200, 03,EE00, 54,30.9,-92.0, 20,1007,XX
AL,22,2020092200, 03,EE04, 54,31.4,-92.0, 26,1005,XX
AL,22,2020092200, 03,EE07, 54,32.1,-91.6, 21,1005,XX
AL,22,2020092200, 03,EE29, 54,32.2,-90.6, 23,1003,XX
AL,22,2020092200, 03,EE37, 60,26.9,-94.3, 22,1005,XX
AL,22,2020092200, 03,EE38, 60,28.0,-94.1, 25,1007,XX
AL,22,2020092200, 03,EE12, 60,29.1,-94.1, 21,1005,XX
AL,22,2020092200, 03,EE14, 60,29.4,-90.2, 23,1005,XX
AL,22,2020092200, 03,EE25, 60,30.4,-91.2, 23,1006,XX
AL,22,2020092200, 03,EE02, 60,30.7,-91.7, 19,1004,XX
AL,22,2020092200, 03,EE48, 60,30.8,-91.6, 20,1005,XX
AL,22,2020092200, 03,EE47, 60,30.9,-94.3, 17,1008,XX
AL,22,2020092200, 03,EE28, 60,31.8,-90.9, 21,1006,XX
AL,22,2020092200, 03,EE06, 60,32.4,-92.6, 21,1006,XX
AL,22,2020092200, 03,EE06, 72,34.3,-90.0, 15,1007,XX
AL,22,2020092200, 03,EE38, 84,29.4,-92.4, 23,1009,XX
