basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,03,2020060312, 03,EE45,144,33.8,-93.4, 18, 993,XX
AL,03,2020060312, 03,EE42,  0,18.3,-92.2, 47, 996,XX
AL,03,2020060312, 03,EE07,  0,18.4,-92.2, 36,1000,XX
AL,03,2020060312, 03,EE19,  0,18.4,-92.2, 64, 992,XX
AL,03,2020060312, 03,EE37,  0,18.4,-92.2, 52, 993,XX
AL,03,2020060312, 03,EE16,  0,18.4,-92.2, 49, 997,XX
AL,03,2020060312, 03,EE13,  0,18.4,-92.3, 47, 998,XX
AL,03,2020060312, 03,EE39,  0,18.5,-92.3, 38, 997,XX
AL,03,2020060312, 03,EE03,  0,18.5,-92.3, 36, 998,XX
AL,03,2020060312, 03,EE32,  0,18.6,-92.2, 36,1000,XX
AL,03,2020060312, 03,EE10,  0,18.6,-92.7, 55, 994,XX
AL,03,2020060312, 03,EE25,  0,18.6,-92.3, 48, 995,XX
AL,03,2020060312, 03,EE21,  0,18.6,-92.3, 47, 996,XX
AL,03,2020060312, 03,EE20,  0,18.6,-92.2, 37, 997,XX
AL,03,2020060312, 03,ECMF,  0,18.6,-92.2, 34, 998,XX
AL,03,2020060312, 03,EE12,  0,18.6,-92.2, 39, 999,XX
AL,03,2020060312, 03,EE05,  0,18.7,-92.2, 43, 995,XX
AL,03,2020060312, 03,EE14,  0,18.7,-92.2, 46, 996,XX
AL,03,2020060312, 03,EE01,  0,18.7,-92.3, 41, 997,XX
AL,03,2020060312, 03,EE17,  0,18.7,-92.3, 46, 998,XX
AL,03,2020060312, 03,EE40,  0,18.9,-92.3, 41, 995,XX
AL,03,2020060312, 03,EE41,  0,18.9,-92.3, 43, 997,XX
AL,03,2020060312, 03,EE30,  0,19.0,-92.4, 51, 992,XX
AL,03,2020060312, 03,EE11,  0,19.0,-92.6, 44, 996,XX
AL,03,2020060312, 03,EE49,  0,19.0,-92.4, 38, 997,XX
AL,03,2020060312, 03,EE08,  0,19.0,-92.3, 45, 998,XX
AL,03,2020060312, 03,EE09,  0,19.0,-92.9, 39, 999,XX
AL,03,2020060312, 03,EE15,  0,19.1,-92.3, 48, 994,XX
AL,03,2020060312, 03,EE23,  0,19.1,-92.9, 39, 998,XX
AL,03,2020060312, 03,EE22,  0,19.1,-93.3, 38, 999,XX
AL,03,2020060312, 03,EE04,  0,19.3,-93.6, 33,1000,XX
AL,03,2020060312, 03,EE33,  0,19.3,-92.7, 45, 995,XX
AL,03,2020060312, 03,EE06,  0,19.4,-92.7, 37, 999,XX
AL,03,2020060312, 03,EE32,144,33.8,-90.6, 20, 992,XX
AL,03,2020060312, 03,EE15,144,34.9,-92.7, 21, 995,XX
AL,03,2020060312, 03,EE15,138,33.8,-93.6, 22, 994,XX
AL,03,2020060312, 03,EE25,144,33.5,-93.6, 24, 988,XX
AL,03,2020060312, 03,ECMF,138,33.2,-94.1, 25, 993,XX
AL,03,2020060312, 03,EE08,144,32.5,-96.0, 26, 992,XX
AL,03,2020060312, 03,EE01,132,32.1,-93.4, 27, 990,XX
AL,03,2020060312, 03,EE00,132,31.1,-94.0, 28, 990,XX
AL,03,2020060312, 03,EE00,138,31.4,-94.5, 29, 993,XX
AL,03,2020060312, 03,EE14,144,33.1,-92.2, 30, 992,XX
AL,03,2020060312, 03,ECMF,132,32.0,-93.6, 31, 990,XX
AL,03,2020060312, 03,EE00,126,30.1,-92.9, 32, 991,XX
AL,03,2020060312, 03,EE02,144,31.9,-92.2, 33, 989,XX
AL,03,2020060312, 03,EE01,120,30.4,-92.2, 34, 991,XX
AL,03,2020060312, 03,EE00,102,26.6,-91.0, 35, 990,XX
AL,03,2020060312, 03,EE06,132,30.5,-91.9, 36, 987,XX
AL,03,2020060312, 03,EE09,144,31.5,-93.3, 37, 986,XX
AL,03,2020060312, 03,ECMF,114,28.4,-92.1, 38, 990,XX
AL,03,2020060312, 03,EE00,108,27.3,-90.9, 39, 989,XX
AL,03,2020060312, 03,ECMF,102,27.5,-90.9, 40, 988,XX
AL,03,2020060312, 03,EE03,102,26.4,-90.9, 41, 986,XX
AL,03,2020060312, 03,ECMF,108,28.2,-91.5, 42, 988,XX
AL,03,2020060312, 03,ECMF,120,29.7,-92.2, 43, 988,XX
AL,03,2020060312, 03,EE02,114,26.9,-92.4, 44, 992,XX
AL,03,2020060312, 03,EE03,126,29.0,-93.3, 45, 987,XX
AL,03,2020060312, 03,EE02,102,24.1,-92.4, 46, 995,XX
AL,03,2020060312, 03,EE09,120,28.0,-92.9, 47, 986,XX
AL,03,2020060312, 03,EE09,126,28.4,-93.3, 48, 984,XX
AL,03,2020060312, 03,EE27,138,29.0,-94.1, 49, 981,XX
AL,03,2020060312, 03,EE02,132,29.5,-92.6, 50, 986,XX
AL,03,2020060312, 03,EE17,102,27.2,-91.5, 51, 991,XX
AL,03,2020060312, 03,EE09,132,29.4,-93.4, 52, 981,XX
AL,03,2020060312, 03,EE16,114,29.0,-90.6, 54, 981,XX
AL,03,2020060312, 03,EE38,114,28.1,-90.3, 55, 976,XX
AL,03,2020060312, 03,EE33,138,29.5,-94.7, 57, 974,XX
AL,03,2020060312, 03,EE33,126,28.0,-94.0, 60, 976,XX
AL,03,2020060312, 03,EE38,120,29.0,-90.9, 62, 972,XX
AL,03,2020060312, 03,EE22,  6,17.7,-92.7, 31,1002,XX
AL,03,2020060312, 03,EE10,  6,18.0,-92.2, 31, 997,XX
AL,03,2020060312, 03,EE13,  6,18.0,-92.2, 30, 998,XX
AL,03,2020060312, 03,EE26,  6,18.2,-92.4, 31,1001,XX
AL,03,2020060312, 03,EE37,  6,18.2,-92.0, 38, 993,XX
AL,03,2020060312, 03,EE03,  6,18.2,-92.3, 36, 995,XX
AL,03,2020060312, 03,EE21,  6,18.2,-92.3, 31, 997,XX
AL,03,2020060312, 03,EE39,  6,18.2,-92.2, 30, 998,XX
AL,03,2020060312, 03,EE09,  6,18.3,-92.3, 31,1000,XX
AL,03,2020060312, 03,EE19,  6,18.3,-91.7, 38, 995,XX
AL,03,2020060312, 03,EE29,  6,18.3,-92.3, 36, 996,XX
AL,03,2020060312, 03,EE16,  6,18.3,-91.9, 35, 997,XX
AL,03,2020060312, 03,EE20,  6,18.3,-92.2, 32, 998,XX
AL,03,2020060312, 03,EE24,  6,18.3,-92.2, 35, 999,XX
AL,03,2020060312, 03,EE30,  6,18.4,-92.3, 44, 992,XX
AL,03,2020060312, 03,EE35,  6,18.4,-91.9, 36, 996,XX
AL,03,2020060312, 03,EE02,  6,18.4,-92.2, 41, 997,XX
AL,03,2020060312, 03,EE41,  6,18.4,-92.0, 31, 998,XX
AL,03,2020060312, 03,EE27,  6,18.4,-92.0, 32, 999,XX
AL,03,2020060312, 03,EE07,  6,18.6,-92.6, 31,1000,XX
AL,03,2020060312, 03,EE40,  6,18.6,-92.4, 38, 995,XX
AL,03,2020060312, 03,EE01,  6,18.6,-92.0, 34, 997,XX
AL,03,2020060312, 03,EE00,  6,18.6,-92.2, 34, 998,XX
AL,03,2020060312, 03,EE08,  6,18.6,-92.6, 31, 999,XX
AL,03,2020060312, 03,EE14,  6,18.7,-92.3, 40, 996,XX
AL,03,2020060312, 03,EE45,  6,18.7,-92.2, 41, 997,XX
AL,03,2020060312, 03,ECMF,  6,18.7,-92.2, 36, 998,XX
AL,03,2020060312, 03,EE49,  6,18.7,-92.3, 34, 999,XX
AL,03,2020060312, 03,EE04,  6,18.9,-92.3, 31,1001,XX
AL,03,2020060312, 03,EE15,  6,18.9,-92.2, 43, 995,XX
AL,03,2020060312, 03,EE46,  6,18.9,-92.3, 37, 996,XX
AL,03,2020060312, 03,EE12,  6,18.9,-91.9, 31, 998,XX
AL,03,2020060312, 03,EE05,  6,19.0,-92.0, 47, 992,XX
AL,03,2020060312, 03,EE22, 12,17.6,-91.7, 28,1001,XX
AL,03,2020060312, 03,EE09, 12,17.6,-91.5, 31, 996,XX
AL,03,2020060312, 03,EE03, 12,17.7,-91.7, 35, 995,XX
AL,03,2020060312, 03,EE10, 12,17.7,-91.6, 30, 996,XX
AL,03,2020060312, 03,EE08, 12,17.7,-92.3, 28, 998,XX
AL,03,2020060312, 03,EE28, 12,17.7,-92.3, 32, 999,XX
AL,03,2020060312, 03,EE26, 12,17.9,-92.3, 28,1000,XX
AL,03,2020060312, 03,EE37, 12,17.9,-91.9, 36, 994,XX
AL,03,2020060312, 03,EE20, 12,17.9,-91.9, 31, 996,XX
AL,03,2020060312, 03,EE17, 12,17.9,-92.3, 32, 997,XX
AL,03,2020060312, 03,EE33, 12,17.9,-92.6, 30, 998,XX
AL,03,2020060312, 03,EE07, 12,17.9,-92.6, 27, 999,XX
AL,03,2020060312, 03,EE46, 12,18.0,-92.2, 29, 992,XX
AL,03,2020060312, 03,EE21, 12,18.0,-91.5, 34, 994,XX
AL,03,2020060312, 03,EE25, 12,18.0,-91.5, 32, 995,XX
AL,03,2020060312, 03,EE24, 12,18.0,-92.0, 29, 999,XX
AL,03,2020060312, 03,EE04, 12,18.2,-92.3, 30,1000,XX
AL,03,2020060312, 03,EE30, 12,18.2,-91.9, 34, 992,XX
AL,03,2020060312, 03,EE36, 12,18.2,-92.0, 40, 993,XX
AL,03,2020060312, 03,EE41, 12,18.2,-91.6, 31, 994,XX
AL,03,2020060312, 03,EE14, 12,18.2,-92.4, 31, 995,XX
AL,03,2020060312, 03,EE23, 12,18.2,-92.4, 34, 996,XX
AL,03,2020060312, 03,ECMF, 12,18.2,-92.2, 30, 997,XX
AL,03,2020060312, 03,EE31, 12,18.3,-92.2, 38, 993,XX
AL,03,2020060312, 03,EE45, 12,18.3,-92.0, 36, 995,XX
AL,03,2020060312, 03,EE01, 12,18.3,-91.9, 28, 996,XX
AL,03,2020060312, 03,EE00, 12,18.3,-92.0, 31, 997,XX
AL,03,2020060312, 03,EE05, 12,18.4,-92.2, 48, 987,XX
AL,03,2020060312, 03,EE32, 12,18.4,-91.6, 35, 997,XX
AL,03,2020060312, 03,EE50, 12,18.4,-92.3, 33, 999,XX
AL,03,2020060312, 03,EE49, 12,18.5,-92.3, 32, 997,XX
AL,03,2020060312, 03,EE15, 12,18.6,-92.3, 43, 993,XX
AL,03,2020060312, 03,EE11, 12,18.6,-92.0, 41, 994,XX
AL,03,2020060312, 03,EE02, 12,18.6,-92.6, 40, 995,XX
AL,03,2020060312, 03,EE18, 12,18.7,-92.4, 32, 998,XX
AL,03,2020060312, 03,EE06, 12,18.9,-92.4, 34, 997,XX
AL,03,2020060312, 03,EE28, 18,16.5,-90.6, 30,1000,XX
AL,03,2020060312, 03,EE33, 18,16.6,-90.4, 26,1002,XX
AL,03,2020060312, 03,EE22, 18,16.7,-90.1, 25,1003,XX
AL,03,2020060312, 03,EE08, 18,17.5,-91.7, 26,1001,XX
AL,03,2020060312, 03,EE30, 18,17.5,-91.5, 30, 992,XX
AL,03,2020060312, 03,EE14, 18,17.5,-92.0, 28, 997,XX
AL,03,2020060312, 03,EE37, 18,17.5,-91.9, 26, 999,XX
AL,03,2020060312, 03,EE07, 18,17.6,-92.0, 26,1002,XX
AL,03,2020060312, 03,EE40, 18,17.6,-92.0, 29, 995,XX
AL,03,2020060312, 03,EE03, 18,17.6,-91.6, 30, 997,XX
AL,03,2020060312, 03,EE20, 18,17.6,-92.0, 28, 999,XX
AL,03,2020060312, 03,EE24, 18,17.7,-92.0, 27,1000,XX
AL,03,2020060312, 03,EE47, 18,17.7,-91.9, 27, 998,XX
AL,03,2020060312, 03,EE16, 18,17.7,-92.2, 28, 999,XX
AL,03,2020060312, 03,ECMF, 18,17.8,-92.0, 28, 998,XX
AL,03,2020060312, 03,EE04, 18,17.9,-92.6, 27,1003,XX
AL,03,2020060312, 03,EE36, 18,17.9,-92.3, 31, 993,XX
AL,03,2020060312, 03,EE01, 18,17.9,-91.6, 28, 995,XX
AL,03,2020060312, 03,EE45, 18,17.9,-91.9, 29, 997,XX
AL,03,2020060312, 03,EE31, 18,17.9,-92.3, 30, 998,XX
AL,03,2020060312, 03,EE00, 18,17.9,-92.0, 28, 999,XX
