basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,26,2020100712, 03,EE31,102,35.6,-87.8, 15, 999,XX
AL,26,2020100712, 03,EE21,102,36.4,-87.4, 16, 999,XX
AL,26,2020100712, 03,EE46,102,36.1,-89.8, 17, 999,XX
AL,26,2020100712, 03,EE15,108,37.0,-90.8, 18, 998,XX
AL,26,2020100712, 03,EE27,108,33.5,-91.2, 19, 998,XX
AL,26,2020100712, 03,EE15,102,35.2,-91.5, 20, 999,XX
AL,26,2020100712, 03,EE42,  0,21.1,-87.1, 71, 968,XX
AL,26,2020100712, 03,EE14,  0,21.1,-87.1, 68, 978,XX
AL,26,2020100712, 03,EE06,  0,21.1,-87.1, 54, 982,XX
AL,26,2020100712, 03,EE08,  0,21.1,-87.1, 55, 985,XX
AL,26,2020100712, 03,EE04,  0,21.2,-87.1, 65, 975,XX
AL,26,2020100712, 03,EE02,  0,21.2,-87.1, 66, 978,XX
AL,26,2020100712, 03,EE11,  0,21.2,-87.1, 64, 979,XX
AL,26,2020100712, 03,ECMF,  0,21.2,-87.1, 55, 980,XX
AL,26,2020100712, 03,EE01,  0,21.2,-87.1, 52, 981,XX
AL,26,2020100712, 03,EE00,  0,21.2,-87.1, 51, 982,XX
AL,26,2020100712, 03,EE07,  0,21.2,-87.1, 55, 983,XX
AL,26,2020100712, 03,EE19,  0,21.2,-87.1, 58, 984,XX
AL,26,2020100712, 03,EE12,  0,21.2,-87.1, 58, 985,XX
AL,26,2020100712, 03,EE30,  0,21.2,-87.1, 52, 986,XX
AL,26,2020100712, 03,EE39,  0,21.2,-87.1, 42, 988,XX
AL,26,2020100712, 03,EE27,102,32.5,-91.6, 24, 997,XX
AL,26,2020100712, 03,EE09,138,36.4,-78.5, 26, 997,XX
AL,26,2020100712, 03,EE49,126,43.5,-78.0, 35, 996,XX
AL,26,2020100712, 03,EE06,126,41.1,-85.4, 36, 997,XX
AL,26,2020100712, 03,EE33,126,42.6,-90.0, 38, 999,XX
AL,26,2020100712, 03,EE33,132,46.7,-87.2, 43, 998,XX
AL,26,2020100712, 03,EE46,  6,21.2,-88.9, 41, 988,XX
AL,26,2020100712, 03,EE14,  6,21.4,-89.1, 50, 983,XX
AL,26,2020100712, 03,EE09,  6,21.4,-89.1, 44, 986,XX
AL,26,2020100712, 03,EE40,  6,21.4,-88.9, 45, 988,XX
AL,26,2020100712, 03,EE12,  6,21.4,-88.6, 36, 993,XX
AL,26,2020100712, 03,EE18,  6,21.5,-88.9, 52, 982,XX
AL,26,2020100712, 03,EE03,  6,21.5,-89.2, 42, 986,XX
AL,26,2020100712, 03,EE22,  6,21.5,-88.8, 44, 987,XX
AL,26,2020100712, 03,EE35,  6,21.5,-88.8, 40, 990,XX
AL,26,2020100712, 03,EE42,  6,21.7,-88.6, 60, 971,XX
AL,26,2020100712, 03,EE43,  6,21.7,-88.9, 53, 980,XX
AL,26,2020100712, 03,EE27,  6,21.7,-88.9, 49, 981,XX
AL,26,2020100712, 03,EE15,  6,21.7,-88.8, 49, 982,XX
AL,26,2020100712, 03,EE04,  6,21.7,-88.8, 49, 983,XX
AL,26,2020100712, 03,EE25,  6,21.7,-88.9, 48, 986,XX
AL,26,2020100712, 03,EE06,  6,21.7,-88.9, 42, 988,XX
AL,26,2020100712, 03,EE19,  6,21.7,-88.5, 45, 989,XX
AL,26,2020100712, 03,ECMF,  6,21.8,-88.9, 55, 980,XX
AL,26,2020100712, 03,EE21,  6,21.8,-88.9, 46, 983,XX
AL,26,2020100712, 03,EE02,  6,21.8,-88.8, 51, 985,XX
AL,26,2020100712, 03,EE07,  6,21.8,-88.8, 45, 986,XX
AL,26,2020100712, 03,EE23,  6,21.8,-89.1, 41, 987,XX
AL,26,2020100712, 03,EE00,  6,21.8,-88.8, 46, 988,XX
AL,26,2020100712, 03,EE31,  6,21.8,-88.9, 39, 989,XX
AL,26,2020100712, 03,EE08,  6,21.8,-88.9, 39, 990,XX
AL,26,2020100712, 03,EE24,  6,21.9,-89.1, 53, 979,XX
AL,26,2020100712, 03,EE01,  6,21.9,-88.5, 50, 984,XX
AL,26,2020100712, 03,EE10,  6,21.9,-88.9, 51, 985,XX
AL,26,2020100712, 03,EE05,  6,21.9,-88.9, 49, 987,XX
AL,26,2020100712, 03,EE33,  6,21.9,-88.8, 43, 988,XX
AL,26,2020100712, 03,EE28,  6,21.9,-88.4, 40, 991,XX
AL,26,2020100712, 03,EE11,  6,22.1,-88.9, 51, 983,XX
AL,26,2020100712, 03,EE26,  6,22.1,-88.8, 48, 986,XX
AL,26,2020100712, 03,EE32,  6,22.1,-89.1, 45, 989,XX
AL,26,2020100712, 03,EE30,  6,22.1,-88.6, 41, 991,XX
AL,26,2020100712, 03,EE47,  6,22.1,-88.4, 42, 992,XX
AL,26,2020100712, 03,EE39,  6,22.1,-88.5, 41, 993,XX
AL,26,2020100712, 03,EE09, 12,21.9,-89.9, 47, 980,XX
AL,26,2020100712, 03,EE46, 12,21.9,-89.9, 49, 981,XX
AL,26,2020100712, 03,EE14, 12,22.1,-90.0, 54, 976,XX
AL,26,2020100712, 03,EE18, 12,22.1,-90.0, 52, 978,XX
AL,26,2020100712, 03,EE02, 12,22.1,-90.0, 48, 980,XX
AL,26,2020100712, 03,EE35, 12,22.1,-89.8, 40, 985,XX
AL,26,2020100712, 03,EE43, 12,22.2,-90.3, 54, 972,XX
AL,26,2020100712, 03,EE27, 12,22.2,-90.0, 49, 975,XX
AL,26,2020100712, 03,EE15, 12,22.2,-90.0, 50, 978,XX
AL,26,2020100712, 03,EE40, 12,22.2,-90.0, 51, 979,XX
AL,26,2020100712, 03,EE03, 12,22.2,-90.3, 47, 981,XX
AL,26,2020100712, 03,EE10, 12,22.2,-90.3, 50, 982,XX
AL,26,2020100712, 03,EE05, 12,22.2,-90.2, 43, 987,XX
AL,26,2020100712, 03,EE45, 12,22.2,-89.8, 43, 988,XX
AL,26,2020100712, 03,EE32, 12,22.2,-89.9, 42, 989,XX
AL,26,2020100712, 03,ECMF, 12,22.3,-90.0, 56, 971,XX
AL,26,2020100712, 03,EE42, 12,22.4,-89.8, 58, 967,XX
AL,26,2020100712, 03,EE04, 12,22.4,-89.8, 54, 975,XX
AL,26,2020100712, 03,EE28, 12,22.4,-90.0, 50, 979,XX
AL,26,2020100712, 03,EE22, 12,22.4,-89.8, 44, 981,XX
AL,26,2020100712, 03,EE00, 12,22.4,-90.0, 48, 983,XX
AL,26,2020100712, 03,EE31, 12,22.4,-89.8, 49, 984,XX
AL,26,2020100712, 03,EE06, 12,22.4,-90.2, 42, 985,XX
AL,26,2020100712, 03,EE19, 12,22.4,-89.6, 41, 987,XX
AL,26,2020100712, 03,EE29, 12,22.4,-90.2, 38, 991,XX
AL,26,2020100712, 03,EE48, 12,22.5,-90.2, 51, 977,XX
AL,26,2020100712, 03,EE23, 12,22.5,-90.2, 47, 981,XX
AL,26,2020100712, 03,EE30, 12,22.5,-90.2, 44, 983,XX
AL,26,2020100712, 03,EE47, 12,22.5,-89.9, 36, 991,XX
AL,26,2020100712, 03,EE21, 12,22.7,-90.0, 54, 975,XX
AL,26,2020100712, 03,EE38, 12,22.7,-90.2, 49, 979,XX
AL,26,2020100712, 03,EE01, 12,22.7,-89.9, 46, 981,XX
AL,26,2020100712, 03,EE37, 12,22.7,-90.0, 42, 986,XX
AL,26,2020100712, 03,EE08, 12,22.7,-90.2, 42, 989,XX
AL,26,2020100712, 03,EE11, 12,22.8,-90.0, 57, 975,XX
AL,26,2020100712, 03,EE26, 12,22.8,-90.0, 47, 983,XX
AL,26,2020100712, 03,EE12, 12,22.8,-89.8, 42, 988,XX
