basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,27,2020102500, 03,EE35,126,60.5,-27.8, 38, 966,XX
AL,27,2020102500, 03,EE44,126,60.9,-21.8, 39, 971,XX
AL,27,2020102500, 03,EE36,132,61.5,-31.4, 40, 968,XX
AL,27,2020102500, 03,EE23,  0,40.2,-57.7, 60, 960,XX
AL,27,2020102500, 03,EE12,  0,40.2,-57.6, 52, 962,XX
AL,27,2020102500, 03,EE05,  0,40.2,-57.7, 55, 963,XX
AL,27,2020102500, 03,EE09,  0,40.2,-57.7, 55, 964,XX
AL,27,2020102500, 03,EE22,  0,40.2,-57.7, 55, 965,XX
AL,27,2020102500, 03,EE15,  0,40.2,-57.6, 53, 966,XX
AL,27,2020102500, 03,EE02,  0,40.2,-57.6, 54, 967,XX
AL,27,2020102500, 03,ECMF,  0,40.3,-57.7, 55, 963,XX
AL,27,2020102500, 03,EE18,  0,40.4,-57.6, 65, 959,XX
AL,27,2020102500, 03,EE37,  0,40.4,-57.7, 60, 960,XX
AL,27,2020102500, 03,EE34,  0,40.4,-57.7, 61, 961,XX
AL,27,2020102500, 03,EE10,  0,40.4,-57.6, 58, 962,XX
AL,27,2020102500, 03,EE00,  0,40.4,-57.7, 55, 963,XX
AL,27,2020102500, 03,EE04,  0,40.4,-57.7, 57, 964,XX
AL,27,2020102500, 03,EE39,  0,40.4,-57.6, 55, 965,XX
AL,27,2020102500, 03,EE14,  0,40.4,-57.7, 53, 966,XX
AL,27,2020102500, 03,EE36,  0,40.4,-57.7, 54, 968,XX
AL,27,2020102500, 03,EE11,  0,40.5,-57.7, 69, 957,XX
AL,27,2020102500, 03,EE43,  0,40.5,-57.7, 58, 960,XX
AL,27,2020102500, 03,EE19,  0,40.5,-57.7, 56, 961,XX
AL,27,2020102500, 03,EE07,  0,40.5,-57.7, 59, 963,XX
AL,27,2020102500, 03,EE47,  0,40.5,-57.7, 56, 964,XX
AL,27,2020102500, 03,EE30,  0,40.5,-57.7, 56, 966,XX
AL,27,2020102500, 03,EE31,102,59.1,-13.0, 41, 962,XX
AL,27,2020102500, 03,EE35,120,59.5,-29.4, 42, 964,XX
AL,27,2020102500, 03,EE14,126,61.6,-32.4, 43, 958,XX
AL,27,2020102500, 03,EE00,126,61.2,-28.9, 44, 963,XX
AL,27,2020102500, 03,EE07,126,58.8,-29.6, 45, 957,XX
AL,27,2020102500, 03,EE07,120,59.3,-33.0, 46, 956,XX
AL,27,2020102500, 03,EE43,126,62.0,-32.4, 47, 968,XX
AL,27,2020102500, 03,EE00,102,60.7,-23.4, 48, 964,XX
AL,27,2020102500, 03,EE07,114,60.5,-32.8, 49, 954,XX
AL,27,2020102500, 03,EE14,114,60.7,-33.9, 50, 951,XX
AL,27,2020102500, 03,EE44,108,60.7,-18.3, 51, 962,XX
AL,27,2020102500, 03,EE07,108,60.9,-29.6, 52, 955,XX
AL,27,2020102500, 03,EE43,108,59.5,-37.0, 53, 958,XX
AL,27,2020102500, 03,EE44,114,61.3,-21.7, 54, 961,XX
AL,27,2020102500, 03,EE26,108,59.2,-22.3, 55, 960,XX
AL,27,2020102500, 03,EE43,102,60.5,-35.3, 57, 955,XX
AL,27,2020102500, 03,EE14,102,60.0,-36.6, 59, 944,XX
AL,27,2020102500, 03,EE02,  6,41.3,-55.3, 57, 967,XX
AL,27,2020102500, 03,EE04,  6,41.5,-55.5, 54, 962,XX
AL,27,2020102500, 03,EE06,  6,41.5,-55.3, 58, 964,XX
AL,27,2020102500, 03,EE36,  6,41.5,-55.3, 54, 967,XX
AL,27,2020102500, 03,EE34,  6,41.6,-55.6, 56, 958,XX
AL,27,2020102500, 03,EE26,  6,41.6,-55.6, 54, 960,XX
AL,27,2020102500, 03,EE21,  6,41.6,-55.5, 55, 961,XX
AL,27,2020102500, 03,EE03,  6,41.6,-55.7, 57, 962,XX
AL,27,2020102500, 03,EE38,  6,41.6,-55.3, 57, 964,XX
AL,27,2020102500, 03,EE23,  6,41.8,-55.6, 55, 956,XX
AL,27,2020102500, 03,EE19,  6,41.8,-55.6, 55, 957,XX
AL,27,2020102500, 03,EE37,  6,41.8,-55.6, 56, 958,XX
AL,27,2020102500, 03,EE31,  6,41.8,-55.6, 54, 959,XX
AL,27,2020102500, 03,EE41,  6,41.8,-55.7, 52, 960,XX
AL,27,2020102500, 03,EE00,  6,41.8,-55.6, 55, 961,XX
AL,27,2020102500, 03,ECMF,  6,41.8,-55.6, 54, 962,XX
AL,27,2020102500, 03,EE30,  6,41.8,-55.3, 56, 964,XX
AL,27,2020102500, 03,EE05,  6,41.9,-55.5, 56, 959,XX
AL,27,2020102500, 03,EE13,  6,41.9,-55.5, 56, 960,XX
AL,27,2020102500, 03,EE49,  6,41.9,-55.5, 54, 961,XX
AL,27,2020102500, 03,EE46,  6,41.9,-55.5, 52, 963,XX
AL,27,2020102500, 03,EE45,  6,42.1,-55.6, 60, 954,XX
AL,27,2020102500, 03,EE43,  6,42.1,-55.7, 58, 955,XX
AL,27,2020102500, 03,EE32,  6,42.1,-55.5, 55, 958,XX
AL,27,2020102500, 03,EE20,  6,42.1,-55.5, 54, 960,XX
AL,27,2020102500, 03,EE07,  6,42.1,-55.6, 57, 961,XX
AL,27,2020102500, 03,EE11,  6,42.2,-55.7, 55, 954,XX
AL,27,2020102500, 03,EE10,  6,42.2,-55.5, 57, 957,XX
AL,27,2020102500, 03,EE29,  6,42.2,-55.6, 51, 960,XX
AL,27,2020102500, 03,EE40, 12,42.8,-52.2, 61, 966,XX
AL,27,2020102500, 03,EE19, 12,42.9,-51.8, 56, 964,XX
AL,27,2020102500, 03,EE21, 12,42.9,-52.1, 56, 965,XX
AL,27,2020102500, 03,EE03, 12,42.9,-52.1, 60, 966,XX
AL,27,2020102500, 03,EE14, 12,42.9,-52.4, 57, 967,XX
AL,27,2020102500, 03,EE04, 12,42.9,-52.1, 55, 968,XX
AL,27,2020102500, 03,EE50, 12,42.9,-52.4, 62, 969,XX
AL,27,2020102500, 03,EE36, 12,42.9,-51.8, 54, 970,XX
AL,27,2020102500, 03,EE11, 12,43.0,-51.9, 61, 963,XX
AL,27,2020102500, 03,EE31, 12,43.0,-51.9, 57, 964,XX
AL,27,2020102500, 03,EE35, 12,43.0,-52.1, 58, 965,XX
AL,27,2020102500, 03,EE15, 12,43.0,-51.7, 57, 967,XX
AL,27,2020102500, 03,EE44, 12,43.0,-52.2, 53, 968,XX
AL,27,2020102500, 03,EE30, 12,43.0,-52.2, 53, 969,XX
AL,27,2020102500, 03,ECMF, 12,43.1,-52.1, 59, 965,XX
AL,27,2020102500, 03,EE42, 12,43.2,-52.1, 57, 961,XX
AL,27,2020102500, 03,EE45, 12,43.2,-52.4, 57, 962,XX
AL,27,2020102500, 03,EE05, 12,43.2,-52.1, 59, 963,XX
AL,27,2020102500, 03,EE47, 12,43.2,-52.1, 57, 964,XX
AL,27,2020102500, 03,EE08, 12,43.2,-52.1, 58, 965,XX
AL,27,2020102500, 03,EE00, 12,43.2,-52.1, 55, 966,XX
AL,27,2020102500, 03,EE39, 12,43.2,-51.9, 56, 967,XX
AL,27,2020102500, 03,EE46, 12,43.2,-52.1, 57, 968,XX
AL,27,2020102500, 03,EE18, 12,43.3,-52.1, 60, 962,XX
AL,27,2020102500, 03,EE12, 12,43.3,-52.2, 55, 963,XX
