basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,29,2020110700, 03,ECMF,  0,16.4,-86.7, 30,1002,XX
AL,29,2020110700, 03,EE00,  0,16.5,-86.5, 31,1002,XX
AL,29,2020110700, 03,EE13,  0,16.6,-86.7, 41,1002,XX
AL,29,2020110700, 03,EE16,  0,16.7,-87.0, 31,1002,XX
AL,29,2020110700, 03,EE03,  0,16.8,-86.5, 41,1003,XX
AL,29,2020110700, 03,EE23,  0,16.9,-86.5, 35,1002,XX
AL,29,2020110700, 03,EE29,  0,17.1,-86.5, 35,1001,XX
AL,29,2020110700, 03,EE40,  0,17.5,-86.7, 36,1002,XX
AL,29,2020110700, 03,EE19,  0,17.6,-86.1, 37,1000,XX
AL,29,2020110700, 03,EE07,  0,17.9,-86.0, 34,1002,XX
AL,29,2020110700, 03,EE01,  0,18.0,-86.1, 36,1000,XX
AL,29,2020110700, 03,EE10,  0,18.2,-84.3, 36,1002,XX
AL,29,2020110700, 03,EE25,144,26.2,-85.7, 28, 999,XX
AL,29,2020110700, 03,ECMF,144,27.5,-86.7, 29, 998,XX
AL,29,2020110700, 03,EE02,102,24.3,-86.3, 30, 996,XX
AL,29,2020110700, 03,EE04,120,24.6,-85.1, 31, 998,XX
AL,29,2020110700, 03,EE02,114,25.3,-86.5, 32, 996,XX
AL,29,2020110700, 03,EE00,102,24.5,-85.7, 33, 999,XX
AL,29,2020110700, 03,EE02,120,25.5,-86.8, 34, 996,XX
AL,29,2020110700, 03,EE15,114,28.3,-87.7, 35, 999,XX
AL,29,2020110700, 03,EE00,108,25.2,-85.7, 36, 999,XX
AL,29,2020110700, 03,EE06,102,26.3,-84.8, 37, 995,XX
AL,29,2020110700, 03,EE02,108,24.9,-86.1, 38, 995,XX
AL,29,2020110700, 03,ECMF,138,27.3,-86.5, 39, 994,XX
AL,29,2020110700, 03,EE03,108,25.0,-86.4, 40, 991,XX
AL,29,2020110700, 03,EE11,102,25.2,-85.7, 41, 989,XX
AL,29,2020110700, 03,EE03,102,24.9,-86.5, 42, 989,XX
AL,29,2020110700, 03,EE11,126,27.7,-86.4, 43, 997,XX
AL,29,2020110700, 03,EE29,120,24.8,-84.6, 44, 994,XX
AL,29,2020110700, 03,EE11,108,25.9,-85.5, 45, 989,XX
AL,29,2020110700, 03,EE03,120,25.7,-85.7, 46, 989,XX
AL,29,2020110700, 03,ECMF,132,27.1,-86.1, 47, 988,XX
AL,29,2020110700, 03,ECMF,102,25.0,-85.7, 48, 986,XX
AL,29,2020110700, 03,EE27,114,25.0,-85.4, 49, 986,XX
AL,29,2020110700, 03,EE27,102,24.1,-85.7, 50, 981,XX
AL,29,2020110700, 03,EE13,114,27.3,-87.0, 51, 987,XX
AL,29,2020110700, 03,EE46,102,25.9,-85.7, 52, 977,XX
AL,29,2020110700, 03,EE03,132,25.7,-85.7, 53, 989,XX
AL,29,2020110700, 03,EE03,114,25.2,-86.0, 54, 985,XX
AL,29,2020110700, 03,EE46,108,26.4,-85.4, 56, 974,XX
AL,29,2020110700, 03,EE27,108,24.6,-85.4, 57, 980,XX
AL,29,2020110700, 03,EE46,114,27.0,-85.3, 58, 972,XX
AL,29,2020110700, 03,ECMF,120,26.5,-85.8, 60, 975,XX
AL,29,2020110700, 03,ECMF,114,26.1,-85.8, 62, 977,XX
AL,29,2020110700, 03,EE46,126,28.1,-84.4, 64, 970,XX
AL,29,2020110700, 03,EE41,  6,17.0,-85.0, 32,1003,XX
AL,29,2020110700, 03,EE17,  6,17.2,-86.1, 24,1002,XX
AL,29,2020110700, 03,EE06,  6,17.2,-85.1, 32, 999,XX
AL,29,2020110700, 03,EE20,  6,17.3,-85.7, 29,1001,XX
AL,29,2020110700, 03,EE08,  6,17.4,-85.2, 29,1000,XX
AL,29,2020110700, 03,EE02,  6,17.5,-85.1, 29,1002,XX
AL,29,2020110700, 03,EE19,  6,17.5,-85.4, 34, 998,XX
AL,29,2020110700, 03,EE03,  6,17.6,-85.5, 32,1000,XX
AL,29,2020110700, 03,EE00,  6,17.7,-85.3, 26,1001,XX
AL,29,2020110700, 03,EE30,  6,17.7,-85.5, 30, 997,XX
AL,29,2020110700, 03,EE28,  6,17.7,-85.0, 30, 998,XX
AL,29,2020110700, 03,EE21,  6,17.7,-86.0, 31, 999,XX
AL,29,2020110700, 03,ECMF,  6,17.8,-85.4, 31, 999,XX
AL,29,2020110700, 03,EE15,  6,17.9,-85.5, 27,1001,XX
AL,29,2020110700, 03,EE01,  6,17.9,-85.7, 32, 999,XX
AL,29,2020110700, 03,EE32,  6,18.0,-84.6, 30,1000,XX
AL,29,2020110700, 03,EE13,  6,18.0,-85.8, 35, 995,XX
AL,29,2020110700, 03,EE14,  6,18.2,-85.8, 25,1001,XX
AL,29,2020110700, 03,EE07,  6,18.4,-84.7, 32,1000,XX
AL,29,2020110700, 03,EE10,  6,18.6,-83.2, 34,1001,XX
AL,29,2020110700, 03,EE11, 12,17.6,-84.8, 30,1000,XX
AL,29,2020110700, 03,EE02, 12,17.7,-84.3, 29,1001,XX
AL,29,2020110700, 03,EE30, 12,17.7,-84.7, 31, 997,XX
AL,29,2020110700, 03,EE17, 12,17.7,-84.8, 27, 998,XX
AL,29,2020110700, 03,EE21, 12,17.7,-84.6, 36, 999,XX
AL,29,2020110700, 03,EE04, 12,17.9,-84.4, 30,1000,XX
AL,29,2020110700, 03,EE06, 12,17.9,-83.3, 36, 996,XX
AL,29,2020110700, 03,EE35, 12,17.9,-85.0, 30, 999,XX
AL,29,2020110700, 03,EE00, 12,18.2,-84.4, 26,1000,XX
