basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,06,2020071000, 03,EE39,  0,34.5,-76.3, 29,1006,XX
AL,06,2020071000, 03,EE19,  0,34.9,-76.0, 28,1009,XX
AL,06,2020071000, 03,EE21,  0,35.0,-75.5, 30,1007,XX
AL,06,2020071000, 03,EE17,  0,35.1,-75.7, 32,1008,XX
AL,06,2020071000, 03,EE01,  0,35.2,-75.0, 27,1008,XX
AL,06,2020071000, 03,EE03,  0,35.3,-75.4, 35,1007,XX
AL,06,2020071000, 03,EE00,  0,35.4,-75.4, 29,1007,XX
AL,06,2020071000, 03,ECMF,  0,35.5,-75.5, 31,1007,XX
AL,06,2020071000, 03,EE15,  0,35.7,-75.3, 31,1006,XX
AL,06,2020071000, 03,EE20,  0,35.8,-75.2, 31,1007,XX
AL,06,2020071000, 03,EE12,  0,35.9,-75.0, 33,1006,XX
AL,06,2020071000, 03,EE31,  0,36.0,-75.4, 35,1006,XX
AL,06,2020071000, 03,EE30,  6,35.9,-75.8, 27,1008,XX
AL,06,2020071000, 03,EE01,  6,36.0,-75.6, 29,1006,XX
AL,06,2020071000, 03,EE32,  6,36.1,-75.3, 32,1005,XX
AL,06,2020071000, 03,EE45,  6,36.2,-75.3, 27,1007,XX
AL,06,2020071000, 03,EE13,  6,36.3,-75.3, 28,1006,XX
AL,06,2020071000, 03,EE00,  6,36.4,-75.3, 28,1005,XX
AL,06,2020071000, 03,EE48,  6,36.5,-75.4, 29,1005,XX
AL,06,2020071000, 03,EE03,  6,36.6,-75.0, 32,1006,XX
AL,06,2020071000, 03,EE04,  6,36.7,-75.0, 29,1006,XX
AL,06,2020071000, 03,EE09,  6,36.8,-75.4, 29,1005,XX
AL,06,2020071000, 03,EE20,  6,37.0,-75.1, 33,1004,XX
AL,06,2020071000, 03,EE17,  6,37.3,-74.6, 31,1006,XX
AL,06,2020071000, 03,ECMF,  6,37.6,-74.7, 35,1005,XX
AL,06,2020071000, 03,EE45, 12,36.0,-75.0, 27,1006,XX
AL,06,2020071000, 03,EE39, 12,36.3,-75.8, 30,1006,XX
AL,06,2020071000, 03,EE22, 12,36.6,-75.3, 29,1006,XX
AL,06,2020071000, 03,EE10, 12,36.7,-75.3, 25,1005,XX
AL,06,2020071000, 03,EE23, 12,36.8,-75.3, 26,1005,XX
AL,06,2020071000, 03,EE01, 12,36.9,-75.1, 29,1006,XX
AL,06,2020071000, 03,EE13, 12,37.0,-75.1, 27,1005,XX
