basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,25,2020100512, 03,EE02,132,35.9,-86.7, 17, 996,XX
AL,25,2020100512, 03,EE30,132,36.1,-87.2, 19, 993,XX
AL,25,2020100512, 03,EE02,138,37.1,-84.6, 21, 998,XX
AL,25,2020100512, 03,EE16,126,37.8,-88.1, 22, 993,XX
AL,25,2020100512, 03,EE04,  0,22.2,-87.7, 35,1001,XX
AL,25,2020100512, 03,ECMF,  0,22.4,-87.7, 32,1001,XX
AL,25,2020100512, 03,EE25,  0,22.4,-87.7, 36, 999,XX
AL,25,2020100512, 03,EE17,  0,22.5,-87.5, 37,1000,XX
AL,25,2020100512, 03,EE05,  0,22.5,-87.5, 40, 999,XX
AL,25,2020100512, 03,EE11,  0,22.7,-87.7, 38,1000,XX
AL,25,2020100512, 03,EE01,  0,22.7,-87.8, 48, 998,XX
AL,25,2020100512, 03,EE18,  0,22.7,-87.8, 45, 999,XX
AL,25,2020100512, 03,EE46,  0,22.8,-87.5, 46, 997,XX
AL,25,2020100512, 03,EE49,108,36.0,-89.5, 24, 997,XX
AL,25,2020100512, 03,EE02,126,34.5,-88.2, 25, 993,XX
AL,25,2020100512, 03,EE02,120,33.2,-89.6, 28, 994,XX
AL,25,2020100512, 03,EE30,114,32.1,-91.9, 29, 994,XX
AL,25,2020100512, 03,EE16,114,34.9,-90.8, 30, 983,XX
AL,25,2020100512, 03,EE02,108,29.4,-92.3, 31, 997,XX
AL,25,2020100512, 03,EE02,102,28.3,-92.6, 33, 998,XX
AL,25,2020100512, 03,EE30,108,30.1,-92.4, 34, 993,XX
AL,25,2020100512, 03,EE16,108,33.1,-91.0, 36, 978,XX
AL,25,2020100512, 03,EE16,102,30.7,-91.2, 42, 976,XX
AL,25,2020100512, 03,EE29,  6,21.8,-88.1, 39,1001,XX
AL,25,2020100512, 03,EE01,  6,21.8,-88.4, 37, 999,XX
AL,25,2020100512, 03,EE03,  6,21.9,-87.8, 32,1001,XX
AL,25,2020100512, 03,EE02,  6,22.1,-88.1, 30,1003,XX
AL,25,2020100512, 03,ECMF,  6,22.2,-88.0, 31,1002,XX
AL,25,2020100512, 03,EE05,  6,22.2,-87.8, 34, 999,XX
AL,25,2020100512, 03,EE07,  6,22.4,-87.8, 36,1002,XX
AL,25,2020100512, 03,EE46,  6,22.4,-87.5, 32, 998,XX
AL,25,2020100512, 03,EE06,  6,22.5,-87.9, 30,1002,XX
AL,25,2020100512, 03,EE42,  6,22.5,-88.2, 32, 999,XX
AL,25,2020100512, 03,EE45,  6,22.7,-87.9, 39,1000,XX
AL,25,2020100512, 03,EE01, 12,21.5,-88.4, 35,1000,XX
