basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,07,2020072212, 03,EE31,  0,9.5,-41.7, 31,1006,XX
AL,07,2020072212, 03,EE26,  0,9.6,-42.5, 39,1006,XX
AL,07,2020072212, 03,EE08,  0,9.7,-43.2, 52,1005,XX
AL,07,2020072212, 03,EE25,  0,9.9,-42.4, 31,1007,XX
AL,07,2020072212, 03,ECMF,  0,10.0,-43.0, 36,1005,XX
AL,07,2020072212, 03,EE05,  0,10.1,-43.1, 61,1004,XX
AL,07,2020072212, 03,EE33,  6,9.2,-43.8, 25,1007,XX
AL,07,2020072212, 03,EE26,  6,9.4,-44.1, 37,1002,XX
AL,07,2020072212, 03,EE46,  6,9.6,-43.8, 28,1006,XX
AL,07,2020072212, 03,EE09,  6,9.7,-43.5, 23,1008,XX
AL,07,2020072212, 03,ECMF,  6,9.9,-44.2, 33,1004,XX
AL,07,2020072212, 03,EE46, 12,9.4,-44.8, 25,1008,XX
AL,07,2020072212, 03,EE26, 12,9.6,-45.0, 33,1006,XX
AL,07,2020072212, 03,EE09, 12,9.7,-44.3, 25,1008,XX
AL,07,2020072212, 03,ECMF, 12,9.8,-45.0, 31,1006,XX
AL,07,2020072212, 03,EE15, 12,9.9,-44.9, 22,1010,XX
AL,07,2020072212, 03,EE46, 18,8.6,-45.8, 22,1007,XX
AL,07,2020072212, 03,EE48, 18,9.7,-46.7, 34,1005,XX
AL,07,2020072212, 03,ECMF, 18,9.9,-46.1, 29,1007,XX
AL,07,2020072212, 03,EE46, 24,9.0,-46.2, 20,1010,XX
AL,07,2020072212, 03,EE29, 24,9.6,-46.5, 20,1010,XX
AL,07,2020072212, 03,EE15, 24,9.7,-47.3, 21,1010,XX
AL,07,2020072212, 03,EE23, 24,9.9,-47.9, 32,1007,XX
AL,07,2020072212, 03,EE06, 30,9.9,-49.0, 21,1008,XX
AL,07,2020072212, 03,EE06, 42,9.7,-51.8, 30,1005,XX
AL,07,2020072212, 03,EE29, 42,9.9,-50.1, 23,1008,XX
AL,07,2020072212, 03,EE15, 48,9.9,-51.8, 24,1009,XX
AL,07,2020072212, 03,EE30, 54,9.4,-55.7, 23,1009,XX
AL,07,2020072212, 03,EE00,  6,10.0,-44.1, 27,1006,XX
AL,07,2020072212, 03,EE06,  6,10.1,-44.3, 33,1004,XX
AL,07,2020072212, 03,EE02,  6,10.3,-44.6, 31,1004,XX
AL,07,2020072212, 03,EE10,  6,10.4,-44.8, 32,1005,XX
AL,07,2020072212, 03,EE47, 84,9.2,-61.9, 26,1011,XX
AL,07,2020072212, 03,EE00, 12,10.0,-45.0, 22,1009,XX
AL,07,2020072212, 03,EE25, 12,10.1,-44.8, 30,1009,XX
AL,07,2020072212, 03,EE02, 12,10.3,-45.9, 30,1006,XX
AL,07,2020072212, 03,EE10, 12,10.6,-45.6, 25,1008,XX
AL,07,2020072212, 03,EE03, 18,10.0,-45.9, 22,1008,XX
AL,07,2020072212, 03,EE08, 18,10.1,-46.9, 28,1007,XX
AL,07,2020072212, 03,EE00, 18,10.3,-46.0, 20,1009,XX
AL,07,2020072212, 03,EE21, 18,10.4,-46.6, 23,1009,XX
AL,07,2020072212, 03,EE05, 18,10.6,-46.5, 31,1006,XX
AL,07,2020072212, 03,EE37, 18,10.7,-45.6, 19,1010,XX
AL,07,2020072212, 03,ECMF, 24,10.0,-47.1, 28,1009,XX
AL,07,2020072212, 03,EE03, 24,10.1,-47.0, 21,1010,XX
AL,07,2020072212, 03,EE11, 24,10.3,-46.9, 24,1010,XX
AL,07,2020072212, 03,EE02, 24,10.4,-48.8, 30,1008,XX
AL,07,2020072212, 03,EE00, 24,10.6,-47.0, 21,1011,XX
AL,07,2020072212, 03,EE17, 24,10.7,-46.9, 30,1007,XX
AL,07,2020072212, 03,EE05, 24,10.8,-47.6, 24,1009,XX
AL,07,2020072212, 03,EE23, 30,10.0,-49.0, 25,1006,XX
AL,07,2020072212, 03,EE49, 30,10.1,-47.4, 24,1008,XX
AL,07,2020072212, 03,EE02, 30,10.4,-50.1, 29,1005,XX
AL,07,2020072212, 03,ECMF, 30,10.5,-48.1, 22,1008,XX
AL,07,2020072212, 03,EE03, 30,10.6,-48.1, 21,1008,XX
AL,07,2020072212, 03,EE14, 30,10.7,-48.0, 29,1006,XX
AL,07,2020072212, 03,EE00, 30,10.8,-48.1, 21,1009,XX
AL,07,2020072212, 03,EE05, 30,11.3,-48.6, 23,1009,XX
AL,07,2020072212, 03,EE23, 36,10.0,-50.3, 31,1006,XX
AL,07,2020072212, 03,EE02, 36,10.1,-51.5, 35,1003,XX
AL,07,2020072212, 03,EE11, 36,10.3,-49.1, 24,1010,XX
AL,07,2020072212, 03,EE13, 36,10.4,-50.5, 26,1010,XX
AL,07,2020072212, 03,EE08, 36,10.6,-49.4, 23,1008,XX
AL,07,2020072212, 03,ECMF, 36,10.7,-49.2, 23,1010,XX
AL,07,2020072212, 03,EE00, 36,10.8,-49.3, 22,1010,XX
AL,07,2020072212, 03,EE19, 36,11.0,-50.3, 23,1010,XX
AL,07,2020072212, 03,EE17, 36,11.3,-48.6, 24,1008,XX
AL,07,2020072212, 03,ECMF, 42,10.0,-50.5, 23,1008,XX
AL,07,2020072212, 03,EE02, 42,10.1,-52.8, 34,1002,XX
AL,07,2020072212, 03,EE23, 42,10.3,-51.5, 31,1005,XX
AL,07,2020072212, 03,EE11, 42,10.4,-50.5, 22,1009,XX
AL,07,2020072212, 03,EE08, 42,10.6,-50.4, 31,1005,XX
AL,07,2020072212, 03,EE15, 42,10.7,-50.1, 21,1009,XX
AL,07,2020072212, 03,EE13, 42,10.8,-52.1, 25,1008,XX
AL,07,2020072212, 03,EE00, 42,11.0,-50.8, 22,1009,XX
AL,07,2020072212, 03,EE03, 42,11.1,-51.2, 23,1008,XX
AL,07,2020072212, 03,EE17, 42,11.4,-49.7, 25,1007,XX
AL,07,2020072212, 03,EE21, 42,11.5,-51.7, 23,1009,XX
AL,07,2020072212, 03,EE06, 48,10.0,-53.1, 32,1007,XX
AL,07,2020072212, 03,ECMF, 48,10.1,-52.2, 27,1009,XX
AL,07,2020072212, 03,EE37, 48,10.3,-51.0, 22,1009,XX
AL,07,2020072212, 03,EE02, 48,10.4,-54.3, 34,1004,XX
AL,07,2020072212, 03,EE25, 48,10.6,-51.2, 26,1009,XX
AL,07,2020072212, 03,EE10, 48,10.7,-54.5, 25,1010,XX
AL,07,2020072212, 03,EE00, 48,10.8,-52.4, 22,1011,XX
AL,07,2020072212, 03,EE13, 48,11.0,-54.2, 26,1011,XX
AL,07,2020072212, 03,EE03, 48,11.1,-52.4, 29,1008,XX
AL,07,2020072212, 03,EE45, 48,11.3,-52.5, 32,1006,XX
AL,07,2020072212, 03,EE30, 48,11.4,-53.1, 24,1011,XX
AL,07,2020072212, 03,EE17, 48,11.8,-51.0, 23,1010,XX
AL,07,2020072212, 03,EE06, 54,10.3,-54.3, 24,1007,XX
AL,07,2020072212, 03,EE34, 54,10.6,-54.5, 24,1007,XX
AL,07,2020072212, 03,ECMF, 54,10.7,-53.3, 21,1008,XX
AL,07,2020072212, 03,EE23, 54,10.8,-54.2, 35,1004,XX
AL,07,2020072212, 03,EE10, 54,11.0,-55.6, 27,1008,XX
AL,07,2020072212, 03,EE08, 54,11.1,-53.3, 25,1007,XX
AL,07,2020072212, 03,EE00, 54,11.3,-53.2, 19,1010,XX
AL,07,2020072212, 03,EE24, 54,11.4,-54.3, 22,1010,XX
AL,07,2020072212, 03,EE03, 54,11.5,-53.6, 23,1009,XX
AL,07,2020072212, 03,EE21, 54,11.7,-56.0, 20,1011,XX
AL,07,2020072212, 03,EE17, 54,12.1,-52.5, 24,1009,XX
AL,07,2020072212, 03,EE15, 60,10.4,-53.2, 18,1010,XX
AL,07,2020072212, 03,EE06, 60,10.6,-55.6, 24,1008,XX
AL,07,2020072212, 03,EE02, 60,10.7,-57.4, 31,1006,XX
AL,07,2020072212, 03,EE09, 60,10.8,-51.5, 18,1011,XX
AL,07,2020072212, 03,EE08, 60,11.0,-54.5, 26,1008,XX
AL,07,2020072212, 03,ECMF, 60,11.1,-54.6, 22,1010,XX
AL,07,2020072212, 03,EE32, 60,11.3,-55.3, 19,1011,XX
AL,07,2020072212, 03,EE19, 60,11.4,-55.9, 26,1008,XX
AL,07,2020072212, 03,EE14, 60,11.5,-54.8, 32,1006,XX
AL,07,2020072212, 03,EE45, 60,11.7,-55.3, 32,1006,XX
AL,07,2020072212, 03,EE28, 60,11.8,-55.2, 20,1012,XX
AL,07,2020072212, 03,EE31, 60,11.9,-47.1, 17,1012,XX
AL,07,2020072212, 03,EE17, 60,12.1,-54.0, 23,1010,XX
AL,07,2020072212, 03,EE34, 66,10.6,-57.4, 22,1008,XX
AL,07,2020072212, 03,EE02, 66,10.7,-59.3, 31,1006,XX
AL,07,2020072212, 03,EE06, 66,10.8,-57.3, 26,1007,XX
AL,07,2020072212, 03,EE08, 66,11.0,-56.2, 25,1007,XX
AL,07,2020072212, 03,EE23, 66,11.1,-57.0, 34,1005,XX
AL,07,2020072212, 03,ECMF, 66,11.2,-56.3, 21,1009,XX
