basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,08,2020072512, 03,EE03,  0,27.0,-96.1, 63, 979,XX
AL,08,2020072512, 03,EE39,  0,27.0,-96.1, 63, 980,XX
AL,08,2020072512, 03,EE42,  0,27.0,-96.2, 61, 981,XX
AL,08,2020072512, 03,EE05,  0,27.0,-96.2, 47, 986,XX
AL,08,2020072512, 03,EE19,  0,27.0,-96.2, 45, 988,XX
AL,08,2020072512, 03,EE32,  0,27.0,-96.2, 42, 989,XX
AL,08,2020072512, 03,ECMF,  0,27.1,-96.2, 52, 984,XX
AL,08,2020072512, 03,EE49,  0,27.2,-96.2, 66, 978,XX
AL,08,2020072512, 03,EE04,  0,27.2,-96.1, 59, 981,XX
AL,08,2020072512, 03,EE09,  0,27.2,-96.1, 58, 982,XX
AL,08,2020072512, 03,EE06,  0,27.2,-96.1, 57, 983,XX
AL,08,2020072512, 03,EE07,  0,27.2,-96.1, 52, 984,XX
AL,08,2020072512, 03,EE00,  0,27.2,-96.2, 49, 985,XX
AL,08,2020072512, 03,EE10,  0,27.2,-96.2, 51, 986,XX
AL,08,2020072512, 03,EE21,  0,27.2,-96.2, 45, 987,XX
AL,08,2020072512, 03,EE29,  0,27.2,-96.2, 41, 988,XX
AL,08,2020072512, 03,EE12,  0,27.2,-96.2, 45, 989,XX
AL,08,2020072512, 03,EE28,  0,27.2,-96.1, 41, 990,XX
AL,08,2020072512, 03,EE02,  0,27.3,-96.1, 53, 981,XX
AL,08,2020072512, 03,EE49,  6,26.7,-96.9, 55, 977,XX
AL,08,2020072512, 03,EE36,  6,26.9,-96.7, 59, 977,XX
AL,08,2020072512, 03,EE15,  6,26.9,-96.8, 55, 978,XX
AL,08,2020072512, 03,EE11,  6,26.9,-96.7, 52, 979,XX
AL,08,2020072512, 03,EE25,  6,26.9,-96.9, 49, 981,XX
AL,08,2020072512, 03,EE30,  6,26.9,-96.4, 54, 982,XX
AL,08,2020072512, 03,EE03,  6,27.0,-96.8, 60, 974,XX
AL,08,2020072512, 03,EE50,  6,27.0,-96.5, 57, 976,XX
AL,08,2020072512, 03,EE09,  6,27.0,-96.8, 60, 977,XX
AL,08,2020072512, 03,EE13,  6,27.0,-96.5, 59, 978,XX
AL,08,2020072512, 03,EE17,  6,27.0,-96.9, 51, 979,XX
AL,08,2020072512, 03,ECMF,  6,27.0,-96.7, 61, 980,XX
AL,08,2020072512, 03,EE00,  6,27.0,-96.7, 53, 981,XX
AL,08,2020072512, 03,EE10,  6,27.0,-96.5, 53, 982,XX
AL,08,2020072512, 03,EE22,  6,27.0,-96.7, 52, 984,XX
AL,08,2020072512, 03,EE19,  6,27.0,-96.7, 47, 985,XX
AL,08,2020072512, 03,EE33,  6,27.0,-96.7, 53, 986,XX
AL,08,2020072512, 03,EE04,  6,27.2,-96.7, 62, 975,XX
AL,08,2020072512, 03,EE02,  6,27.2,-96.2, 59, 977,XX
AL,08,2020072512, 03,EE08,  6,27.2,-96.5, 56, 978,XX
AL,08,2020072512, 03,EE05,  6,27.2,-96.8, 57, 980,XX
AL,08,2020072512, 03,EE06,  6,27.2,-96.7, 56, 981,XX
AL,08,2020072512, 03,EE07,  6,27.2,-96.8, 52, 982,XX
AL,08,2020072512, 03,EE21,  6,27.2,-96.8, 53, 984,XX
AL,08,2020072512, 03,EE44,  6,27.2,-96.7, 54, 985,XX
AL,08,2020072512, 03,EE12,  6,27.2,-96.5, 50, 987,XX
AL,08,2020072512, 03,EE20,  6,27.3,-96.7, 58, 981,XX
AL,08,2020072512, 03,EE29,  6,27.3,-96.7, 53, 986,XX
AL,08,2020072512, 03,EE32,  6,27.3,-96.8, 54, 987,XX
AL,08,2020072512, 03,EE40,  6,27.4,-96.8, 55, 984,XX
AL,08,2020072512, 03,EE27,  6,27.4,-96.2, 51, 986,XX
AL,08,2020072512, 03,EE28,  6,27.4,-96.4, 50, 990,XX
AL,08,2020072512, 03,EE15, 12,26.6,-97.5, 61, 974,XX
AL,08,2020072512, 03,EE49, 12,26.6,-97.6, 55, 975,XX
AL,08,2020072512, 03,EE11, 12,26.7,-97.4, 56, 973,XX
AL,08,2020072512, 03,EE13, 12,26.7,-97.5, 52, 977,XX
AL,08,2020072512, 03,EE48, 12,26.7,-97.9, 52, 978,XX
AL,08,2020072512, 03,EE25, 12,26.7,-97.6, 53, 979,XX
AL,08,2020072512, 03,EE43, 12,26.7,-97.8, 54, 980,XX
AL,08,2020072512, 03,EE04, 12,26.9,-97.8, 54, 975,XX
AL,08,2020072512, 03,EE09, 12,26.9,-97.6, 51, 976,XX
AL,08,2020072512, 03,EE06, 12,26.9,-97.4, 58, 977,XX
AL,08,2020072512, 03,EE24, 12,26.9,-97.8, 54, 978,XX
AL,08,2020072512, 03,EE22, 12,26.9,-97.8, 53, 983,XX
