basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,31,2020111500, 03,EE27,  0,12.0,-78.4, 40,1007,XX
AL,31,2020111500, 03,EE00,  0,12.1,-76.4, 32,1000,XX
AL,31,2020111500, 03,EE06,  0,12.1,-76.4, 37, 998,XX
AL,31,2020111500, 03,ECMF,  0,12.1,-76.5, 34, 999,XX
AL,31,2020111500, 03,EE13,  0,12.2,-76.4, 46, 997,XX
AL,31,2020111500, 03,EE17,  0,12.2,-76.5, 40, 998,XX
AL,31,2020111500, 03,EE01,  0,12.2,-76.4, 45, 999,XX
AL,31,2020111500, 03,EE04,  6,12.4,-77.3, 43, 995,XX
AL,31,2020111500, 03,EE45,  6,12.5,-77.1, 40, 995,XX
AL,31,2020111500, 03,EE19,  6,12.5,-77.3, 41, 996,XX
AL,31,2020111500, 03,EE25,  6,12.7,-77.1, 35,1000,XX
AL,31,2020111500, 03,EE10,  6,12.7,-76.8, 38, 993,XX
AL,31,2020111500, 03,EE13,  6,12.7,-76.4, 44, 994,XX
AL,31,2020111500, 03,EE24,  6,12.7,-77.1, 40, 996,XX
AL,31,2020111500, 03,EE30,  6,12.7,-77.0, 40, 997,XX
AL,31,2020111500, 03,EE14,  6,12.7,-77.4, 40, 998,XX
AL,31,2020111500, 03,EE47,  6,12.7,-77.4, 38, 999,XX
AL,31,2020111500, 03,EE08,  6,12.8,-77.1, 38,1000,XX
AL,31,2020111500, 03,EE11,  6,12.8,-77.1, 43, 995,XX
AL,31,2020111500, 03,EE33,  6,12.8,-76.8, 44, 996,XX
AL,31,2020111500, 03,EE26,  6,12.8,-77.1, 35, 998,XX
AL,31,2020111500, 03,EE39,  6,12.8,-76.7, 36, 999,XX
AL,31,2020111500, 03,ECMF,  6,12.9,-77.0, 38, 997,XX
AL,31,2020111500, 03,EE05,  6,13.0,-77.3, 39,1000,XX
AL,31,2020111500, 03,EE28,  6,13.0,-77.0, 46, 994,XX
AL,31,2020111500, 03,EE06,  6,13.0,-76.8, 39, 996,XX
AL,31,2020111500, 03,EE02,  6,13.0,-77.1, 39, 997,XX
AL,31,2020111500, 03,EE40,  6,13.0,-76.5, 45, 998,XX
AL,31,2020111500, 03,EE00,  6,13.0,-77.0, 37, 999,XX
AL,31,2020111500, 03,EE20,  6,13.1,-77.3, 37,1000,XX
AL,31,2020111500, 03,EE27,  6,13.1,-77.0, 40, 996,XX
AL,31,2020111500, 03,EE01,  6,13.1,-77.0, 44, 997,XX
AL,31,2020111500, 03,EE43,  6,13.1,-77.0, 36, 999,XX
AL,31,2020111500, 03,EE18,  6,13.2,-76.8, 36,1001,XX
AL,31,2020111500, 03,EE15,  6,13.2,-77.0, 38, 999,XX
AL,31,2020111500, 03,EE03,  6,13.4,-77.0, 40,1001,XX
AL,31,2020111500, 03,EE36,  6,13.4,-77.0, 38, 998,XX
AL,31,2020111500, 03,EE19, 12,12.5,-77.7, 39, 996,XX
AL,31,2020111500, 03,EE04, 12,12.7,-77.4, 38, 992,XX
AL,31,2020111500, 03,EE23, 12,12.8,-78.1, 34,1000,XX
AL,31,2020111500, 03,EE30, 12,12.8,-77.5, 39, 995,XX
AL,31,2020111500, 03,EE14, 12,12.8,-78.0, 38, 997,XX
AL,31,2020111500, 03,EE24, 12,12.9,-77.7, 36, 995,XX
AL,31,2020111500, 03,EE08, 12,12.9,-77.7, 37, 999,XX
AL,31,2020111500, 03,EE02, 12,13.0,-77.5, 34, 995,XX
AL,31,2020111500, 03,EE09, 12,13.0,-77.7, 35, 996,XX
AL,31,2020111500, 03,EE20, 12,13.0,-77.5, 37, 998,XX
AL,31,2020111500, 03,EE39, 12,13.0,-77.3, 34, 999,XX
AL,31,2020111500, 03,EE45, 12,13.1,-77.4, 45, 991,XX
AL,31,2020111500, 03,EE21, 12,13.1,-77.8, 42, 992,XX
AL,31,2020111500, 03,EE11, 12,13.1,-77.8, 40, 993,XX
AL,31,2020111500, 03,EE01, 12,13.1,-78.0, 38, 994,XX
AL,31,2020111500, 03,EE06, 12,13.1,-77.8, 38, 995,XX
AL,31,2020111500, 03,ECMF, 12,13.1,-77.7, 38, 996,XX
AL,31,2020111500, 03,EE26, 12,13.1,-77.8, 36, 997,XX
AL,31,2020111500, 03,EE05, 12,13.1,-78.0, 38, 998,XX
AL,31,2020111500, 03,EE34, 12,13.1,-77.8, 38, 999,XX
AL,31,2020111500, 03,EE38, 12,13.2,-78.1, 36,1000,XX
AL,31,2020111500, 03,EE10, 12,13.2,-77.5, 46, 989,XX
AL,31,2020111500, 03,EE33, 12,13.2,-77.4, 40, 994,XX
AL,31,2020111500, 03,EE22, 12,13.2,-77.4, 36, 995,XX
AL,31,2020111500, 03,EE44, 12,13.2,-77.7, 38, 996,XX
AL,31,2020111500, 03,EE25, 12,13.2,-77.4, 39, 997,XX
AL,31,2020111500, 03,EE00, 12,13.2,-77.7, 34, 998,XX
AL,31,2020111500, 03,EE16, 12,13.2,-77.1, 36, 999,XX
AL,31,2020111500, 03,EE35, 12,13.4,-77.7, 37,1000,XX
AL,31,2020111500, 03,EE17, 12,13.4,-77.7, 42, 993,XX
