basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,09,2020080412, 03,EE44,  0,37.0,-76.4, 50, 998,XX
AL,09,2020080412, 03,EE04,  0,37.1,-76.3, 49,1000,XX
AL,09,2020080412, 03,EE23,  0,37.1,-76.5, 58, 995,XX
AL,09,2020080412, 03,EE26,  0,37.1,-76.5, 52, 996,XX
AL,09,2020080412, 03,EE25,  0,37.1,-76.5, 54, 997,XX
AL,09,2020080412, 03,EE12,  0,37.1,-76.5, 55, 998,XX
AL,09,2020080412, 03,EE14,  0,37.1,-76.3, 50, 999,XX
AL,09,2020080412, 03,EE20,  0,37.3,-76.5, 57, 993,XX
AL,09,2020080412, 03,EE18,  0,37.3,-76.5, 56, 994,XX
AL,09,2020080412, 03,EE05,  0,37.3,-76.7, 56, 995,XX
AL,09,2020080412, 03,EE11,  0,37.3,-76.3, 57, 996,XX
AL,09,2020080412, 03,EE40,  0,37.3,-76.7, 50, 997,XX
AL,09,2020080412, 03,EE46,  0,37.3,-76.7, 44, 998,XX
AL,09,2020080412, 03,EE17,  0,37.3,-76.7, 48, 999,XX
AL,09,2020080412, 03,EE48,  0,37.6,-76.7, 55, 993,XX
AL,09,2020080412, 03,EE01,  0,37.6,-76.7, 50, 994,XX
AL,09,2020080412, 03,EE06,  0,37.6,-76.5, 55, 996,XX
AL,09,2020080412, 03,EE28,  0,37.6,-76.4, 53, 997,XX
AL,09,2020080412, 03,ECMF,  0,37.6,-76.5, 52, 998,XX
AL,09,2020080412, 03,EE08,  0,37.7,-76.7, 50, 997,XX
AL,09,2020080412, 03,EE07,  0,37.7,-76.5, 46, 998,XX
AL,09,2020080412, 03,EE29,  0,37.8,-76.8, 48,1000,XX
AL,09,2020080412, 03,EE02,  0,37.8,-76.5, 55, 989,XX
AL,09,2020080412, 03,EE10,  0,37.8,-76.7, 56, 991,XX
AL,09,2020080412, 03,EE16,  0,37.8,-76.8, 59, 992,XX
AL,09,2020080412, 03,EE09,  0,37.8,-76.4, 50, 996,XX
AL,09,2020080412, 03,EE15,  0,38.0,-76.8, 45, 997,XX
AL,09,2020080412, 03,EE49,  0,38.1,-76.5, 48, 997,XX
AL,09,2020080412, 03,EE34,  6,39.9,-74.9, 42, 998,XX
AL,09,2020080412, 03,EE26,  6,40.1,-75.0, 46, 993,XX
AL,09,2020080412, 03,EE05,  6,40.1,-75.0, 49, 994,XX
AL,09,2020080412, 03,EE32,  6,40.1,-74.4, 49, 995,XX
AL,09,2020080412, 03,EE21,  6,40.2,-74.7, 42,1001,XX
AL,09,2020080412, 03,EE25,  6,40.2,-74.7, 51, 991,XX
AL,09,2020080412, 03,EE16,  6,40.2,-74.7, 48, 992,XX
AL,09,2020080412, 03,EE19,  6,40.2,-74.7, 47, 995,XX
AL,09,2020080412, 03,EE04,  6,40.2,-75.1, 40, 997,XX
AL,09,2020080412, 03,ECMF,  6,40.3,-74.9, 45, 995,XX
AL,09,2020080412, 03,EE28,  6,40.4,-75.0, 50, 991,XX
AL,09,2020080412, 03,EE01,  6,40.4,-74.7, 52, 992,XX
AL,09,2020080412, 03,EE33,  6,40.4,-74.4, 49, 993,XX
AL,09,2020080412, 03,EE42,  6,40.4,-75.1, 45, 994,XX
AL,09,2020080412, 03,EE00,  6,40.4,-75.1, 49, 995,XX
AL,09,2020080412, 03,EE08,  6,40.4,-74.4, 49, 996,XX
AL,09,2020080412, 03,EE24,  6,40.4,-74.9, 45, 997,XX
AL,09,2020080412, 03,EE11,  6,40.5,-74.9, 51, 990,XX
AL,09,2020080412, 03,EE10,  6,40.5,-74.9, 53, 991,XX
AL,09,2020080412, 03,EE06,  6,40.5,-74.4, 49, 992,XX
AL,09,2020080412, 03,EE07,  6,40.5,-74.9, 46, 994,XX
AL,09,2020080412, 03,EE35,  6,40.5,-74.7, 50, 995,XX
AL,09,2020080412, 03,EE44,  6,40.5,-75.4, 47, 996,XX
AL,09,2020080412, 03,EE17,  6,40.5,-75.1, 46, 998,XX
AL,09,2020080412, 03,EE31,  6,40.6,-74.6, 53, 989,XX
AL,09,2020080412, 03,EE02,  6,40.6,-74.6, 46, 991,XX
AL,09,2020080412, 03,EE09,  6,40.6,-75.0, 49, 993,XX
AL,09,2020080412, 03,EE49,  6,40.6,-74.7, 47, 996,XX
AL,09,2020080412, 03,EE37,  6,40.6,-75.1, 49, 997,XX
AL,09,2020080412, 03,EE12,  6,40.6,-74.6, 48, 999,XX
AL,09,2020080412, 03,EE22,  6,40.8,-75.0, 50, 993,XX
AL,09,2020080412, 03,EE27,  6,40.8,-75.0, 49, 994,XX
AL,09,2020080412, 03,EE15,  6,40.8,-75.0, 43, 997,XX
AL,09,2020080412, 03,EE38,  6,40.9,-74.6, 47, 994,XX
AL,09,2020080412, 03,EE26, 12,42.8,-72.8, 38, 995,XX
AL,09,2020080412, 03,EE05, 12,42.9,-73.6, 35, 995,XX
AL,09,2020080412, 03,EE42, 12,43.0,-73.6, 36, 995,XX
AL,09,2020080412, 03,EE30, 12,43.0,-73.5, 37, 996,XX
AL,09,2020080412, 03,EE21, 12,43.2,-73.5, 37,1000,XX
AL,09,2020080412, 03,EE33, 12,43.2,-73.5, 36, 993,XX
AL,09,2020080412, 03,EE23, 12,43.2,-73.0, 36, 994,XX
AL,09,2020080412, 03,EE16, 12,43.2,-72.8, 37, 996,XX
AL,09,2020080412, 03,EE28, 12,43.3,-73.2, 36, 992,XX
AL,09,2020080412, 03,EE39, 12,43.3,-73.5, 36, 994,XX
AL,09,2020080412, 03,EE25, 12,43.3,-73.2, 39, 995,XX
AL,09,2020080412, 03,EE41, 12,43.3,-73.3, 39, 996,XX
AL,09,2020080412, 03,ECMF, 12,43.4,-73.0, 36, 995,XX
AL,09,2020080412, 03,EE24, 12,43.4,-72.9, 38, 996,XX
