basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,13,2020082300, 03,EE15,  0,17.9,-68.7, 41,1006,XX
AL,13,2020082300, 03,ECMF,138,36.3,-94.2, 18, 998,XX
AL,13,2020082300, 03,EE18,  0,18.2,-68.4, 43,1005,XX
AL,13,2020082300, 03,EE11,  0,18.3,-68.3, 35,1007,XX
AL,13,2020082300, 03,EE02,  0,18.4,-68.4, 40,1005,XX
AL,13,2020082300, 03,EE07,  0,18.7,-68.5, 39,1006,XX
AL,13,2020082300, 03,EE25,  0,18.9,-68.5, 38,1005,XX
AL,13,2020082300, 03,ECMF,  0,19.0,-68.8, 36,1007,XX
AL,13,2020082300, 03,EE24,  0,19.1,-68.8, 35,1005,XX
AL,13,2020082300, 03,EE06,  0,19.3,-68.8, 38,1006,XX
AL,13,2020082300, 03,EE02,138,36.6,-94.3, 20, 997,XX
AL,13,2020082300, 03,EE00,144,35.6,-97.2, 21, 997,XX
AL,13,2020082300, 03,ECMF,132,35.6,-94.8, 22, 995,XX
AL,13,2020082300, 03,EE04,144,32.9,-95.3, 23, 991,XX
AL,13,2020082300, 03,EE19,138,37.7,-90.0, 24, 994,XX
AL,13,2020082300, 03,EE19,132,37.0,-91.5, 25, 994,XX
AL,13,2020082300, 03,EE05,126,37.4,-77.8, 26, 995,XX
AL,13,2020082300, 03,EE21,120,33.1,-95.4, 27, 989,XX
AL,13,2020082300, 03,EE14,144,33.6,-98.5, 28, 992,XX
AL,13,2020082300, 03,ECMF,126,35.0,-95.3, 29, 990,XX
AL,13,2020082300, 03,EE02,126,34.0,-96.1, 30, 985,XX
AL,13,2020082300, 03,EE04,132,32.8,-95.3, 31, 985,XX
AL,13,2020082300, 03,EE04,126,31.9,-95.3, 32, 981,XX
AL,13,2020082300, 03,EE41,138,32.6,-96.5, 33, 987,XX
AL,13,2020082300, 03,EE04,120,31.2,-95.0, 34, 974,XX
AL,13,2020082300, 03,EE22,126,29.1,-98.3, 35, 986,XX
AL,13,2020082300, 03,EE06,126,30.5,-96.8, 36, 986,XX
AL,13,2020082300, 03,EE08,120,30.8,-94.8, 37, 973,XX
AL,13,2020082300, 03,EE00,114,30.0,-97.2, 38, 990,XX
AL,13,2020082300, 03,ECMF,120,33.7,-95.0, 39, 981,XX
AL,13,2020082300, 03,EE32,132,33.3,-97.8, 40, 979,XX
AL,13,2020082300, 03,EE31,120,29.0,-99.5, 41, 980,XX
AL,13,2020082300, 03,EE02,120,32.4,-96.1, 42, 972,XX
AL,13,2020082300, 03,EE00,120,31.4,-97.4, 43, 983,XX
AL,13,2020082300, 03,EE03,144,30.7,-98.5, 44, 984,XX
AL,13,2020082300, 03,ECMF,114,32.1,-95.2, 45, 976,XX
AL,13,2020082300, 03,EE22,120,28.6,-97.6, 46, 974,XX
AL,13,2020082300, 03,EE00,108,28.8,-96.8, 47, 985,XX
AL,13,2020082300, 03,EE06,114,29.0,-96.4, 48, 979,XX
AL,13,2020082300, 03,ECMF,108,30.5,-95.1, 49, 962,XX
AL,13,2020082300, 03,EE02,114,30.5,-96.4, 50, 966,XX
AL,13,2020082300, 03,EE14,114,30.1,-96.8, 51, 966,XX
AL,13,2020082300, 03,EE11,120,26.9,-100.5, 52, 977,XX
AL,13,2020082300, 03,EE15,108,29.8,-96.1, 53, 969,XX
AL,13,2020082300, 03,EE31,108,27.7,-98.1, 54, 974,XX
AL,13,2020082300, 03,EE00,102,27.7,-96.4, 55, 986,XX
AL,13,2020082300, 03,EE05,144,38.3,-67.3, 56, 987,XX
AL,13,2020082300, 03,EE33,120,30.0,-96.8, 57, 961,XX
AL,13,2020082300, 03,EE06,108,28.3,-96.0, 58, 972,XX
AL,13,2020082300, 03,EE04,114,30.1,-94.5, 59, 960,XX
AL,13,2020082300, 03,EE22,102,26.3,-95.8, 60, 976,XX
AL,13,2020082300, 03,EE06,102,27.6,-95.5, 61, 975,XX
AL,13,2020082300, 03,EE24,102,26.9,-95.1, 62, 975,XX
AL,13,2020082300, 03,EE15,102,28.8,-95.8, 63, 967,XX
AL,13,2020082300, 03,EE03,102,26.7,-96.2, 64, 969,XX
