basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,14,2020082212, 03,EE29,  0,18.0,-86.1, 27,1007,XX
AL,14,2020082212, 03,EE02,138,36.4,-93.6, 19, 999,XX
AL,14,2020082212, 03,EE11,  0,19.8,-85.5, 29,1006,XX
AL,14,2020082212, 03,ECMF,  0,20.0,-85.2, 29,1006,XX
AL,14,2020082212, 03,EE00,  0,20.1,-85.3, 29,1006,XX
AL,14,2020082212, 03,EE08,  0,20.3,-85.7, 30,1005,XX
AL,14,2020082212, 03,EE02,  0,20.4,-85.8, 26,1006,XX
AL,14,2020082212, 03,EE02,132,35.4,-94.0, 22, 995,XX
AL,14,2020082212, 03,EE43,126,37.6,-88.4, 23, 997,XX
AL,14,2020082212, 03,EE03,132,31.6,-93.8, 24, 997,XX
AL,14,2020082212, 03,EE43,144,39.2,-81.9, 25, 996,XX
AL,14,2020082212, 03,EE43,120,35.9,-89.8, 26, 999,XX
AL,14,2020082212, 03,EE43,138,39.0,-84.3, 28, 993,XX
AL,14,2020082212, 03,EE03,144,33.5,-93.8, 30, 989,XX
AL,14,2020082212, 03,EE03,138,32.5,-93.8, 32, 989,XX
AL,14,2020082212, 03,EE02,126,34.0,-93.8, 35, 990,XX
AL,14,2020082212, 03,EE08,  6,20.7,-86.0, 34,1005,XX
AL,14,2020082212, 03,ECMF,  6,20.8,-85.8, 36,1005,XX
AL,14,2020082212, 03,EE00,  6,21.0,-86.0, 32,1006,XX
AL,14,2020082212, 03,EE03,  6,21.1,-85.8, 32,1006,XX
AL,14,2020082212, 03,EE04,  6,21.2,-85.7, 33,1004,XX
AL,14,2020082212, 03,EE16,  6,21.4,-85.5, 39,1003,XX
AL,14,2020082212, 03,EE36,  6,21.5,-85.3, 35,1005,XX
AL,14,2020082212, 03,EE29, 12,20.1,-87.0, 23,1007,XX
AL,14,2020082212, 03,EE10, 12,21.2,-86.4, 29,1004,XX
AL,14,2020082212, 03,EE01, 12,21.4,-87.0, 28,1004,XX
AL,14,2020082212, 03,EE07, 12,21.5,-87.2, 33,1004,XX
AL,14,2020082212, 03,EE02, 12,21.7,-86.8, 27,1006,XX
AL,14,2020082212, 03,EE04, 12,21.8,-86.4, 29,1003,XX
AL,14,2020082212, 03,ECMF, 12,21.9,-86.6, 34,1003,XX
AL,14,2020082212, 03,EE00, 12,22.1,-86.5, 29,1004,XX
AL,14,2020082212, 03,EE16, 12,22.2,-85.8, 34,1001,XX
AL,14,2020082212, 03,EE14, 12,22.4,-86.1, 34,1001,XX
AL,14,2020082212, 03,EE49, 12,22.4,-85.7, 37, 999,XX
AL,14,2020082212, 03,EE36, 12,22.5,-85.7, 32,1003,XX
AL,14,2020082212, 03,EE29, 18,21.5,-89.5, 22,1008,XX
AL,14,2020082212, 03,EE08, 18,21.9,-87.2, 32,1004,XX
AL,14,2020082212, 03,EE41, 18,22.1,-87.5, 31,1003,XX
AL,14,2020082212, 03,EE01, 18,22.2,-87.9, 30,1005,XX
AL,14,2020082212, 03,EE10, 18,22.4,-87.1, 34,1003,XX
AL,14,2020082212, 03,EE04, 18,22.5,-87.2, 34,1004,XX
AL,14,2020082212, 03,EE00, 18,22.7,-87.4, 32,1005,XX
AL,14,2020082212, 03,ECMF, 18,22.8,-87.4, 35,1004,XX
AL,14,2020082212, 03,EE09, 18,22.9,-86.8, 36,1004,XX
AL,14,2020082212, 03,EE16, 18,23.1,-86.1, 37,1003,XX
AL,14,2020082212, 03,EE03, 18,23.2,-87.0, 32,1004,XX
AL,14,2020082212, 03,EE24, 18,23.4,-86.8, 36,1004,XX
AL,14,2020082212, 03,EE29, 24,21.9,-89.9, 26,1007,XX
AL,14,2020082212, 03,EE08, 24,22.7,-87.8, 34,1004,XX
AL,14,2020082212, 03,EE06, 24,22.8,-89.2, 29,1006,XX
AL,14,2020082212, 03,EE41, 24,22.9,-88.0, 36,1003,XX
AL,14,2020082212, 03,EE05, 24,23.1,-87.5, 32,1004,XX
AL,14,2020082212, 03,EE07, 24,23.2,-88.5, 36,1004,XX
AL,14,2020082212, 03,EE02, 24,23.4,-87.9, 32,1003,XX
AL,14,2020082212, 03,EE01, 24,23.5,-88.6, 30,1004,XX
AL,14,2020082212, 03,ECMF, 24,23.6,-87.2, 42,1002,XX
AL,14,2020082212, 03,EE15, 24,23.6,-86.3, 39, 998,XX
AL,14,2020082212, 03,EE43, 24,23.8,-88.2, 31,1003,XX
AL,14,2020082212, 03,EE18, 24,23.9,-86.8, 39,1001,XX
AL,14,2020082212, 03,EE45, 24,24.0,-87.9, 29,1005,XX
AL,14,2020082212, 03,EE09, 24,24.1,-87.1, 36,1004,XX
AL,14,2020082212, 03,EE21, 24,24.2,-87.4, 35,1004,XX
AL,14,2020082212, 03,EE03, 24,24.3,-87.2, 37,1003,XX
AL,14,2020082212, 03,EE23, 24,24.5,-88.6, 35,1004,XX
AL,14,2020082212, 03,EE24, 24,24.6,-86.8, 34,1004,XX
AL,14,2020082212, 03,EE29, 30,22.9,-90.3, 26,1008,XX
AL,14,2020082212, 03,EE08, 30,23.4,-88.1, 30,1005,XX
AL,14,2020082212, 03,EE06, 30,23.5,-89.6, 28,1007,XX
AL,14,2020082212, 03,EE28, 30,23.6,-89.2, 30,1006,XX
AL,14,2020082212, 03,EE07, 30,23.9,-89.5, 40,1002,XX
AL,14,2020082212, 03,EE05, 30,24.1,-87.9, 34,1004,XX
AL,14,2020082212, 03,EE17, 30,24.2,-89.3, 29,1005,XX
AL,14,2020082212, 03,EE11, 30,24.3,-87.7, 36,1003,XX
AL,14,2020082212, 03,EE01, 30,24.5,-89.1, 33,1005,XX
AL,14,2020082212, 03,EE26, 30,24.5,-87.5, 41, 999,XX
AL,14,2020082212, 03,EE22, 30,24.6,-87.8, 40,1001,XX
AL,14,2020082212, 03,ECMF, 30,24.7,-87.6, 60, 984,XX
AL,14,2020082212, 03,EE13, 30,24.8,-87.9, 32,1006,XX
AL,14,2020082212, 03,EE00, 30,24.9,-87.8, 37,1004,XX
AL,14,2020082212, 03,EE15, 30,24.9,-86.7, 46, 996,XX
AL,14,2020082212, 03,EE18, 30,25.0,-87.0, 39,1002,XX
AL,14,2020082212, 03,EE21, 30,25.1,-87.8, 37,1002,XX
AL,14,2020082212, 03,EE40, 30,25.2,-87.8, 41,1002,XX
AL,14,2020082212, 03,EE14, 30,25.3,-87.5, 37,1003,XX
AL,14,2020082212, 03,EE42, 30,25.3,-87.2, 40, 998,XX
AL,14,2020082212, 03,EE16, 30,25.3,-86.4, 39, 999,XX
AL,14,2020082212, 03,EE48, 30,25.5,-87.7, 37,1003,XX
AL,14,2020082212, 03,EE03, 30,25.6,-87.7, 39,1003,XX
AL,14,2020082212, 03,EE09, 30,25.7,-87.0, 39,1000,XX
AL,14,2020082212, 03,EE36, 30,25.9,-86.5, 39,1003,XX
AL,14,2020082212, 03,EE24, 30,26.0,-86.8, 42,1002,XX
AL,14,2020082212, 03,EE29, 36,23.1,-91.2, 25,1006,XX
AL,14,2020082212, 03,EE08, 36,23.5,-88.5, 29,1004,XX
AL,14,2020082212, 03,EE20, 36,24.2,-89.8, 28,1005,XX
AL,14,2020082212, 03,EE06, 36,24.3,-90.2, 29,1005,XX
AL,14,2020082212, 03,EE07, 36,24.6,-90.3, 33,1002,XX
AL,14,2020082212, 03,EE05, 36,24.8,-88.5, 29,1004,XX
AL,14,2020082212, 03,EE41, 36,24.8,-88.9, 41, 998,XX
AL,14,2020082212, 03,EE17, 36,24.9,-90.1, 27,1005,XX
AL,14,2020082212, 03,EE01, 36,25.2,-89.6, 27,1003,XX
AL,14,2020082212, 03,EE10, 36,25.3,-87.8, 35,1000,XX
AL,14,2020082212, 03,EE38, 36,25.4,-89.4, 30,1006,XX
AL,14,2020082212, 03,EE13, 36,25.5,-88.5, 25,1005,XX
AL,14,2020082212, 03,EE32, 36,25.6,-89.2, 39,1000,XX
AL,14,2020082212, 03,EE00, 36,25.7,-88.5, 34,1000,XX
AL,14,2020082212, 03,EE02, 36,25.7,-88.2, 46, 995,XX
AL,14,2020082212, 03,EE04, 36,25.9,-88.8, 35,1002,XX
AL,14,2020082212, 03,ECMF, 36,25.9,-87.9, 58, 986,XX
AL,14,2020082212, 03,EE27, 36,26.0,-88.2, 40,1001,XX
AL,14,2020082212, 03,EE26, 36,26.0,-87.7, 42, 998,XX
AL,14,2020082212, 03,EE15, 36,26.2,-87.1, 43, 993,XX
AL,14,2020082212, 03,EE14, 36,26.3,-88.1, 32,1003,XX
AL,14,2020082212, 03,EE16, 36,26.4,-86.7, 36,1000,XX
AL,14,2020082212, 03,EE18, 36,26.6,-87.4, 36,1000,XX
AL,14,2020082212, 03,EE03, 36,26.7,-88.4, 35,1002,XX
AL,14,2020082212, 03,EE09, 36,26.7,-87.1, 41, 998,XX
AL,14,2020082212, 03,EE23, 36,27.0,-88.4, 38,1000,XX
AL,14,2020082212, 03,EE25, 36,27.3,-87.2, 35,1001,XX
AL,14,2020082212, 03,EE36, 36,27.4,-86.4, 36,1001,XX
AL,14,2020082212, 03,EE24, 36,27.6,-87.1, 36,1002,XX
AL,14,2020082212, 03,EE29, 42,23.6,-92.1, 22,1008,XX
AL,14,2020082212, 03,EE08, 42,23.9,-89.5, 27,1006,XX
AL,14,2020082212, 03,EE06, 42,24.7,-91.2, 29,1007,XX
AL,14,2020082212, 03,EE20, 42,24.8,-91.0, 25,1007,XX
AL,14,2020082212, 03,EE28, 42,24.9,-91.6, 22,1007,XX
AL,14,2020082212, 03,EE07, 42,25.2,-91.6, 32,1005,XX
AL,14,2020082212, 03,EE41, 42,25.2,-90.0, 45, 999,XX
AL,14,2020082212, 03,EE05, 42,25.5,-89.6, 28,1005,XX
AL,14,2020082212, 03,EE17, 42,25.6,-91.0, 28,1007,XX
AL,14,2020082212, 03,EE44, 42,25.7,-90.0, 32,1003,XX
AL,14,2020082212, 03,EE11, 42,26.0,-88.5, 34,1004,XX
AL,14,2020082212, 03,EE01, 42,26.2,-90.4, 30,1006,XX
AL,14,2020082212, 03,EE02, 42,26.3,-89.3, 36,1000,XX
AL,14,2020082212, 03,EE32, 42,26.3,-90.0, 46, 997,XX
AL,14,2020082212, 03,EE10, 42,26.4,-88.6, 38,1001,XX
AL,14,2020082212, 03,EE00, 42,26.7,-89.1, 32,1004,XX
AL,14,2020082212, 03,ECMF, 42,26.8,-88.6, 54, 991,XX
AL,14,2020082212, 03,EE27, 42,26.9,-89.1, 44,1000,XX
AL,14,2020082212, 03,EE46, 42,26.9,-90.0, 41, 999,XX
AL,14,2020082212, 03,EE16, 42,27.0,-87.1, 34,1002,XX
AL,14,2020082212, 03,EE26, 42,27.0,-88.4, 43, 999,XX
AL,14,2020082212, 03,EE14, 42,27.2,-89.2, 30,1005,XX
AL,14,2020082212, 03,EE45, 42,27.3,-88.1, 32,1005,XX
AL,14,2020082212, 03,EE35, 42,27.4,-87.1, 35,1002,XX
AL,14,2020082212, 03,EE15, 42,27.4,-87.7, 48, 993,XX
AL,14,2020082212, 03,EE18, 42,27.6,-88.1, 39,1001,XX
AL,14,2020082212, 03,EE42, 42,27.7,-88.1, 36,1000,XX
AL,14,2020082212, 03,EE03, 42,27.9,-89.1, 37,1004,XX
AL,14,2020082212, 03,EE09, 42,28.0,-87.7, 41,1001,XX
AL,14,2020082212, 03,EE23, 42,28.0,-89.2, 39, 999,XX
AL,14,2020082212, 03,EE25, 42,28.6,-87.7, 37,1003,XX
AL,14,2020082212, 03,EE36, 42,28.7,-86.8, 36,1002,XX
AL,14,2020082212, 03,EE24, 42,28.8,-87.7, 37,1003,XX
AL,14,2020082212, 03,EE08, 48,24.5,-89.9, 24,1005,XX
AL,14,2020082212, 03,EE20, 48,25.5,-91.0, 23,1006,XX
AL,14,2020082212, 03,EE28, 48,25.6,-92.0, 24,1006,XX
AL,14,2020082212, 03,EE05, 48,26.2,-90.0, 25,1005,XX
AL,14,2020082212, 03,EE41, 48,26.3,-90.8, 36,1001,XX
AL,14,2020082212, 03,EE17, 48,26.4,-91.9, 24,1007,XX
AL,14,2020082212, 03,EE06, 48,26.6,-92.0, 26,1006,XX
AL,14,2020082212, 03,EE44, 48,27.0,-90.5, 29,1004,XX
AL,14,2020082212, 03,EE11, 48,27.2,-89.1, 31,1004,XX
AL,14,2020082212, 03,EE21, 48,27.3,-89.3, 26,1005,XX
AL,14,2020082212, 03,EE43, 48,27.4,-89.9, 28,1005,XX
AL,14,2020082212, 03,EE32, 48,27.4,-90.6, 41, 999,XX
AL,14,2020082212, 03,EE01, 48,27.6,-90.9, 28,1006,XX
AL,14,2020082212, 03,EE10, 48,27.7,-89.1, 36,1001,XX
AL,14,2020082212, 03,EE16, 48,27.9,-87.8, 34,1003,XX
AL,14,2020082212, 03,EE27, 48,28.1,-89.5, 37,1001,XX
AL,14,2020082212, 03,ECMF, 48,28.2,-89.2, 62, 983,XX
AL,14,2020082212, 03,EE00, 48,28.3,-89.2, 33,1005,XX
AL,14,2020082212, 03,EE46, 48,28.3,-90.3, 39, 999,XX
AL,14,2020082212, 03,EE04, 48,28.4,-89.9, 34,1004,XX
AL,14,2020082212, 03,EE35, 48,28.6,-87.7, 36,1002,XX
AL,14,2020082212, 03,EE26, 48,28.6,-89.1, 46, 993,XX
AL,14,2020082212, 03,EE45, 48,28.7,-88.2, 29,1005,XX
AL,14,2020082212, 03,EE03, 48,28.8,-89.6, 36,1004,XX
AL,14,2020082212, 03,EE15, 48,28.8,-88.1, 48, 993,XX
AL,14,2020082212, 03,EE42, 48,29.0,-88.4, 46, 992,XX
AL,14,2020082212, 03,EE09, 48,29.1,-87.8, 37,1001,XX
AL,14,2020082212, 03,EE40, 48,29.3,-89.6, 41, 998,XX
AL,14,2020082212, 03,EE18, 48,29.4,-88.9, 39,1001,XX
AL,14,2020082212, 03,EE23, 48,29.5,-88.9, 43, 997,XX
AL,14,2020082212, 03,EE25, 48,29.6,-87.8, 36,1003,XX
AL,14,2020082212, 03,EE24, 48,29.8,-88.4, 35,1004,XX
AL,14,2020082212, 03,EE36, 48,30.1,-86.7, 36,1003,XX
AL,14,2020082212, 03,EE08, 54,24.8,-90.2, 27,1007,XX
AL,14,2020082212, 03,EE06, 54,26.2,-92.6, 33,1007,XX
AL,14,2020082212, 03,EE20, 54,26.3,-91.5, 26,1008,XX
AL,14,2020082212, 03,EE07, 54,26.9,-92.6, 26,1008,XX
AL,14,2020082212, 03,EE05, 54,27.0,-90.5, 29,1007,XX
AL,14,2020082212, 03,EE17, 54,27.1,-92.5, 22,1009,XX
AL,14,2020082212, 03,EE11, 54,27.7,-89.6, 29,1006,XX
AL,14,2020082212, 03,EE13, 54,27.9,-89.9, 24,1010,XX
AL,14,2020082212, 03,EE02, 54,28.0,-90.5, 41,1000,XX
AL,14,2020082212, 03,EE16, 54,28.1,-88.5, 31,1005,XX
AL,14,2020082212, 03,EE43, 54,28.3,-90.3, 34,1007,XX
AL,14,2020082212, 03,EE01, 54,28.4,-91.5, 26,1007,XX
AL,14,2020082212, 03,EE34, 54,28.5,-90.0, 35,1005,XX
AL,14,2020082212, 03,EE27, 54,28.6,-90.0, 43, 998,XX
AL,14,2020082212, 03,EE10, 54,28.8,-89.5, 37,1004,XX
AL,14,2020082212, 03,EE00, 54,29.0,-90.2, 33,1007,XX
AL,14,2020082212, 03,ECMF, 54,29.1,-89.8, 69, 985,XX
AL,14,2020082212, 03,EE04, 54,29.3,-90.0, 32,1006,XX
AL,14,2020082212, 03,EE26, 54,29.3,-89.3, 50, 995,XX
AL,14,2020082212, 03,EE22, 54,29.4,-89.8, 46, 999,XX
AL,14,2020082212, 03,EE49, 54,29.5,-90.2, 39,1001,XX
AL,14,2020082212, 03,EE03, 54,29.6,-90.1, 32,1006,XX
AL,14,2020082212, 03,EE42, 54,29.7,-88.4, 43, 995,XX
AL,14,2020082212, 03,EE48, 54,29.8,-89.6, 30,1005,XX
AL,14,2020082212, 03,EE15, 54,29.8,-88.4, 42, 995,XX
AL,14,2020082212, 03,EE09, 54,30.0,-88.2, 34,1002,XX
AL,14,2020082212, 03,EE18, 54,30.1,-89.6, 38,1003,XX
AL,14,2020082212, 03,EE25, 54,30.2,-88.1, 28,1006,XX
AL,14,2020082212, 03,EE23, 54,30.4,-88.9, 34,1003,XX
AL,14,2020082212, 03,EE36, 54,31.2,-87.1, 21,1007,XX
AL,14,2020082212, 03,EE08, 60,24.7,-91.6, 21,1005,XX
AL,14,2020082212, 03,EE29, 60,25.3,-93.1, 23,1005,XX
AL,14,2020082212, 03,EE06, 60,26.4,-93.3, 27,1005,XX
AL,14,2020082212, 03,EE20, 60,26.6,-93.3, 23,1006,XX
AL,14,2020082212, 03,EE05, 60,27.3,-91.5, 25,1005,XX
AL,14,2020082212, 03,EE07, 60,27.6,-93.4, 25,1006,XX
AL,14,2020082212, 03,EE02, 60,28.0,-91.5, 33,1000,XX
AL,14,2020082212, 03,EE11, 60,28.1,-90.5, 25,1005,XX
AL,14,2020082212, 03,EE13, 60,28.3,-90.9, 20,1008,XX
AL,14,2020082212, 03,EE43, 60,28.5,-91.3, 23,1006,XX
AL,14,2020082212, 03,EE01, 60,28.7,-92.0, 22,1006,XX
AL,14,2020082212, 03,EE34, 60,28.8,-90.8, 27,1004,XX
AL,14,2020082212, 03,EE10, 60,29.0,-90.0, 29,1003,XX
AL,14,2020082212, 03,EE32, 60,29.1,-92.2, 35,1001,XX
AL,14,2020082212, 03,EE33, 60,29.4,-90.9, 28,1003,XX
AL,14,2020082212, 03,EE22, 60,29.5,-90.5, 29,1004,XX
AL,14,2020082212, 03,ECMF, 60,29.6,-90.6, 38, 996,XX
AL,14,2020082212, 03,EE35, 60,29.7,-89.2, 27,1004,XX
AL,14,2020082212, 03,EE04, 60,29.8,-90.5, 25,1007,XX
AL,14,2020082212, 03,EE48, 60,30.0,-90.0, 25,1006,XX
AL,14,2020082212, 03,EE03, 60,30.1,-90.5, 22,1007,XX
AL,14,2020082212, 03,EE42, 60,30.1,-88.8, 32, 999,XX
AL,14,2020082212, 03,EE15, 60,30.4,-88.6, 30,1000,XX
AL,14,2020082212, 03,EE18, 60,30.7,-90.5, 23,1005,XX
AL,14,2020082212, 03,EE24, 60,30.9,-89.6, 15,1009,XX
AL,14,2020082212, 03,EE40, 60,31.2,-90.6, 23,1002,XX
AL,14,2020082212, 03,EE36, 60,32.4,-87.2, 15,1004,XX
AL,14,2020082212, 03,EE08, 66,24.9,-92.9, 21,1006,XX
AL,14,2020082212, 03,EE29, 66,26.2,-95.3, 23,1008,XX
AL,14,2020082212, 03,EE20, 66,26.4,-94.0, 20,1008,XX
AL,14,2020082212, 03,EE06, 66,27.0,-94.8, 26,1007,XX
AL,14,2020082212, 03,EE16, 66,27.7,-90.3, 27,1006,XX
AL,14,2020082212, 03,EE07, 66,27.9,-94.8, 23,1008,XX
AL,14,2020082212, 03,EE02, 66,28.0,-92.9, 31,1003,XX
AL,14,2020082212, 03,EE05, 66,28.4,-92.9, 28,1006,XX
AL,14,2020082212, 03,EE13, 66,28.6,-91.9, 20,1010,XX
AL,14,2020082212, 03,EE45, 66,29.0,-89.9, 21,1009,XX
AL,14,2020082212, 03,EE27, 66,29.1,-92.3, 29,1004,XX
AL,14,2020082212, 03,EE10, 66,29.3,-90.6, 22,1005,XX
AL,14,2020082212, 03,EE00, 66,29.4,-92.0, 17,1009,XX
AL,14,2020082212, 03,EE01, 66,29.5,-93.1, 22,1008,XX
AL,14,2020082212, 03,EE33, 66,29.7,-92.0, 20,1006,XX
AL,14,2020082212, 03,ECMF, 66,29.9,-91.7, 27,1004,XX
AL,14,2020082212, 03,EE49, 66,30.0,-91.5, 22,1007,XX
AL,14,2020082212, 03,EE35, 66,30.1,-90.2, 25,1007,XX
AL,14,2020082212, 03,EE26, 66,30.2,-90.8, 28,1002,XX
AL,14,2020082212, 03,EE09, 66,30.7,-89.1, 19,1008,XX
AL,14,2020082212, 03,EE04, 66,30.8,-91.7, 18,1009,XX
AL,14,2020082212, 03,EE47, 66,31.1,-92.4, 18,1009,XX
AL,14,2020082212, 03,EE15, 66,31.4,-89.3, 21,1005,XX
AL,14,2020082212, 03,EE23, 66,31.5,-90.2, 17,1009,XX
AL,14,2020082212, 03,EE18, 66,31.6,-91.7, 19,1008,XX
AL,14,2020082212, 03,EE03, 66,31.8,-91.3, 19,1008,XX
AL,14,2020082212, 03,EE36, 66,33.8,-86.7, 18,1003,XX
AL,14,2020082212, 03,EE08, 72,25.0,-93.1, 20,1005,XX
AL,14,2020082212, 03,EE06, 72,26.4,-96.0, 25,1006,XX
AL,14,2020082212, 03,EE29, 72,26.7,-96.1, 19,1007,XX
AL,14,2020082212, 03,EE16, 72,27.4,-90.9, 24,1005,XX
