basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,17,2020091900, 03,EE05,  0,39.1,-31.3, 38,1004,XX
AL,17,2020091900, 03,ECMF,  0,39.2,-31.3, 36,1004,XX
AL,17,2020091900, 03,EE18,  0,39.4,-31.3, 36,1003,XX
AL,17,2020091900, 03,EE06,  6,37.4,-31.3, 34,1006,XX
AL,17,2020091900, 03,EE12,  6,37.5,-31.4, 33,1006,XX
AL,17,2020091900, 03,ECMF,  6,37.6,-31.3, 35,1005,XX
AL,17,2020091900, 03,EE00,  6,37.7,-31.3, 34,1005,XX
AL,17,2020091900, 03,EE04,  6,37.8,-31.3, 33,1004,XX
AL,17,2020091900, 03,EE01, 12,36.1,-31.0, 27,1009,XX
AL,17,2020091900, 03,EE02, 12,36.3,-30.5, 28,1008,XX
AL,17,2020091900, 03,ECMF, 12,36.4,-30.6, 28,1008,XX
AL,17,2020091900, 03,EE18, 12,36.6,-31.0, 28,1007,XX
AL,17,2020091900, 03,EE38, 18,35.4,-30.6, 26,1009,XX
AL,17,2020091900, 03,EE10, 18,35.6,-30.3, 26,1009,XX
AL,17,2020091900, 03,EE01, 18,35.7,-30.1, 25,1008,XX
AL,17,2020091900, 03,ECMF, 18,35.9,-29.9, 26,1007,XX
AL,17,2020091900, 03,EE00, 18,36.0,-30.0, 25,1007,XX
AL,17,2020091900, 03,EE14, 18,36.1,-29.7, 26,1007,XX
AL,17,2020091900, 03,EE28, 18,36.3,-29.7, 26,1007,XX
AL,17,2020091900, 03,EE11, 24,35.3,-30.3, 26,1008,XX
AL,17,2020091900, 03,EE10, 24,35.4,-29.7, 27,1010,XX
AL,17,2020091900, 03,EE01, 24,35.6,-29.9, 26,1010,XX
AL,17,2020091900, 03,EE02, 24,35.7,-29.7, 30,1008,XX
AL,17,2020091900, 03,ECMF, 24,35.8,-29.7, 29,1009,XX
AL,17,2020091900, 03,EE00, 24,35.9,-29.9, 29,1008,XX
AL,17,2020091900, 03,EE14, 24,36.0,-29.3, 30,1009,XX
AL,17,2020091900, 03,EE01, 30,35.2,-30.1, 27,1009,XX
AL,17,2020091900, 03,EE02, 30,35.3,-30.1, 36,1007,XX
AL,17,2020091900, 03,EE07, 30,35.4,-30.1, 27,1007,XX
AL,17,2020091900, 03,EE00, 30,35.6,-30.3, 30,1008,XX
AL,17,2020091900, 03,ECMF, 30,35.7,-30.1, 30,1008,XX
AL,17,2020091900, 03,EE14, 30,35.9,-29.2, 28,1007,XX
AL,17,2020091900, 03,EE02, 36,34.7,-30.4, 31,1008,XX
AL,17,2020091900, 03,EE01, 36,34.9,-30.6, 28,1010,XX
AL,17,2020091900, 03,EE00, 36,35.0,-30.6, 29,1009,XX
AL,17,2020091900, 03,EE08, 36,35.1,-30.9, 31,1010,XX
AL,17,2020091900, 03,ECMF, 36,35.2,-30.4, 32,1009,XX
AL,17,2020091900, 03,EE13, 36,35.3,-30.1, 32,1009,XX
AL,17,2020091900, 03,EE24, 36,35.4,-30.4, 31,1009,XX
AL,17,2020091900, 03,EE48, 36,35.6,-30.4, 31,1008,XX
AL,17,2020091900, 03,EE14, 36,35.7,-29.3, 32,1009,XX
AL,17,2020091900, 03,EE06, 42,34.3,-30.4, 28,1008,XX
AL,17,2020091900, 03,EE01, 42,34.5,-30.7, 26,1009,XX
AL,17,2020091900, 03,EE04, 42,34.6,-31.4, 28,1006,XX
AL,17,2020091900, 03,EE00, 42,34.7,-30.7, 27,1007,XX
AL,17,2020091900, 03,ECMF, 42,34.8,-30.8, 29,1007,XX
AL,17,2020091900, 03,EE27, 42,34.9,-31.0, 25,1008,XX
AL,17,2020091900, 03,EE16, 42,35.0,-30.1, 26,1007,XX
AL,17,2020091900, 03,EE13, 42,35.2,-30.7, 27,1008,XX
AL,17,2020091900, 03,EE14, 42,35.3,-29.6, 27,1007,XX
AL,17,2020091900, 03,EE31, 48,33.9,-30.6, 24,1009,XX
AL,17,2020091900, 03,EE01, 48,34.0,-30.7, 28,1011,XX
AL,17,2020091900, 03,EE08, 48,34.2,-29.7, 25,1009,XX
AL,17,2020091900, 03,EE00, 48,34.3,-30.6, 26,1008,XX
AL,17,2020091900, 03,ECMF, 48,34.4,-30.7, 27,1008,XX
AL,17,2020091900, 03,EE05, 48,34.5,-30.3, 26,1009,XX
AL,17,2020091900, 03,EE02, 48,34.6,-29.7, 25,1007,XX
AL,17,2020091900, 03,EE16, 48,34.7,-30.0, 27,1008,XX
AL,17,2020091900, 03,EE13, 48,34.9,-31.0, 28,1009,XX
AL,17,2020091900, 03,EE20, 48,35.0,-29.3, 26,1008,XX
AL,17,2020091900, 03,ECMF, 54,33.9,-30.1, 28,1007,XX
AL,17,2020091900, 03,EE10, 54,34.0,-30.3, 25,1009,XX
AL,17,2020091900, 03,EE00, 54,34.2,-30.1, 25,1007,XX
AL,17,2020091900, 03,EE11, 54,34.5,-29.6, 28,1006,XX
AL,17,2020091900, 03,EE22, 54,34.6,-29.0, 26,1005,XX
AL,17,2020091900, 03,EE02, 54,34.7,-29.9, 26,1006,XX
AL,17,2020091900, 03,EE20, 54,34.9,-28.7, 28,1007,XX
AL,17,2020091900, 03,EE14, 54,35.0,-28.7, 29,1007,XX
AL,17,2020091900, 03,EE44, 54,35.2,-29.7, 28,1007,XX
AL,17,2020091900, 03,EE26, 54,35.4,-26.1, 30,1004,XX
AL,17,2020091900, 03,EE01, 60,33.5,-30.4, 29,1012,XX
AL,17,2020091900, 03,EE24, 60,33.6,-29.2, 26,1009,XX
AL,17,2020091900, 03,EE15, 60,33.8,-30.6, 26,1011,XX
AL,17,2020091900, 03,ECMF, 60,33.9,-28.7, 28,1009,XX
AL,17,2020091900, 03,EE05, 60,34.0,-29.9, 26,1011,XX
AL,17,2020091900, 03,EE25, 60,34.1,-27.1, 28,1007,XX
AL,17,2020091900, 03,EE17, 60,34.2,-29.7, 25,1009,XX
AL,17,2020091900, 03,EE13, 60,34.3,-29.4, 26,1010,XX
AL,17,2020091900, 03,EE07, 60,34.5,-28.7, 26,1008,XX
AL,17,2020091900, 03,EE02, 60,34.6,-30.0, 26,1010,XX
AL,17,2020091900, 03,EE22, 60,34.7,-27.5, 28,1006,XX
AL,17,2020091900, 03,EE04, 60,34.9,-28.9, 33,1004,XX
AL,17,2020091900, 03,EE08, 60,35.0,-27.3, 28,1010,XX
AL,17,2020091900, 03,EE33, 60,35.2,-25.9, 31,1002,XX
AL,17,2020091900, 03,EE27, 60,35.4,-29.6, 27,1007,XX
AL,17,2020091900, 03,EE26, 60,36.1,-24.9, 30,1005,XX
AL,17,2020091900, 03,EE12, 66,33.5,-28.7, 25,1008,XX
AL,17,2020091900, 03,EE45, 66,33.6,-30.3, 25,1010,XX
AL,17,2020091900, 03,EE19, 66,33.9,-33.5, 23,1009,XX
AL,17,2020091900, 03,EE00, 66,34.0,-27.5, 28,1008,XX
AL,17,2020091900, 03,EE18, 66,34.2,-32.8, 26,1008,XX
AL,17,2020091900, 03,EE17, 66,34.3,-28.9, 26,1008,XX
AL,17,2020091900, 03,EE49, 66,34.5,-27.8, 34,1002,XX
AL,17,2020091900, 03,EE02, 66,34.6,-30.1, 25,1009,XX
AL,17,2020091900, 03,EE07, 66,34.7,-27.0, 28,1006,XX
AL,17,2020091900, 03,EE25, 66,34.9,-25.2, 29,1004,XX
AL,17,2020091900, 03,EE14, 66,35.2,-27.0, 26,1006,XX
AL,17,2020091900, 03,EE04, 66,35.3,-29.1, 36,1003,XX
AL,17,2020091900, 03,EE08, 66,35.4,-24.8, 29,1008,XX
AL,17,2020091900, 03,EE40, 66,35.6,-27.2, 29,1003,XX
AL,17,2020091900, 03,EE22, 66,35.9,-25.5, 31,1003,XX
AL,17,2020091900, 03,EE33, 66,36.1,-24.8, 29,1002,XX
AL,17,2020091900, 03,EE26, 66,36.6,-24.4, 31,1004,XX
AL,17,2020091900, 03,EE01, 72,32.8,-28.7, 24,1015,XX
AL,17,2020091900, 03,EE45, 72,33.3,-29.3, 24,1013,XX
AL,17,2020091900, 03,EE15, 72,33.8,-30.3, 21,1013,XX
AL,17,2020091900, 03,EE39, 72,33.9,-30.6, 23,1013,XX
AL,17,2020091900, 03,EE19, 72,34.0,-33.7, 25,1012,XX
AL,17,2020091900, 03,EE17, 72,34.2,-27.6, 27,1009,XX
AL,17,2020091900, 03,EE16, 72,34.6,-25.5, 26,1011,XX
AL,17,2020091900, 03,EE36, 72,34.7,-25.1, 29,1006,XX
AL,17,2020091900, 03,EE35, 72,34.9,-29.9, 25,1008,XX
AL,17,2020091900, 03,EE04, 72,35.0,-29.0, 32,1003,XX
AL,17,2020091900, 03,EE06, 72,35.2,-24.1, 30,1008,XX
AL,17,2020091900, 03,EE49, 72,35.3,-26.3, 32,1002,XX
