basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,18,2020090900, 03,EE14,  0,16.2,-28.5, 24,1006,XX
AL,18,2020090900, 03,EE09,  0,16.3,-28.5, 24,1006,XX
AL,18,2020090900, 03,EE15,  0,16.5,-28.7, 26,1005,XX
AL,18,2020090900, 03,EE07,  0,16.6,-28.6, 25,1005,XX
AL,18,2020090900, 03,EE10,  0,16.7,-28.7, 28,1004,XX
AL,18,2020090900, 03,ECMF,  0,16.9,-28.0, 23,1006,XX
AL,18,2020090900, 03,EE05,  0,17.0,-28.0, 26,1004,XX
AL,18,2020090900, 03,EE47,  0,17.2,-29.0, 26,1005,XX
AL,18,2020090900, 03,EE11,  0,17.3,-28.7, 29,1004,XX
AL,18,2020090900, 03,EE26,  0,17.6,-27.9, 30,1005,XX
AL,18,2020090900, 03,EE34,  6,16.3,-29.7, 28,1004,XX
AL,18,2020090900, 03,EE14,  6,16.5,-29.2, 23,1005,XX
AL,18,2020090900, 03,EE25,  6,16.6,-29.3, 27,1004,XX
AL,18,2020090900, 03,EE45,  6,16.7,-29.6, 25,1005,XX
AL,18,2020090900, 03,EE23,  6,16.8,-28.8, 23,1005,XX
AL,18,2020090900, 03,EE04,  6,16.9,-29.7, 29,1004,XX
AL,18,2020090900, 03,EE06,  6,17.0,-29.3, 24,1004,XX
AL,18,2020090900, 03,ECMF,  6,17.1,-29.2, 23,1005,XX
AL,18,2020090900, 03,EE08,  6,17.2,-29.4, 24,1006,XX
AL,18,2020090900, 03,EE19,  6,17.3,-29.4, 23,1006,XX
AL,18,2020090900, 03,EE12,  6,17.5,-29.4, 24,1005,XX
AL,18,2020090900, 03,EE05,  6,17.6,-29.3, 28,1003,XX
AL,18,2020090900, 03,EE39,  6,17.7,-30.3, 27,1003,XX
AL,18,2020090900, 03,EE20,  6,18.0,-29.0, 28,1005,XX
AL,18,2020090900, 03,EE27, 12,16.7,-30.8, 30,1006,XX
AL,18,2020090900, 03,EE06, 12,16.9,-30.1, 27,1007,XX
AL,18,2020090900, 03,EE14, 12,17.0,-30.6, 24,1008,XX
AL,18,2020090900, 03,EE04, 12,17.2,-30.6, 28,1006,XX
AL,18,2020090900, 03,EE10, 12,17.3,-31.1, 27,1006,XX
AL,18,2020090900, 03,ECMF, 12,17.4,-31.0, 27,1007,XX
AL,18,2020090900, 03,EE07, 12,17.5,-31.4, 28,1006,XX
AL,18,2020090900, 03,EE15, 12,17.6,-30.6, 26,1005,XX
AL,18,2020090900, 03,EE00, 12,17.7,-31.1, 28,1008,XX
AL,18,2020090900, 03,EE39, 12,17.9,-31.1, 33,1004,XX
AL,18,2020090900, 03,EE16, 12,18.0,-30.6, 24,1009,XX
AL,18,2020090900, 03,EE06, 18,17.0,-30.8, 21,1006,XX
AL,18,2020090900, 03,EE34, 18,17.2,-32.1, 28,1003,XX
AL,18,2020090900, 03,EE07, 18,17.3,-32.1, 24,1004,XX
AL,18,2020090900, 03,EE00, 18,17.5,-31.7, 23,1006,XX
AL,18,2020090900, 03,EE04, 18,17.6,-32.1, 27,1004,XX
AL,18,2020090900, 03,EE10, 18,17.7,-32.4, 26,1003,XX
AL,18,2020090900, 03,ECMF, 18,17.8,-32.6, 27,1005,XX
AL,18,2020090900, 03,EE15, 18,17.9,-31.1, 24,1004,XX
AL,18,2020090900, 03,EE05, 18,18.0,-31.7, 26,1004,XX
AL,18,2020090900, 03,EE20, 18,18.3,-32.0, 26,1004,XX
AL,18,2020090900, 03,EE13, 24,17.3,-32.1, 21,1010,XX
AL,18,2020090900, 03,EE23, 24,17.4,-32.4, 24,1011,XX
AL,18,2020090900, 03,EE07, 24,17.5,-33.5, 31,1006,XX
AL,18,2020090900, 03,EE04, 24,17.6,-32.3, 27,1006,XX
AL,18,2020090900, 03,EE17, 24,17.7,-32.7, 29,1010,XX
AL,18,2020090900, 03,EE10, 24,17.9,-33.0, 31,1005,XX
AL,18,2020090900, 03,EE00, 24,18.0,-32.5, 23,1010,XX
AL,18,2020090900, 03,ECMF, 24,18.1,-33.0, 30,1005,XX
AL,18,2020090900, 03,EE08, 24,18.2,-33.1, 22,1011,XX
AL,18,2020090900, 03,EE09, 24,18.3,-33.4, 26,1008,XX
AL,18,2020090900, 03,EE05, 24,18.4,-32.5, 26,1008,XX
AL,18,2020090900, 03,EE20, 24,18.6,-33.2, 30,1007,XX
AL,18,2020090900, 03,EE39, 24,18.7,-33.1, 27,1007,XX
AL,18,2020090900, 03,EE48, 24,18.9,-32.5, 25,1009,XX
AL,18,2020090900, 03,EE07, 30,17.3,-34.1, 27,1003,XX
AL,18,2020090900, 03,EE37, 30,17.6,-33.5, 23,1008,XX
AL,18,2020090900, 03,EE13, 30,17.7,-33.1, 21,1009,XX
AL,18,2020090900, 03,EE04, 30,17.9,-33.7, 29,1004,XX
AL,18,2020090900, 03,EE00, 30,18.0,-34.2, 25,1007,XX
AL,18,2020090900, 03,EE06, 30,18.2,-33.1, 25,1008,XX
AL,18,2020090900, 03,ECMF, 30,18.3,-34.1, 27,1004,XX
AL,18,2020090900, 03,EE44, 30,18.3,-34.5, 38, 998,XX
AL,18,2020090900, 03,EE08, 30,18.4,-33.8, 21,1010,XX
AL,18,2020090900, 03,EE14, 30,18.6,-33.4, 26,1008,XX
AL,18,2020090900, 03,EE05, 30,18.7,-33.8, 29,1007,XX
AL,18,2020090900, 03,EE15, 30,18.9,-33.4, 25,1007,XX
AL,18,2020090900, 03,EE48, 30,19.0,-33.8, 26,1008,XX
AL,18,2020090900, 03,EE20, 30,19.1,-34.5, 38,1003,XX
AL,18,2020090900, 03,EE47, 36,17.0,-34.1, 27,1008,XX
AL,18,2020090900, 03,EE23, 36,17.2,-35.1, 23,1009,XX
