basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,19,2020091412, 03,EE24,102,33.1,-86.0, 25, 999,XX
AL,19,2020091412, 03,EE49,114,30.9,-83.7, 27, 995,XX
AL,19,2020091412, 03,EE03,  0,27.9,-87.7, 38,1001,XX
AL,19,2020091412, 03,EE35,  0,27.9,-87.5, 35, 998,XX
AL,19,2020091412, 03,EE02,  0,27.9,-87.7, 38, 999,XX
AL,19,2020091412, 03,EE11,  0,28.0,-87.8, 36, 997,XX
AL,19,2020091412, 03,EE14,  0,28.0,-87.4, 38, 998,XX
AL,19,2020091412, 03,EE09,  0,28.0,-87.7, 34, 999,XX
AL,19,2020091412, 03,EE36,  0,28.1,-87.2, 51, 992,XX
AL,19,2020091412, 03,EE15,  0,28.1,-87.0, 53, 997,XX
AL,19,2020091412, 03,EE00,  0,28.1,-87.1, 37, 998,XX
AL,19,2020091412, 03,EE04,  0,28.1,-87.5, 37, 999,XX
AL,19,2020091412, 03,ECMF,  0,28.2,-87.0, 39, 998,XX
AL,19,2020091412, 03,EE18,  0,28.3,-87.1, 44, 996,XX
AL,19,2020091412, 03,EE05,  0,28.3,-87.0, 48, 997,XX
AL,19,2020091412, 03,EE19,  0,28.3,-87.0, 45, 998,XX
AL,19,2020091412, 03,EE12,  0,28.3,-87.0, 43, 999,XX
AL,19,2020091412, 03,EE27,  0,28.4,-87.2, 53, 992,XX
AL,19,2020091412, 03,EE26,  0,28.6,-87.5, 45, 995,XX
AL,19,2020091412, 03,EE40,  0,28.7,-87.5, 50, 996,XX
AL,19,2020091412, 03,EE20,108,37.1,-78.9, 29, 996,XX
AL,19,2020091412, 03,EE42,102,32.1,-86.0, 30, 997,XX
AL,19,2020091412, 03,EE35,108,36.0,-78.6, 31, 999,XX
AL,19,2020091412, 03,EE20,114,38.7,-76.0, 35, 994,XX
AL,19,2020091412, 03,EE49,102,30.2,-85.7, 37, 993,XX
AL,19,2020091412, 03,EE35,114,37.8,-75.8, 39, 998,XX
AL,19,2020091412, 03,EE18,126,34.7,-74.2, 43, 999,XX
AL,19,2020091412, 03,EE20,120,38.4,-74.0, 44, 993,XX
AL,19,2020091412, 03,EE18,144,34.2,-69.0, 46, 998,XX
AL,19,2020091412, 03,EE18,138,34.1,-70.8, 47, 996,XX
AL,19,2020091412, 03,EE12,120,36.1,-74.0, 48, 997,XX
AL,19,2020091412, 03,EE18,132,34.9,-72.3, 49, 998,XX
AL,19,2020091412, 03,EE05,  6,28.1,-87.7, 47, 993,XX
AL,19,2020091412, 03,EE18,  6,28.3,-87.4, 48, 993,XX
AL,19,2020091412, 03,EE10,  6,28.3,-87.8, 47, 995,XX
AL,19,2020091412, 03,EE31,  6,28.3,-87.4, 44, 997,XX
AL,19,2020091412, 03,EE41,  6,28.4,-87.0, 57, 988,XX
AL,19,2020091412, 03,EE35,  6,28.4,-87.0, 49, 991,XX
