basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,20,2020091712, 03,EE20,  0,18.9,-52.9, 97, 955,XX
AL,20,2020091712, 03,ECMF,  0,18.9,-52.9, 83, 961,XX
AL,20,2020091712, 03,EE01,  0,19.0,-52.9,105, 958,XX
AL,20,2020091712, 03,EE29,  0,19.0,-52.9, 98, 952,XX
AL,20,2020091712, 03,EE42,  0,19.0,-52.9, 97, 955,XX
AL,20,2020091712, 03,EE23,  0,19.0,-52.9, 77, 956,XX
AL,20,2020091712, 03,EE05,  0,19.0,-52.9, 88, 957,XX
AL,20,2020091712, 03,EE14,  0,19.0,-52.9, 94, 958,XX
AL,20,2020091712, 03,EE35,  0,19.0,-52.9, 73, 959,XX
AL,20,2020091712, 03,EE07,  0,19.0,-52.9, 79, 960,XX
AL,20,2020091712, 03,EE00,  0,19.0,-52.9, 71, 961,XX
AL,20,2020091712, 03,EE19,  0,19.0,-52.9, 85, 962,XX
AL,20,2020091712, 03,EE06,  0,19.0,-52.9, 69, 963,XX
AL,20,2020091712, 03,EE04,  0,19.0,-52.9, 87, 964,XX
AL,20,2020091712, 03,EE13,  0,19.0,-52.9, 76, 965,XX
AL,20,2020091712, 03,EE03,  0,19.0,-52.9, 78, 966,XX
AL,20,2020091712, 03,EE11,  0,19.0,-52.9, 67, 969,XX
AL,20,2020091712, 03,EE09,  0,19.0,-52.9, 66, 970,XX
AL,20,2020091712, 03,EE21,132,46.1,-66.7, 26, 998,XX
AL,20,2020091712, 03,EE49,138,42.6,-69.2, 29, 988,XX
AL,20,2020091712, 03,EE05,138,48.5,-63.5, 31, 988,XX
AL,20,2020091712, 03,EE31,138,45.3,-68.5, 32, 993,XX
AL,20,2020091712, 03,EE09,138,42.5,-68.1, 33, 985,XX
AL,20,2020091712, 03,EE00,144,44.2,-67.4, 34, 982,XX
AL,20,2020091712, 03,EE04,138,48.0,-65.7, 35, 984,XX
AL,20,2020091712, 03,EE02,138,45.0,-65.3, 36, 982,XX
AL,20,2020091712, 03,ECMF,144,44.9,-66.0, 37, 981,XX
AL,20,2020091712, 03,EE14,138,44.2,-68.0, 38, 979,XX
AL,20,2020091712, 03,EE00,138,43.9,-67.8, 39, 976,XX
AL,20,2020091712, 03,EE01,144,47.4,-64.6, 40, 973,XX
AL,20,2020091712, 03,EE06,126,44.9,-66.6, 41, 981,XX
AL,20,2020091712, 03,EE02,132,44.3,-65.2, 42, 974,XX
AL,20,2020091712, 03,EE27,138,42.3,-66.8, 43, 981,XX
AL,20,2020091712, 03,EE08,138,46.8,-64.9, 44, 967,XX
AL,20,2020091712, 03,EE13,138,43.2,-66.0, 45, 967,XX
AL,20,2020091712, 03,ECMF,138,43.4,-66.9, 46, 968,XX
AL,20,2020091712, 03,EE10,132,43.6,-63.9, 47, 961,XX
AL,20,2020091712, 03,EE03,126,44.6,-65.6, 48, 974,XX
AL,20,2020091712, 03,ECMF,132,42.9,-67.3, 49, 958,XX
AL,20,2020091712, 03,EE05,126,44.6,-64.7, 50, 970,XX
AL,20,2020091712, 03,EE12,138,42.3,-61.2, 51, 958,XX
AL,20,2020091712, 03,EE01,138,46.8,-64.6, 52, 966,XX
AL,20,2020091712, 03,EE09,126,42.9,-67.0, 53, 970,XX
AL,20,2020091712, 03,EE00,132,43.6,-67.4, 54, 967,XX
AL,20,2020091712, 03,EE10,126,42.8,-63.3, 55, 949,XX
AL,20,2020091712, 03,EE02,126,43.2,-64.6, 56, 953,XX
AL,20,2020091712, 03,EE03,120,43.3,-64.6, 57, 954,XX
AL,20,2020091712, 03,EE00,126,42.8,-66.0, 58, 955,XX
AL,20,2020091712, 03,EE23,126,39.8,-66.6, 59, 948,XX
AL,20,2020091712, 03,EE14,126,43.6,-67.7, 60, 959,XX
AL,20,2020091712, 03,ECMF,126,42.3,-66.6, 61, 946,XX
AL,20,2020091712, 03,EE30,138,39.4,-62.8, 62, 947,XX
AL,20,2020091712, 03,EE12,126,40.4,-60.4, 63, 949,XX
AL,20,2020091712, 03,EE18,120,42.8,-63.0, 64, 948,XX
AL,20,2020091712, 03,EE07,120,43.9,-63.8, 65, 943,XX
AL,20,2020091712, 03,EE14,120,42.2,-65.7, 66, 943,XX
AL,20,2020091712, 03,EE09,102,35.2,-61.4, 67, 963,XX
AL,20,2020091712, 03,EE27,114,39.8,-61.6, 68, 947,XX
AL,20,2020091712, 03,EE08,102,33.9,-61.8, 69, 953,XX
AL,20,2020091712, 03,EE15,102,32.6,-61.2, 70, 951,XX
AL,20,2020091712, 03,EE01,102,36.3,-60.7, 71, 955,XX
AL,20,2020091712, 03,ECMF,120,41.0,-64.7, 72, 941,XX
AL,20,2020091712, 03,EE00,102,33.9,-61.8, 73, 953,XX
AL,20,2020091712, 03,EE01,120,43.9,-62.9, 74, 938,XX
AL,20,2020091712, 03,EE16,114,40.2,-62.9, 75, 944,XX
AL,20,2020091712, 03,EE09,108,38.7,-61.8, 76, 950,XX
AL,20,2020091712, 03,EE04,102,36.1,-62.6, 77, 953,XX
AL,20,2020091712, 03,EE15,108,35.0,-61.4, 78, 948,XX
AL,20,2020091712, 03,EE02,102,33.5,-62.2, 79, 955,XX
AL,20,2020091712, 03,ECMF,102,33.7,-62.8, 80, 953,XX
AL,20,2020091712, 03,EE08,108,36.7,-61.8, 81, 947,XX
AL,20,2020091712, 03,EE00,108,36.7,-61.6, 82, 948,XX
AL,20,2020091712, 03,EE02,114,39.0,-62.1, 83, 951,XX
AL,20,2020091712, 03,EE04,108,39.7,-62.9, 84, 939,XX
AL,20,2020091712, 03,EE02,120,41.3,-63.3, 85, 944,XX
AL,20,2020091712, 03,EE24,114,39.2,-62.1, 86, 940,XX
AL,20,2020091712, 03,EE03,114,41.5,-63.2, 87, 938,XX
AL,20,2020091712, 03,EE11,120,40.2,-63.5, 88, 943,XX
AL,20,2020091712, 03,ECMF,114,39.1,-63.5, 89, 940,XX
AL,20,2020091712, 03,EE34,126,40.1,-62.2, 90, 934,XX
AL,20,2020091712, 03,EE10,114,40.4,-60.8, 91, 936,XX
AL,20,2020091712, 03,EE05,108,37.6,-62.8, 92, 945,XX
AL,20,2020091712, 03,EE07,114,41.8,-61.9, 93, 927,XX
AL,20,2020091712, 03,EE06,108,39.1,-63.8, 94, 946,XX
AL,20,2020091712, 03,ECMF,108,36.5,-62.5, 95, 946,XX
AL,20,2020091712, 03,EE49,108,40.8,-62.3, 96, 937,XX
AL,20,2020091712, 03,EE14,108,37.0,-62.9, 97, 943,XX
AL,20,2020091712, 03,EE13,120,40.6,-63.2, 98, 928,XX
AL,20,2020091712, 03,EE20,  6,19.3,-53.5, 70, 956,XX
AL,20,2020091712, 03,EE05,  6,19.3,-53.6, 61, 962,XX
AL,20,2020091712, 03,EE22,  6,19.3,-53.6, 56, 966,XX
AL,20,2020091712, 03,EE08,  6,19.3,-53.6, 53, 969,XX
AL,20,2020091712, 03,EE19,  6,19.4,-53.8, 54, 963,XX
AL,20,2020091712, 03,EE33,  6,19.4,-53.5, 58, 964,XX
AL,20,2020091712, 03,EE02,  6,19.4,-53.6, 59, 965,XX
AL,20,2020091712, 03,EE50,  6,19.4,-53.5, 59, 969,XX
AL,20,2020091712, 03,EE03,  6,19.4,-53.8, 57, 971,XX
AL,20,2020091712, 03,EE09,  6,19.4,-53.9, 47, 981,XX
AL,20,2020091712, 03,ECMF,  6,19.6,-53.7, 73, 954,XX
AL,20,2020091712, 03,EE31,  6,19.6,-53.9, 67, 957,XX
AL,20,2020091712, 03,EE42,  6,19.6,-53.6, 65, 961,XX
AL,20,2020091712, 03,EE01,  6,19.6,-53.3, 63, 962,XX
AL,20,2020091712, 03,EE07,  6,19.6,-53.5, 63, 963,XX
AL,20,2020091712, 03,EE00,  6,19.6,-53.6, 61, 964,XX
AL,20,2020091712, 03,EE15,  6,19.6,-53.5, 58, 966,XX
AL,20,2020091712, 03,EE41,  6,19.6,-53.9, 58, 968,XX
AL,20,2020091712, 03,EE44,  6,19.6,-53.5, 60, 970,XX
AL,20,2020091712, 03,EE18,  6,19.6,-53.6, 62, 972,XX
AL,20,2020091712, 03,EE04,  6,19.6,-54.1, 57, 973,XX
AL,20,2020091712, 03,EE11,  6,19.6,-53.8, 55, 974,XX
AL,20,2020091712, 03,EE21,  6,19.7,-53.5, 70, 957,XX
AL,20,2020091712, 03,EE30,  6,19.7,-53.6, 68, 961,XX
AL,20,2020091712, 03,EE23,  6,19.7,-53.6, 63, 963,XX
AL,20,2020091712, 03,EE06,  6,19.7,-53.6, 59, 967,XX
AL,20,2020091712, 03,EE13,  6,19.7,-53.6, 62, 968,XX
AL,20,2020091712, 03,EE26,  6,19.7,-53.8, 59, 969,XX
AL,20,2020091712, 03,EE24,  6,19.8,-53.3, 71, 961,XX
AL,20,2020091712, 03,EE40,  6,19.8,-53.9, 64, 962,XX
AL,20,2020091712, 03,EE39,  6,19.8,-53.9, 59, 972,XX
AL,20,2020091712, 03,EE40,114,38.4,-64.2,104, 930,XX
AL,20,2020091712, 03,EE05,114,40.4,-63.6,106, 937,XX
AL,20,2020091712, 03,EE13,108,36.0,-61.2,101, 941,XX
AL,20,2020091712, 03,EE05, 12,20.0,-54.0, 71, 958,XX
AL,20,2020091712, 03,EE14, 12,20.0,-54.2, 63, 961,XX
AL,20,2020091712, 03,EE03, 12,20.0,-54.3, 54, 978,XX
AL,20,2020091712, 03,EE20, 12,20.1,-54.0, 68, 956,XX
AL,20,2020091712, 03,EE31, 12,20.1,-54.3, 65, 957,XX
AL,20,2020091712, 03,EE07, 12,20.1,-54.2, 68, 958,XX
AL,20,2020091712, 03,EE15, 12,20.1,-54.0, 66, 960,XX
AL,20,2020091712, 03,EE46, 12,20.1,-54.2, 66, 961,XX
AL,20,2020091712, 03,EE02, 12,20.1,-54.2, 63, 964,XX
AL,20,2020091712, 03,EE26, 12,20.1,-54.6, 62, 966,XX
