basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,30,2020111100, 03,EE39,  0,28.8,-36.3, 45, 996,XX
AL,30,2020111100, 03,EE03,  0,28.8,-36.2, 40, 997,XX
AL,30,2020111100, 03,EE21,  0,28.8,-36.2, 49, 998,XX
AL,30,2020111100, 03,EE24,  0,29.0,-36.2, 46, 993,XX
AL,30,2020111100, 03,EE12,  0,29.0,-36.2, 42, 995,XX
AL,30,2020111100, 03,ECMF,  0,29.0,-36.1, 45, 996,XX
AL,30,2020111100, 03,EE20,  0,29.0,-36.2, 48, 997,XX
AL,30,2020111100, 03,EE34,  0,29.0,-35.8, 48, 998,XX
AL,30,2020111100, 03,EE30,  0,29.1,-36.3, 52, 992,XX
AL,30,2020111100, 03,EE23,  0,29.1,-36.3, 48, 993,XX
AL,30,2020111100, 03,EE02,  0,29.1,-35.9, 45, 994,XX
AL,30,2020111100, 03,EE18,  0,29.1,-36.0, 44, 995,XX
AL,30,2020111100, 03,EE00,  0,29.1,-36.0, 44, 996,XX
AL,30,2020111100, 03,EE10,  0,29.1,-35.6, 43, 997,XX
AL,30,2020111100, 03,EE33,  0,29.1,-35.8, 42, 998,XX
AL,30,2020111100, 03,EE11,  0,29.3,-35.9, 50, 994,XX
AL,30,2020111100, 03,EE43,  0,29.3,-35.8, 44, 995,XX
AL,30,2020111100, 03,EE29,  0,29.3,-35.9, 47, 996,XX
AL,30,2020111100, 03,EE01,  0,29.3,-35.8, 47, 997,XX
AL,30,2020111100, 03,EE05,  0,29.3,-35.8, 45, 998,XX
AL,30,2020111100, 03,EE35,  0,29.4,-35.9, 50, 995,XX
AL,30,2020111100, 03,EE04,  0,29.5,-35.8, 48, 993,XX
AL,30,2020111100, 03,EE21,114,33.1,-15.5, 33, 998,XX
AL,30,2020111100, 03,EE19,102,34.3,-14.7, 35, 997,XX
AL,30,2020111100, 03,EE21,108,33.2,-15.9, 37, 999,XX
AL,30,2020111100, 03,EE21,102,33.6,-15.9, 38, 996,XX
AL,30,2020111100, 03,EE21,144,37.4,-11.7, 40, 999,XX
AL,30,2020111100, 03,EE24,  6,29.1,-35.1, 39, 992,XX
AL,30,2020111100, 03,EE31,  6,29.1,-34.8, 39, 994,XX
AL,30,2020111100, 03,EE03,  6,29.1,-35.1, 39, 995,XX
AL,30,2020111100, 03,EE20,  6,29.1,-35.2, 39, 996,XX
AL,30,2020111100, 03,EE05,  6,29.1,-35.1, 39, 997,XX
AL,30,2020111100, 03,EE18,  6,29.3,-34.9, 41, 992,XX
AL,30,2020111100, 03,EE23,  6,29.3,-35.3, 39, 993,XX
AL,30,2020111100, 03,EE09,  6,29.3,-34.6, 37, 994,XX
AL,30,2020111100, 03,EE37,  6,29.3,-35.3, 37, 995,XX
AL,30,2020111100, 03,ECMF,  6,29.3,-35.1, 41, 996,XX
AL,30,2020111100, 03,EE16,  6,29.3,-34.9, 39, 997,XX
AL,30,2020111100, 03,EE02,  6,29.4,-34.8, 40, 991,XX
AL,30,2020111100, 03,EE11,  6,29.4,-35.2, 42, 992,XX
AL,30,2020111100, 03,EE19,  6,29.4,-35.1, 39, 993,XX
AL,30,2020111100, 03,EE08,  6,29.4,-35.1, 38, 994,XX
AL,30,2020111100, 03,EE21,  6,29.4,-34.9, 38, 995,XX
AL,30,2020111100, 03,EE50,  6,29.4,-34.9, 37, 997,XX
AL,30,2020111100, 03,EE04,  6,29.5,-35.1, 41, 991,XX
AL,30,2020111100, 03,EE01,  6,29.5,-35.1, 41, 995,XX
AL,30,2020111100, 03,EE10,  6,29.6,-35.0, 38, 996,XX
