basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,21,2020091500, 03,EE22,  0,18.7,-30.3, 36,1007,XX
AL,21,2020091500, 03,EE24,  0,18.9,-30.1, 36,1008,XX
AL,21,2020091500, 03,EE04,  0,19.0,-30.4, 35,1008,XX
AL,21,2020091500, 03,EE46,  0,19.1,-29.4, 43,1003,XX
AL,21,2020091500, 03,ECMF,  0,19.3,-29.4, 35,1007,XX
AL,21,2020091500, 03,EE16,  0,19.4,-30.0, 41,1007,XX
AL,21,2020091500, 03,EE14,  0,19.5,-29.3, 39,1004,XX
AL,21,2020091500, 03,EE01,  0,19.6,-29.7, 40,1003,XX
AL,21,2020091500, 03,EE10,  0,19.7,-29.7, 38,1007,XX
AL,21,2020091500, 03,EE40,  0,19.8,-28.7, 41,1002,XX
AL,21,2020091500, 03,EE21,  0,20.0,-30.1, 43,1005,XX
AL,21,2020091500, 03,EE41,  0,20.1,-29.9, 47,1006,XX
AL,21,2020091500, 03,EE22,  6,19.0,-29.6, 35,1005,XX
AL,21,2020091500, 03,EE38,  6,19.3,-29.7, 42,1004,XX
AL,21,2020091500, 03,EE11,  6,19.4,-30.0, 35,1005,XX
AL,21,2020091500, 03,EE06,  6,19.6,-30.0, 33,1005,XX
AL,21,2020091500, 03,EE32,  6,19.7,-30.3, 42,1002,XX
AL,21,2020091500, 03,EE01,  6,19.8,-30.1, 36,1003,XX
AL,21,2020091500, 03,EE34,  6,19.8,-29.6, 40, 999,XX
AL,21,2020091500, 03,ECMF,  6,19.9,-29.9, 42,1005,XX
AL,21,2020091500, 03,EE41,  6,20.0,-30.1, 38,1003,XX
AL,21,2020091500, 03,EE02,  6,20.1,-29.4, 43,1003,XX
AL,21,2020091500, 03,EE14,  6,20.3,-29.6, 40,1000,XX
AL,21,2020091500, 03,EE04,  6,20.4,-29.5, 35,1006,XX
AL,21,2020091500, 03,EE23,  6,20.4,-29.3, 41, 998,XX
AL,21,2020091500, 03,EE25,  6,20.5,-29.7, 39,1003,XX
AL,21,2020091500, 03,EE40,  6,20.5,-29.3, 49, 995,XX
AL,21,2020091500, 03,EE10,  6,20.7,-29.0, 38,1006,XX
AL,21,2020091500, 03,EE16, 12,19.4,-30.6, 38,1007,XX
AL,21,2020091500, 03,EE32, 12,19.8,-30.7, 39,1007,XX
AL,21,2020091500, 03,EE49, 12,20.0,-30.6, 35,1008,XX
AL,21,2020091500, 03,EE05, 12,20.1,-30.8, 38,1008,XX
AL,21,2020091500, 03,EE11, 12,20.3,-30.0, 31,1008,XX
AL,21,2020091500, 03,EE21, 12,20.4,-30.8, 40,1006,XX
AL,21,2020091500, 03,EE06, 12,20.5,-30.4, 34,1008,XX
AL,21,2020091500, 03,EE44, 12,20.6,-30.4, 39,1004,XX
AL,21,2020091500, 03,EE01, 12,20.7,-30.8, 39,1006,XX
AL,21,2020091500, 03,ECMF, 12,20.8,-30.6, 40,1004,XX
AL,21,2020091500, 03,EE23, 12,21.0,-29.9, 43,1003,XX
AL,21,2020091500, 03,EE03, 12,21.1,-30.3, 45,1001,XX
AL,21,2020091500, 03,EE40, 12,21.2,-30.1, 58, 995,XX
AL,21,2020091500, 03,EE04, 12,21.5,-30.3, 45,1005,XX
AL,21,2020091500, 03,EE49, 18,20.1,-31.1, 35,1005,XX
AL,21,2020091500, 03,EE08, 18,20.3,-31.8, 42,1004,XX
AL,21,2020091500, 03,EE41, 18,20.8,-31.0, 34,1004,XX
AL,21,2020091500, 03,EE02, 18,21.0,-31.1, 35,1002,XX
AL,21,2020091500, 03,EE46, 18,21.0,-31.4, 49, 997,XX
AL,21,2020091500, 03,ECMF, 18,21.1,-31.5, 40,1003,XX
AL,21,2020091500, 03,EE18, 18,21.2,-31.3, 39,1004,XX
AL,21,2020091500, 03,EE01, 18,21.4,-32.0, 45,1002,XX
AL,21,2020091500, 03,EE06, 18,21.5,-31.5, 40,1006,XX
AL,21,2020091500, 03,EE23, 18,21.5,-30.8, 43, 998,XX
AL,21,2020091500, 03,EE14, 18,21.5,-31.1, 47, 999,XX
AL,21,2020091500, 03,EE04, 18,21.7,-31.3, 45,1003,XX
AL,21,2020091500, 03,EE08, 24,20.4,-32.7, 35,1007,XX
AL,21,2020091500, 03,EE32, 24,20.5,-32.8, 33,1009,XX
AL,21,2020091500, 03,EE10, 24,21.0,-32.7, 38,1007,XX
AL,21,2020091500, 03,EE31, 24,21.2,-31.4, 31,1008,XX
AL,21,2020091500, 03,EE01, 24,21.4,-33.4, 37,1006,XX
AL,21,2020091500, 03,EE03, 24,21.5,-31.5, 36,1005,XX
AL,21,2020091500, 03,EE47, 24,21.6,-31.5, 37,1007,XX
AL,21,2020091500, 03,EE11, 24,21.7,-31.4, 33,1006,XX
AL,21,2020091500, 03,EE14, 24,21.8,-32.1, 40,1003,XX
AL,21,2020091500, 03,EE04, 24,21.9,-31.8, 40,1007,XX
AL,21,2020091500, 03,EE21, 24,22.1,-32.4, 41,1006,XX
AL,21,2020091500, 03,EE28, 24,22.2,-32.3, 38,1007,XX
AL,21,2020091500, 03,EE22, 30,20.6,-33.2, 36,1006,XX
AL,21,2020091500, 03,EE29, 30,21.4,-33.4, 37,1005,XX
AL,21,2020091500, 03,EE05, 30,21.5,-34.2, 40,1004,XX
AL,21,2020091500, 03,EE48, 30,21.8,-34.4, 31,1007,XX
AL,21,2020091500, 03,EE11, 30,21.9,-32.1, 32,1004,XX
AL,21,2020091500, 03,EE47, 30,22.1,-32.1, 41,1002,XX
AL,21,2020091500, 03,EE28, 30,22.5,-33.2, 38,1005,XX
AL,21,2020091500, 03,EE10, 36,20.7,-34.1, 34,1007,XX
AL,21,2020091500, 03,EE22, 48,21.5,-35.7, 33,1009,XX
AL,21,2020091500, 03,EE44, 48,22.4,-37.0, 35,1009,XX
AL,21,2020091500, 03,EE22, 66,21.1,-38.3, 27,1007,XX
