basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,28,2020102612, 03,EE10,  0,19.0,-85.1, 57, 989,XX
AL,28,2020102612, 03,EE41,  0,19.0,-84.8, 58, 990,XX
AL,28,2020102612, 03,EE23,  0,19.0,-85.1, 46, 993,XX
AL,28,2020102612, 03,EE07,  0,19.0,-85.0, 46, 994,XX
AL,28,2020102612, 03,EE15,  0,19.0,-85.0, 41, 995,XX
AL,28,2020102612, 03,EE20,  0,19.0,-85.0, 36, 996,XX
AL,28,2020102612, 03,EE26,  0,19.0,-85.1, 41, 997,XX
AL,28,2020102612, 03,EE37,  0,19.1,-85.0, 48, 992,XX
AL,28,2020102612, 03,EE02,  0,19.1,-85.1, 42, 994,XX
AL,28,2020102612, 03,ECMF,  0,19.1,-85.1, 38, 995,XX
AL,28,2020102612, 03,EE03,  0,19.1,-85.1, 40, 996,XX
AL,28,2020102612, 03,EE01,  0,19.1,-85.1, 39, 997,XX
AL,28,2020102612, 03,EE22,  0,19.1,-85.1, 33, 998,XX
AL,28,2020102612, 03,EE35,  0,19.1,-85.1, 31, 999,XX
AL,28,2020102612, 03,EE07,  6,19.0,-86.0, 42, 991,XX
AL,28,2020102612, 03,EE23,  6,19.0,-86.1, 43, 992,XX
AL,28,2020102612, 03,EE28,  6,19.0,-85.8, 42, 994,XX
AL,28,2020102612, 03,EE42,  6,19.0,-86.0, 39, 995,XX
AL,28,2020102612, 03,EE10,  6,19.1,-86.0, 48, 985,XX
AL,28,2020102612, 03,EE32,  6,19.1,-85.8, 40, 992,XX
AL,28,2020102612, 03,EE04,  6,19.1,-86.0, 39, 993,XX
AL,28,2020102612, 03,EE03,  6,19.1,-85.5, 38, 994,XX
AL,28,2020102612, 03,EE09,  6,19.1,-86.0, 40, 995,XX
AL,28,2020102612, 03,EE05,  6,19.1,-86.0, 39, 996,XX
AL,28,2020102612, 03,EE41,  6,19.3,-86.0, 52, 985,XX
AL,28,2020102612, 03,EE43,  6,19.3,-86.0, 41, 990,XX
AL,28,2020102612, 03,EE27,  6,19.3,-85.8, 43, 993,XX
AL,28,2020102612, 03,EE02,  6,19.3,-86.0, 43, 994,XX
AL,28,2020102612, 03,ECMF,  6,19.3,-86.0, 40, 995,XX
AL,28,2020102612, 03,EE22,  6,19.3,-86.1, 35, 997,XX
AL,28,2020102612, 03,EE37,  6,19.4,-86.0, 44, 992,XX
AL,28,2020102612, 03,EE36,  6,19.4,-85.7, 43, 993,XX
AL,28,2020102612, 03,EE25,  6,19.4,-86.1, 40, 995,XX
AL,28,2020102612, 03,EE16,  6,19.4,-86.3, 44, 996,XX
AL,28,2020102612, 03,EE08,  6,19.4,-86.1, 38, 997,XX
AL,28,2020102612, 03,EE33,  6,19.5,-85.8, 42, 999,XX
AL,28,2020102612, 03,EE15,  6,19.6,-86.0, 43, 994,XX
AL,28,2020102612, 03,EE06,  6,19.6,-86.0, 46, 995,XX
AL,28,2020102612, 03,EE13,  6,19.6,-86.0, 39, 997,XX
AL,28,2020102612, 03,EE40,  6,19.6,-86.1, 35, 998,XX
AL,28,2020102612, 03,EE01,  6,19.7,-86.1, 39, 998,XX
AL,28,2020102612, 03,EE35,  6,19.8,-85.4, 42, 999,XX
AL,28,2020102612, 03,EE28, 12,19.0,-86.7, 45, 993,XX
AL,28,2020102612, 03,EE23, 12,19.1,-87.0, 52, 989,XX
AL,28,2020102612, 03,EE32, 12,19.3,-86.7, 48, 990,XX
AL,28,2020102612, 03,EE14, 12,19.3,-86.7, 44, 994,XX
AL,28,2020102612, 03,EE22, 12,19.3,-87.0, 37, 995,XX
AL,28,2020102612, 03,EE07, 12,19.4,-86.8, 46, 990,XX
AL,28,2020102612, 03,EE03, 12,19.4,-86.7, 49, 991,XX
AL,28,2020102612, 03,EE30, 12,19.4,-87.2, 52, 992,XX
AL,28,2020102612, 03,EE42, 12,19.4,-87.1, 47, 993,XX
AL,28,2020102612, 03,EE05, 12,19.4,-86.8, 46, 995,XX
AL,28,2020102612, 03,EE33, 12,19.4,-86.8, 37, 998,XX
AL,28,2020102612, 03,EE10, 12,19.6,-86.8, 50, 985,XX
AL,28,2020102612, 03,EE43, 12,19.6,-86.7, 47, 988,XX
AL,28,2020102612, 03,EE38, 12,19.6,-86.8, 51, 989,XX
AL,28,2020102612, 03,EE44, 12,19.6,-86.8, 51, 991,XX
AL,28,2020102612, 03,EE09, 12,19.6,-86.7, 45, 994,XX
AL,28,2020102612, 03,EE24, 12,19.6,-87.0, 40, 995,XX
AL,28,2020102612, 03,EE26, 12,19.6,-87.2, 39, 997,XX
AL,28,2020102612, 03,EE41, 12,19.7,-87.0, 52, 985,XX
AL,28,2020102612, 03,EE37, 12,19.7,-87.1, 48, 989,XX
AL,28,2020102612, 03,EE25, 12,19.7,-87.0, 48, 991,XX
AL,28,2020102612, 03,EE04, 12,19.7,-86.8, 46, 992,XX
AL,28,2020102612, 03,ECMF, 12,19.7,-87.0, 43, 994,XX
AL,28,2020102612, 03,EE00, 12,19.7,-86.8, 42, 995,XX
AL,28,2020102612, 03,EE13, 12,19.7,-87.0, 39, 996,XX
AL,28,2020102612, 03,EE46, 12,19.8,-86.7, 51, 989,XX
AL,28,2020102612, 03,EE12, 12,19.8,-87.1, 45, 993,XX
AL,28,2020102612, 03,EE02, 12,19.8,-87.2, 43, 994,XX
AL,28,2020102612, 03,EE16, 12,19.8,-87.2, 40, 996,XX
AL,28,2020102612, 03,EE45, 12,19.8,-87.2, 44, 997,XX
AL,28,2020102612, 03,EE36, 12,20.0,-86.5, 46, 993,XX
