basin, number, time, tech, model, forecastHr, lat , lon, vmax, mslp, 
AL, 09, 2006100100, 03, ECMF,   0, 310N,  603W,  25, 1016, XX
AL, 09, 2006100100, 03, ECMF,   6, 317N,  612W,  31, 1015, XX
AL, 09, 2006100100, 03, ECMF,  12, 325N,  618W,  33, 1016, XX
AL, 09, 2006100100, 03, ECMF,  18, 339N,  620W,  34, 1016, XX
AL, 09, 2006100100, 03, ECMF,  24, 362N,  623W,  36, 1016, XX
AL, 09, 2006100100, 03, EE00,   0, 310N,  604W,  25, 1016, XX
AL, 09, 2006100100, 03, EE00,  12, 325N,  617W,  31, 1016, XX
AL, 09, 2006100100, 03, EE00,  24, 356N,  622W,  33, 1016, XX
AL, 09, 2006100100, 03, EE00,  36, 415N,  600W,  53, 1007, XX
AL, 09, 2006100100, 03, EE00,  48, 465N,  554W,  45, 1001, XX
AL, 09, 2006100100, 03, EE01,   0, 310N,  604W,  25, 1016, XX
AL, 09, 2006100100, 03, EE01,  12, 328N,  617W,  32, 1016, XX
AL, 09, 2006100100, 03, EE01,  24, 362N,  617W,  38, 1015, XX
AL, 09, 2006100100, 03, EE01,  36, 405N,  595W,  54, 1008, XX
AL, 09, 2006100100, 03, EE01,  48, 457N,  557W,  55, 1003, XX
AL, 09, 2006100100, 03, EE02,   0, 310N,  603W,  25, 1016, XX
AL, 09, 2006100100, 03, EE02,  12, 323N,  618W,  29, 1016, XX
AL, 09, 2006100100, 03, EE03,   0, 311N,  604W,  24, 1017, XX
AL, 09, 2006100100, 03, EE03,  12, 328N,  616W,  30, 1018, XX
AL, 09, 2006100100, 03, EE03,  24, 365N,  622W,  32, 1017, XX
AL, 09, 2006100100, 03, EE03,  36, 420N,  598W,  45, 1011, XX
AL, 09, 2006100100, 03, EE03,  48, 458N,  531W,  45, 1004, XX
AL, 09, 2006100100, 03, EE04,   0, 310N,  603W,  27, 1015, XX
AL, 09, 2006100100, 03, EE04,  12, 322N,  622W,  29, 1015, XX
AL, 09, 2006100100, 03, EE05,   0, 310N,  604W,  24, 1017, XX
AL, 09, 2006100100, 03, EE05,  12, 326N,  615W,  31, 1017, XX
AL, 09, 2006100100, 03, EE05,  24, 358N,  619W,  32, 1017, XX
AL, 09, 2006100100, 03, EE06,   0, 310N,  603W,  26, 1015, XX
AL, 09, 2006100100, 03, EE06,  12, 323N,  621W,  29, 1015, XX
AL, 09, 2006100100, 03, EE07,   0, 311N,  603W,  25, 1016, XX
AL, 09, 2006100100, 03, EE07,  12, 328N,  613W,  32, 1016, XX
AL, 09, 2006100100, 03, EE07,  24, 373N,  621W,  36, 1015, XX
AL, 09, 2006100100, 03, EE07,  36, 425N,  592W,  49, 1004, XX
AL, 09, 2006100100, 03, EE07,  48, 470N,  550W,  44, 1001, XX
AL, 09, 2006100100, 03, EE08,   0, 310N,  604W,  25, 1016, XX
AL, 09, 2006100100, 03, EE08,  12, 321N,  620W,  29, 1017, XX
AL, 09, 2006100100, 03, EE09,   0, 310N,  604W,  26, 1016, XX
AL, 09, 2006100100, 03, EE10,   0, 310N,  603W,  24, 1016, XX
AL, 09, 2006100100, 03, EE10,  12, 323N,  615W,  29, 1016, XX
AL, 09, 2006100100, 03, EE10,  24, 348N,  621W,  31, 1016, XX
AL, 09, 2006100100, 03, EE11,   0, 310N,  604W,  25, 1016, XX
AL, 09, 2006100100, 03, EE11,  12, 326N,  616W,  30, 1016, XX
AL, 09, 2006100100, 03, EE11,  24, 360N,  622W,  35, 1016, XX
AL, 09, 2006100100, 03, EE12,   0, 310N,  603W,  25, 1016, XX
AL, 09, 2006100100, 03, EE12,  12, 325N,  618W,  30, 1016, XX
AL, 09, 2006100100, 03, EE13,   0, 310N,  604W,  24, 1016, XX
AL, 09, 2006100100, 03, EE13,  12, 323N,  617W,  28, 1017, XX
AL, 09, 2006100100, 03, EE13,  24, 350N,  617W,  33, 1017, XX
AL, 09, 2006100100, 03, EE14,   0, 310N,  603W,  26, 1015, XX
