basin, number, time, tech, forecastHr, lat , lon, vmax, mslp, 
basin, number, time, tech, model, forecastHr, lat , lon, vmax, mslp, 
WP, 19, 2006100100, 03, ECMF,   0, 159N, 1086E,  46,  982, XX
WP, 19, 2006100100, 03, ECMF,   6, 156N, 1080E,  38,  988, XX
WP, 19, 2006100100, 03, ECMF,  12, 155N, 1068E,  32,  992, XX
WP, 19, 2006100100, 03, ECMF,  18, 156N, 1060E,  30,  994, XX
WP, 19, 2006100100, 03, ECMF,  24, 156N, 1051E,  26,  996, XX
WP, 19, 2006100100, 03, ECMF,  30, 156N, 1044E,  23,  998, XX
WP, 19, 2006100100, 03, ECMF,  36, 158N, 1033E,  20, 1000, XX
WP, 19, 2006100100, 03, EE00,   0, 159N, 1086E,  47,  983, XX
WP, 19, 2006100100, 03, EE00,  12, 155N, 1069E,  33,  991, XX
WP, 19, 2006100100, 03, EE00,  24, 154N, 1051E,  31,  994, XX
WP, 19, 2006100100, 03, EE00,  36, 155N, 1036E,  25,  998, XX
WP, 19, 2006100100, 03, EE00,  48, 156N, 1021E,  17, 1003, XX
WP, 19, 2006100100, 03, EE01,   0, 159N, 1086E,  46,  983, XX
WP, 19, 2006100100, 03, EE01,  12, 157N, 1066E,  37,  993, XX
WP, 19, 2006100100, 03, EE01,  24, 155N, 1048E,  24,  995, XX
WP, 19, 2006100100, 03, EE01,  36, 155N, 1028E,  18,  998, XX
WP, 19, 2006100100, 03, EE01,  48, 156N, 1009E,  16, 1002, XX
WP, 19, 2006100100, 03, EE01,  60, 159N, 1000E,  23, 1003, XX
WP, 19, 2006100100, 03, EE01,  72, 161N,  968E,  28, 1003, XX
WP, 19, 2006100100, 03, EE01,  84, 163N,  961E,  41,  999, XX
WP, 19, 2006100100, 03, EE01,  96, 173N,  959E,  34, 1001, XX
WP, 19, 2006100100, 03, EE01, 108, 193N,  934E,  29, 1002, XX
WP, 19, 2006100100, 03, EE01, 120, 198N,  928E,  15, 1004, XX
WP, 19, 2006100100, 03, EE02,   0, 159N, 1086E,  47,  982, XX
WP, 19, 2006100100, 03, EE02,  12, 155N, 1075E,  40,  990, XX
WP, 19, 2006100100, 03, EE02,  24, 156N, 1060E,  34,  996, XX
WP, 19, 2006100100, 03, EE02,  36, 156N, 1049E,  24, 1000, XX
WP, 19, 2006100100, 03, EE02,  48, 154N, 1037E,  19, 1004, XX
WP, 19, 2006100100, 03, EE03,   0, 159N, 1086E,  46,  982, XX
WP, 19, 2006100100, 03, EE03,  12, 155N, 1065E,  30,  990, XX
WP, 19, 2006100100, 03, EE03,  24, 155N, 1045E,  29,  993, XX
WP, 19, 2006100100, 03, EE03,  36, 154N, 1029E,  20,  997, XX
WP, 19, 2006100100, 03, EE03,  48, 158N, 1013E,  26, 1000, XX
WP, 19, 2006100100, 03, EE03,  60, 160N, 1001E,  18, 1001, XX
WP, 19, 2006100100, 03, EE03,  72, 151N,  976E,  21, 1004, XX
WP, 19, 2006100100, 03, EE03,  84, 164N,  974E,  18, 1003, XX
