basin, number, time, tech, model, forecastHr, lat , lon, vmax, mslp, 
AL, 09, 2006100100, 03, ECMF,   0, 31.0, -60.3,  25, 1016, XX
AL, 09, 2006100100, 03, ECMF,   6, 31.7, -61.2,  31, 1015, XX
AL, 09, 2006100100, 03, ECMF,  12, 32.5, -61.8,  33, 1016, XX
AL, 09, 2006100100, 03, ECMF,  18, 33.9, -62.0,  34, 1016, XX
AL, 09, 2006100100, 03, ECMF,  24, 36.2, -62.3,  36, 1016, XX
AL, 09, 2006100100, 03, EE00,   0, 31.0, -60.4,  25, 1016, XX
AL, 09, 2006100100, 03, EE00,  12, 32.5, -61.7,  31, 1016, XX
AL, 09, 2006100100, 03, EE00,  24, 35.6, -62.2,  33, 1016, XX
AL, 09, 2006100100, 03, EE00,  36, 41.5, -60.0,  53, 1007, XX
AL, 09, 2006100100, 03, EE00,  48, 46.5, -55.4,  45, 1001, XX
AL, 09, 2006100100, 03, EE01,   0, 31.0, -60.4,  25, 1016, XX
AL, 09, 2006100100, 03, EE01,  12, 32.8, -61.7,  32, 1016, XX
AL, 09, 2006100100, 03, EE01,  24, 36.2, -61.7,  38, 1015, XX
AL, 09, 2006100100, 03, EE01,  36, 40.5, -59.5,  54, 1008, XX
AL, 09, 2006100100, 03, EE01,  48, 45.7, -55.7,  55, 1003, XX
AL, 09, 2006100100, 03, EE02,   0, 31.0, -60.3,  25, 1016, XX
AL, 09, 2006100100, 03, EE02,  12, 32.3, -61.8,  29, 1016, XX
AL, 09, 2006100100, 03, EE03,   0, 31.1, -60.4,  24, 1017, XX
AL, 09, 2006100100, 03, EE03,  12, 32.8, -61.6,  30, 1018, XX
AL, 09, 2006100100, 03, EE03,  24, 36.5, -62.2,  32, 1017, XX
AL, 09, 2006100100, 03, EE03,  36, 42.0, -59.8,  45, 1011, XX
AL, 09, 2006100100, 03, EE03,  48, 45.8, -53.1,  45, 1004, XX
AL, 09, 2006100100, 03, EE04,   0, 31.0, -60.3,  27, 1015, XX
AL, 09, 2006100100, 03, EE04,  12, 32.2, -62.2,  29, 1015, XX
AL, 09, 2006100100, 03, EE05,   0, 31.0, -60.4,  24, 1017, XX
AL, 09, 2006100100, 03, EE05,  12, 32.6, -61.5,  31, 1017, XX
AL, 09, 2006100100, 03, EE05,  24, 35.8, -61.9,  32, 1017, XX
AL, 09, 2006100100, 03, EE06,   0, 31.0, -60.3,  26, 1015, XX
AL, 09, 2006100100, 03, EE06,  12, 32.3, -62.1,  29, 1015, XX
AL, 09, 2006100100, 03, EE07,   0, 31.1, -60.3,  25, 1016, XX
AL, 09, 2006100100, 03, EE07,  12, 32.8, -61.3,  32, 1016, XX
AL, 09, 2006100100, 03, EE07,  24, 37.3, -62.1,  36, 1015, XX
AL, 09, 2006100100, 03, EE07,  36, 42.5, -59.2,  49, 1004, XX
AL, 09, 2006100100, 03, EE07,  48, 47.0, -55.0,  44, 1001, XX
AL, 09, 2006100100, 03, EE08,   0, 31.0, -60.4,  25, 1016, XX
AL, 09, 2006100100, 03, EE08,  12, 32.1, -62.0,  29, 1017, XX
AL, 09, 2006100100, 03, EE09,   0, 31.0, -60.4,  26, 1016, XX
AL, 09, 2006100100, 03, EE10,   0, 31.0, -60.3,  24, 1016, XX
AL, 09, 2006100100, 03, EE10,  12, 32.3, -61.5,  29, 1016, XX
AL, 09, 2006100100, 03, EE10,  24, 34.8, -62.1,  31, 1016, XX
AL, 09, 2006100100, 03, EE11,   0, 31.0, -60.4,  25, 1016, XX
AL, 09, 2006100100, 03, EE11,  12, 32.6, -61.6,  30, 1016, XX
AL, 09, 2006100100, 03, EE11,  24, 36.0, -62.2,  35, 1016, XX
AL, 09, 2006100100, 03, EE12,   0, 31.0, -60.3,  25, 1016, XX
AL, 09, 2006100100, 03, EE12,  12, 32.5, -61.8,  30, 1016, XX
AL, 09, 2006100100, 03, EE13,   0, 31.0, -60.4,  24, 1016, XX
AL, 09, 2006100100, 03, EE13,  12, 32.3, -61.7,  28, 1017, XX
AL, 09, 2006100100, 03, EE13,  24, 35.0, -61.7,  33, 1017, XX
AL, 09, 2006100100, 03, EE14,   0, 31.0, -60.3,  26, 1015, XX
AL, 09, 2006100100, 03, EE14,  12, 32.5, -62.0,  30, 1016, XX
AL, 09, 2006100100, 03, EE14,  24, 36.1, -62.5,  37, 1015, XX
AL, 09, 2006100100, 03, EE14,  36, 42.4, -60.6,  50, 1004, XX
AL, 09, 2006100100, 03, EE15,   0, 31.0, -60.3,  24, 1016, XX
AL, 09, 2006100100, 03, EE15,  12, 32.3, -61.6,  28, 1016, XX
AL, 09, 2006100100, 03, EE16,   0, 31.0, -60.4,  26, 1016, XX
AL, 09, 2006100100, 03, EE16,  12, 32.8, -62.0,  31, 1016, XX
AL, 09, 2006100100, 03, EE17,   0, 31.0, -60.4,  24, 1016, XX
AL, 09, 2006100100, 03, EE17,  12, 32.4, -61.6,  28, 1017, XX
AL, 09, 2006100100, 03, EE17,  24, 35.0, -62.1,  29, 1017, XX
AL, 09, 2006100100, 03, EE18,   0, 31.0, -60.3,  26, 1016, XX
AL, 09, 2006100100, 03, EE18,  12, 32.4, -62.0,  31, 1016, XX
AL, 09, 2006100100, 03, EE19,   0, 31.0, -60.4,  25, 1016, XX
AL, 09, 2006100100, 03, EE19,  12, 32.5, -61.6,  33, 1016, XX
AL, 09, 2006100100, 03, EE19,  24, 35.8, -62.1,  33, 1016, XX
AL, 09, 2006100100, 03, EE19,  36, 40.6, -59.3,  57, 1009, XX
AL, 09, 2006100100, 03, EE19,  48, 45.1, -54.0,  45, 1004, XX
AL, 09, 2006100100, 03, EE20,   0, 31.0, -60.3,  25, 1016, XX
AL, 09, 2006100100, 03, EE20,  12, 32.4, -61.8,  32, 1016, XX
AL, 09, 2006100100, 03, EE20,  24, 36.3, -62.7,  33, 1015, XX
AL, 09, 2006100100, 03, EE20,  36, 41.4, -60.0,  59, 1002, XX
AL, 09, 2006100100, 03, EE20,  48, 46.2, -55.8,  42,  999, XX
AL, 09, 2006100100, 03, EE21,   0, 31.0, -60.4,  24, 1016, XX
AL, 09, 2006100100, 03, EE21,  12, 32.4, -61.4,  29, 1017, XX
AL, 09, 2006100100, 03, EE21,  24, 35.4, -62.4,  32, 1016, XX
AL, 09, 2006100100, 03, EE22,   0, 31.0, -60.3,  26, 1016, XX
AL, 09, 2006100100, 03, EE23,   0, 31.0, -60.4,  25, 1016, XX
AL, 09, 2006100100, 03, EE23,  12, 32.3, -62.1,  30, 1016, XX
AL, 09, 2006100100, 03, EE23,  24, 35.3, -62.5,  32, 1016, XX
AL, 09, 2006100100, 03, EE23,  36, 40.5, -60.6,  50, 1008, XX
AL, 09, 2006100100, 03, EE23,  48, 45.3, -56.3,  45, 1002, XX
AL, 09, 2006100100, 03, EE24,   0, 31.1, -60.3,  25, 1016, XX
AL, 09, 2006100100, 03, EE24,  12, 32.6, -61.7,  31, 1016, XX
AL, 09, 2006100100, 03, EE25,   0, 31.0, -60.3,  25, 1016, XX
AL, 09, 2006100100, 03, EE26,   0, 31.1, -60.4,  25, 1015, XX
AL, 09, 2006100100, 03, EE26,  12, 32.5, -61.7,  32, 1015, XX
AL, 09, 2006100100, 03, EE27,   0, 31.1, -60.3,  24, 1016, XX
AL, 09, 2006100100, 03, EE27,  12, 32.8, -61.5,  32, 1017, XX
AL, 09, 2006100100, 03, EE27,  24, 35.6, -61.9,  34, 1016, XX
AL, 09, 2006100100, 03, EE28,   0, 31.0, -60.4,  26, 1016, XX
AL, 09, 2006100100, 03, EE28,  12, 32.3, -62.2,  30, 1016, XX
